true_$A_{rew}$ (Reward L-Rate),est_$A_{rew}$ (Reward L-Rate),true_$A_{pun}$ (Punish L-Rate),est_$A_{pun}$ (Punish L-Rate),true_$K'$ (Decay Rate),est_$K'$ (Decay Rate),true_$\beta_F$ (Freq Weight),est_$\beta_F$ (Freq Weight),true_$\beta_P$ (Perseverance),est_$\beta_P$ (Perseverance),err_$A_{rew}$ (Reward L-Rate),abs_err_$A_{rew}$ (Reward L-Rate),err_$A_{pun}$ (Punish L-Rate),abs_err_$A_{pun}$ (Punish L-Rate),err_$K'$ (Decay Rate),abs_err_$K'$ (Decay Rate),err_$\beta_F$ (Freq Weight),abs_err_$\beta_F$ (Freq Weight),err_$\beta_P$ (Perseverance),abs_err_$\beta_P$ (Perseverance),global_error
0.2826615918635411,0.2895602111299881,0.8388819993171274,0.8449655669631643,1.4028628540457575,1.5181097477582977,-6.913947360581187,-6.744286146342458,9.138116453042247,10.0,0.006898619266447,0.0069124441547565,0.0060835676460369,0.0060957591643656,0.1152468937125401,0.023049378742508,0.1696612142387294,0.0084830607119364,0.8618835469577526,0.0430941773478876,0.0225622891778815
0.8524944907664569,0.7020693138722095,0.8006363825774135,0.9285849058295628,3.340247518650987,0.0,-1.0025622726535115,-1.1488092042046645,2.9135901767664407,-1.2995795723182308,-0.1504251768942474,0.1507266301545565,0.1279485232521491,0.1282049331183858,-3.340247518650987,0.6680495037301973,-0.1462469315511527,0.0073123465775576,-4.213169749084671,0.2106584874542335,0.3255382097686159
0.2571159435718159,0.2346291430273522,0.935201088541129,0.8758480713408763,0.2467806743995967,0.0857524131591078,-7.796455232265417,-7.800275092686884,4.2859721779751325,2.1563719522227034,-0.0224868005444636,0.0225318642730096,-0.0593530172002527,0.0594719611224977,-0.1610282612404888,0.0322056522480977,-0.0038198604214674,0.0001909930210733,-2.129600225752429,0.1064800112876214,0.0573059026388114
0.8979752157556588,0.999,0.3587285243825582,0.418492021569455,0.7378442452142944,1.0241260469640077,-6.496552623439852,-6.134079212998702,7.627366712017558,10.0,0.1010247842443412,0.1012272387217848,0.0597634971868968,0.0598832637143254,0.2862818017497133,0.0572563603499426,0.36247341044115,0.0181236705220575,2.372633287982442,0.1186316643991221,0.0793891543778332
0.0804843951513103,0.1028913049090392,0.009381428793644,0.0030417445794756,1.1651465098780256,0.9622931393228938,4.9621375775735554,5.949775870900087,-5.235567669941475,-6.588144775248297,0.0224069097577288,0.0224518133844978,-0.0063396842141683,0.0063523889921526,-0.2028533705551317,0.0405706741110263,0.9876382933265316,0.0493819146663265,-1.352577105306822,0.0676288552653411,0.0429014030740157
0.7413217505695637,0.3280728864978472,0.7031562058456399,0.6963479831204644,2.7042918051601355,1.1720565418321425,-4.847690087559799,-8.10586731489788,-0.1285248840636015,-7.409026758309538,-0.4132488640717165,0.4140770181079324,-0.0068082227251754,0.0068218664580916,-1.5322352633279932,0.3064470526655986,-3.2581772273380816,0.162908861366904,-7.280501874245936,0.3640250937122968,0.2913656386187873
0.5696580959983956,0.6493764963454868,0.2774784252870306,0.2923465240120387,1.7183708732093093,2.1068099288460784,5.452590805879304,10.0,0.5282133766774493,-10.0,0.0797184003470912,0.079878156660412,0.0148680987250081,0.0148978945140361,0.3884390556367691,0.0776878111273538,4.547409194120696,0.2273704597060348,-10.52821337667745,0.5264106688338724,0.2613210214962564
0.9189709075836338,0.9528203751858728,0.3701303383376751,0.3456078202556123,1.0326214753688705,0.939921073186312,-6.153963804894355,-7.202372903853377,-6.09339627989365,-10.0,0.0338494676022389,0.0339173022066522,-0.0245225180820628,0.0245716614048725,-0.0927004021825582,0.0185400804365116,-1.0484090989590218,0.052420454947951,-3.90660372010635,0.1953301860053175,0.092735829297621
0.1263117223849654,0.106412056251136,0.1449740144756985,0.1426684096176779,0.9665479594561054,1.1567044649459144,-0.8262473328276414,-2.2386258894054047,-8.396645196027904,-10.0,-0.0198996661338293,0.0199395452242779,-0.0023056048580206,0.0023102253086379,0.190156505489809,0.0380313010979618,-1.4123785565777631,0.0706189278288881,-1.6033548039720955,0.0801677401986047,0.0515037901599178
0.1678608451712182,0.2260179135605403,0.2600932965777279,0.2288126044641482,1.8653832651613709,2.706943790986524,5.6463500899205,5.128145229876684,-6.922795049672185,-10.0,0.0581570683893221,0.0582736156205632,-0.0312806921135796,0.0313433788713223,0.8415605258251533,0.1683121051650306,-0.5182048600438156,0.0259102430021907,-3.0772049503278147,0.1538602475163907,0.1068190084955728
