true_$\lambda$ (Loss Aversion),true_$\rho$ (Perception Shape),true_$\alpha$ (Learning Rate),true_$f$ (Boredom Factor),true_$\beta$ (Exploration Weight),kl_div_$\lambda$ (Loss Aversion),post_std_$\lambda$ (Loss Aversion),ess_$\lambda$ (Loss Aversion),kl_div_$\rho$ (Perception Shape),post_std_$\rho$ (Perception Shape),ess_$\rho$ (Perception Shape),kl_div_$\alpha$ (Learning Rate),post_std_$\alpha$ (Learning Rate),ess_$\alpha$ (Learning Rate),kl_div_$f$ (Boredom Factor),post_std_$f$ (Boredom Factor),ess_$f$ (Boredom Factor),kl_div_$\beta$ (Exploration Weight),post_std_$\beta$ (Exploration Weight),ess_$\beta$ (Exploration Weight),post_corr_$\lambda$ (Loss Aversion)_$\rho$ (Perception Shape),post_corr_$\lambda$ (Loss Aversion)_$\alpha$ (Learning Rate),post_corr_$\lambda$ (Loss Aversion)_$f$ (Boredom Factor),post_corr_$\lambda$ (Loss Aversion)_$\beta$ (Exploration Weight),post_corr_$\rho$ (Perception Shape)_$\alpha$ (Learning Rate),post_corr_$\rho$ (Perception Shape)_$f$ (Boredom Factor),post_corr_$\rho$ (Perception Shape)_$\beta$ (Exploration Weight),post_corr_$\alpha$ (Learning Rate)_$f$ (Boredom Factor),post_corr_$\alpha$ (Learning Rate)_$\beta$ (Exploration Weight),post_corr_$f$ (Boredom Factor)_$\beta$ (Exploration Weight),max_post_corr,mean_kl_div,min_ess
1.7664060576381153,0.17229899129042991,0.25195872019554405,0.24668289665760915,4.974414311694122,0.29406522410521574,0.928675083402778,310.89329685536296,1.6716406532542947,0.056424722244177654,330.28206672742715,0.8451425547940963,0.11522177881690332,294.63441978219134,0.5139482156504097,0.07187471882664519,359.0377820426859,1.5772975040998811,0.3069220255166095,311.6830262550291,-0.4406489510861736,-0.34812020820558826,-0.18242112269375688,0.15224213400737194,-0.3226523231984173,-0.04284432068294168,-0.028937097936701506,0.07777332838707497,0.04197490110460236,0.04943422489800702,0.4406489510861736,0.9804188303807795,294.63441978219134
4.003216444653326,0.9002789126740772,0.7862965698082859,0.11227224319988982,0.984372878887258,0.38185733778119135,0.9416898089390853,286.4483929691677,0.9548678809192571,0.1117411749331296,220.385052160579,0.9444551336806974,0.09409048236016518,328.61122869937265,0.0,0.13554137765801677,233.08511838439136,0.7267066697287518,0.6189222637464518,243.492565456413,-0.09557344118116852,-0.49451635734849847,-0.07280894963117483,0.2485082776985563,-0.04836452200981767,-0.15932676914259153,0.6783347772492925,0.16751736125094385,-0.5816412378618045,-0.16053028743838457,0.6783347772492925,0.6015774044219795,220.385052160579
3.007431311839064,0.7618097431930881,0.9849151880682129,0.23136846809497297,2.5470351787336125,0.18682602286633898,1.0359934892838194,249.10604384907887,0.49963897662968165,0.15433183513881266,193.02122043451882,1.0133439696301676,0.09784735536481354,271.3675993335937,0.0,0.14442027705187463,219.6758313692239,0.12002468757095786,1.284118111375802,187.96888187087202,-0.28504331284097056,-0.5918929724641624,-0.013481776834390688,0.06711996902751181,0.09941308871843783,-0.08953304502520594,0.811614922495721,0.04838386134397811,0.08683341765109938,-0.14628449273897565,0.811614922495721,0.3639667313394292,187.96888187087202
1.9447607877829398,0.8072287748475238,0.6953745908901791,0.20993747013799857,4.700747970573905,0.343945150238103,0.8974518839297909,375.0715433646027,1.3139816702193752,0.0671306967895587,348.28164366113026,1.0644380765492907,0.08264317847529365,411.8068154936005,0.7872278916788856,0.054896431806742016,404.26038581415196,0.33040269654994914,0.8851908555626048,335.6167936761668,-0.06110668922169175,-0.3179857853318332,-0.03077946642880791,-0.051897413098622544,-0.09731498405123123,0.35972252152363626,0.9524623148611872,0.0963603143088958,-0.016099167697995444,0.27633311918149916,0.9524623148611872,0.7679990970471208,335.6167936761668
2.5454453791816936,0.7815487575790803,0.07632012072872894,0.025223706505521234,0.8194586634960194,0.9869770396805478,0.49831519168075294,279.8805657008528,1.7069782413660266,0.043739360790485765,297.36061871949295,2.619838811583195,0.01787472304939643,382.7917902832087,0.27792252379594296,0.1102347593948416,257.3400754166667,1.663220601982092,0.23246640804145757,291.97854488366306,-0.252862771357955,0.0026326205220906615,0.004376482957777017,0.1324462086294707,-0.40641009201061284,-0.5112989038289685,0.7374142979711102,0.3552693561056262,0.06186681099686338,-0.4225162184558746,0.7374142979711102,1.4509874436815609,257.3400754166667
2.145987528478187,0.03482613416347506,0.2639410307907022,0.28854398148886906,2.5727400845278225,0.19637842724720334,1.0472597369808507,294.75409239646916,1.3794460798752888,0.08028928063547772,233.42455535673517,1.075081999718036,0.10602336381495209,216.0948487180815,0.34423323920087767,0.08644858580990585,283.8004577565222,1.380776108373095,0.3088257204875179,329.4045525123324,-0.30601846141583156,-0.35663885903055487,-0.21338434140424714,0.18721985150778173,-0.47495534654089017,-0.05379115888117967,0.04713972726256989,0.03374884695064455,0.005403606624178498,0.0637884807582694,0.47495534654089017,0.8751831708829002,216.0948487180815
4.613536368420199,0.33371840462214475,0.20339447437769673,0.35500862811274425,1.8607591524661689,0.9480788061169967,0.5170623570505466,383.67695463777613,1.890892517365204,0.03588704021623791,407.5770371942117,1.9164471795242524,0.035135378741160975,389.27830385226116,0.8719040441489007,0.050996687859953364,363.9550721553506,1.5430275767614916,0.2588825291203255,355.6669287522049,-0.3958883738624087,-0.07814668106764615,-0.15635381289766975,0.21324398302726894,-0.6919179976461819,-0.5579401782301766,0.46624035759564453,0.4298311738559309,-0.11884099909390568,-0.5324852243523401,0.6919179976461819,1.4340700247833689,355.6669287522049
3.3347909780352643,0.47908138835755115,0.06413809172298585,0.03169509048123413,4.442279038131332,0.6290560071639437,0.68520941455545,319.0378042946842,1.9472166121701795,0.03466069427454807,375.93555119533823,3.3124234246692015,0.008657619785460776,367.46016270158134,2.208554962938976,0.013746866658682239,322.54969886816343,0.8760290561461107,0.505442650867758,308.9087660707178,-0.8513449660550432,-0.011599239082734724,-0.11212796976904135,0.10246874592755788,-0.16293303704741058,-0.05293257227907123,0.1571764909726481,-0.23731491298330032,0.5191739143525768,-0.7300304264330536,0.8513449660550432,1.7946560126176823,308.9087660707178
2.3419779144117143,0.6798315033047628,0.934137402000378,0.09176940345722799,3.81077023591038,0.41591146094463505,0.866286490600971,328.07989654952456,1.4304309741025167,0.060435877914032064,282.73497322705475,0.9675367820497524,0.09413698001485919,344.2295716908381,1.7347997801006736,0.02124997173092183,372.94171093772235,0.32862088896786235,0.8981600631104737,289.0747412422126,0.05806248522345944,-0.23479507729414062,0.05585032235370286,0.08260731014693916,-0.07175643330893848,0.219382603713421,0.9556462072692422,0.17482354166190817,-0.018442613082753197,0.2588249489064954,0.9556462072692422,0.9754599772330881,282.73497322705475
4.570142450946958,0.22664422293096095,0.4971743845814836,0.3966276842854479,3.053944673949336,0.9520384446046578,0.5487412565878577,313.94342579371573,2.235574076620427,0.025624308627251624,341.80403558989036,1.6965345438696817,0.043590948582666975,366.3707969231844,1.7657291843570109,0.025387860927573953,337.34913041644734,1.1399368819990667,0.3900276821579917,361.3072276008448,-0.6131413450798022,-0.0768813281477373,-0.04877654134270128,0.215534329638816,-0.30752757592233093,-0.09059049339553754,0.35265443729398444,0.021841585954157295,0.195133391579387,0.033888374460781474,0.6131413450798022,1.5579626262901687,313.94342579371573
