$\alpha$ (Shape),$\lambda$ (Loss Aversion),$a$ (Learning Rate),$c$ (Consistency),Pattern
0.7957087567023858,2.919729999317127,0.32853510210064213,2.1819500267069984,GOB
0.34222535288511824,0.8124163288930666,0.9755813507304892,4.529157507823333,GOB
0.37964063350073024,3.76103251483398,0.5995705819912021,0.17174908854112914,GOB
0.617732514706224,3.6788248839099555,0.040602203988632186,0.6255392157556589,GOB
0.7442721922121709,1.2185143103784082,0.6436341290279455,0.5647798803765784,GOB
0.6816638986274631,0.7611401830838064,0.49589780179116977,4.300508665120921,GOB
0.5161318800675794,1.457903750569564,0.020203589241262046,3.671111512967788,BOG
0.2556874506805706,1.016300317144664,0.2779445370931302,4.677678425287031,BOG
0.4178154865790887,0.1114262812133772,0.3868990279493674,1.228368907583634,GOB
0.26895827554194357,2.1552252464836266,0.15489107194888793,3.0492395256333067,GOB
0.6264854439200633,1.0413427969173317,0.6538545743077946,0.17735225809190075,GOB
0.7099632125593237,4.363470845171219,0.8741932792809521,0.6025242485522777,GOB
0.6008948658902129,1.173528527021358,0.5843371206140895,2.890714634879102,GOB
0.9988541889732546,3.140062478845121,0.261122377255032,2.34853283242704,GOB
0.3320551346764434,1.5303843962864392,0.8172183201943708,4.385117698986611,GOB
0.9095796562135654,0.06741384598626916,0.07166408325091672,4.6888585311402995,GOB
0.3419203257726399,1.9635315277581433,0.8177292769821723,2.7731649009985047,GOB
0.26660189806875556,0.0385061560455461,0.8445275122347817,4.537518288413563,GOB
0.26386502619149294,1.2093625283931062,0.43509445605714553,2.707313178875762,GOB
0.8656978684359622,4.824689407318303,0.7385297076338364,2.6698170825263983,GOB
0.07322846591901518,1.7650764259122829,0.4438987577006691,4.857119361025933,IOF
0.5093515030095196,3.6915321322349457,0.9018469728485817,2.4296890465242087,GOB
0.9835340681877512,4.006489957314447,0.3938918422036628,0.8471247283517099,GOB
0.5583612693697185,0.1964608432179334,0.6898723006063487,1.9973869779720674,BOG
0.7199563611031105,0.21998755103743553,0.016510634831380138,1.4263404116749756,BOG
0.6224321010232399,4.808055471838315,0.541973357747631,1.7139251601370296,GOB
0.5044498073210147,1.8745465435912194,0.4756070264225756,3.456365655957663,GOB
0.014534914589493606,2.805495202808249,0.9069547130953788,0.039738041361934366,Remaining
0.7728334205884182,1.9355619388701961,0.3775189266113672,2.4582370989444757,GOB
0.41099781313309264,0.4048559710645482,0.6989544455781245,3.2868059457769787,BOG
0.6046158279467985,4.7931842490639385,0.045217805809335494,1.7650670242126338,GOB
0.27293576039357537,0.6049216846220352,0.48612468747995813,3.2381578702794016,BOG
0.763369526212391,1.6843193767465907,0.30085166594390955,3.2336147301218596,GOB
0.6056669498943393,0.46773582393507424,0.8787069987326867,3.7360474695625374,BOG
0.9406082052757782,1.6751806611699311,0.8085770184250045,1.8192914354600775,GOB
0.6941916416504941,3.707726390498327,0.13178231036191496,1.830779415403729,GOB
0.019327213445785654,0.4488535582882343,0.4936483493385262,2.1392123689423332,Remaining
0.3374050955308596,4.226299238976395,0.6553163941990096,4.764575631549704,GOB
0.19296141114466608,4.755314130279125,0.7485185020032551,3.626081104387146,GOB
0.4510883157107999,2.9654178962105773,0.8045554368901878,4.630970889803066,GOB
0.5441826672927008,2.7955018201785524,0.7275064176298028,1.3333106622689364,GOB
0.08750613921106047,3.5275798195607053,0.7865897016308597,2.3674673650308797,GOB
0.4319110665658463,0.43020500640372045,0.5282120518096325,3.1294014641703507,GOB
0.7027513189120675,3.173723828517091,0.13134140765211877,2.6656331792018464,GOB
0.8153778507821193,1.996639728292872,0.42799944790128147,0.298672889196582,GOB
0.16802562308680605,0.8584063402535815,0.3900769784043903,0.34430178303265685,Remaining
0.558109141538442,4.770797662059358,0.6836837853620047,3.9949197222652746,GOB
0.5212861356569529,0.693368064405109,0.18405451099619433,3.4947755113661443,GOB
0.6077376939293826,4.70376254955322,0.19668364970530836,4.637547090228459,GOB
0.5920013222072789,3.940249187083244,0.45031310593618856,4.592506296974445,GOB
0.4925237370371642,2.884268117226791,0.36531085324513196,4.519818390292454,GOB
0.4326849071758373,0.8151568032820611,0.6835698992008783,4.821679696643734,GOB
0.2974504005610417,0.3587946827282426,0.7345425360377428,1.0273800456239977,FOI
0.24520695668521325,3.0231574837228696,0.2995323493883361,2.4201146249854486,GOB
