param,kl_div,max_post_corr,mean,std,ci_lo,ci_hi,shrinkage,ess
$A_{rew}$ (Reward L-Rate),0.3460931157944198,0.3677518772199369,0.3347190179594949,0.1845989164827201,0.0616979406371834,0.75304314814129,0.3072693311582098,374.7899160364653
$A_{pun}$ (Punish L-Rate),0.6364974503556836,0.3941505417526302,0.795470241205049,0.1475066770726447,0.4544188311620925,0.9901086897773512,0.4632366146139691,429.2909355841253
$K'$ (Decay Rate),0.4996869247745057,0.2131552074815424,2.048391354372848,0.8249749762070272,0.7244446011671339,4.298136792810215,0.2852615616713837,444.3051206306792
$\beta_F$ (Freq Weight),2.083998336181827,0.3941505417526303,0.9230176430730748,0.6409041711138458,-0.1087426274151922,2.450643730329202,0.8720306821127803,432.4997312187417
$\beta_P$ (Perseverance),0.6573614207887797,0.2131552074815423,5.7356735510172605,2.84404009584772,0.3326424774955043,9.79941066074529,0.5266615908375107,433.88914585632847
