true_Loss Aversion,true_Perception Shape,true_Learning Rate,true_Forgetting Fact,true_Exploration Weight,contraction_Loss Aversion,post_std_Loss Aversion,ess_Loss Aversion,contraction_Perception Shape,post_std_Perception Shape,ess_Perception Shape,contraction_Learning Rate,post_std_Learning Rate,ess_Learning Rate,contraction_Forgetting Fact,post_std_Forgetting Fact,ess_Forgetting Fact,contraction_Exploration Weight,post_std_Exploration Weight,ess_Exploration Weight,post_corr_Loss Aversion_Perception Shape,post_corr_Loss Aversion_Learning Rate,post_corr_Loss Aversion_Forgetting Fact,post_corr_Loss Aversion_Exploration Weight,post_corr_Perception Shape_Learning Rate,post_corr_Perception Shape_Forgetting Fact,post_corr_Perception Shape_Exploration Weight,post_corr_Learning Rate_Forgetting Fact,post_corr_Learning Rate_Exploration Weight,post_corr_Forgetting Fact_Exploration Weight,max_post_corr,mean_contraction,min_ess
1.7664060576381153,0.17229899129042991,0.25195872019554405,0.24668289665760915,19.89750342500311,0.21708122004481967,1.2745834585189648,253.48863007099823,0.8448565616810276,0.11143000723979944,233.28012484430047,0.013368159165220606,0.28100433269757635,240.3622574983283,0.4652241478122833,0.10344067627963978,265.5864342663944,0.8374837054085514,2.3263262806832774,266.41708650251803,-0.319502570267864,-0.24031785958748553,-0.02159929266953006,0.16097188796356157,-0.2551401009939137,-0.019584284524046203,0.042108875001731494,-0.06374597874267965,0.03797233208992507,-0.015315659203867094,0.319502570267864,0.4756027588223805,233.28012484430047
4.003216444653326,0.9002789126740772,0.7862965698082859,0.11227224319988982,3.9133494687287143,0.5437261944705599,0.9730220700247766,232.73555192420747,0.8172923053563753,0.12092438061854231,231.34142760154893,0.88923472682191,0.0941536724191882,283.4709362703955,0.3651569533802158,0.11270382110255853,243.4225574070627,0.9379680367437186,1.4372421136910771,226.17095253037505,-0.11028600442110939,-0.708989610302559,-0.2860735956524906,0.24951661132844777,-0.0636583587028118,-0.10615458458839508,0.7847251672089725,0.554626384434436,-0.03872144522773382,0.027349931179047483,0.7847251672089725,0.7106756433545559,226.17095253037505
3.007431311839064,0.7618097431930881,0.9849151880682129,0.23136846809497297,10.173393431439862,0.8447085079576175,0.567654067266069,303.71548275158864,0.9337721820820382,0.07280407287623093,235.75154116867364,0.9909861973373306,0.026858977514088455,268.1467416735674,0.966782981029655,0.025780170439667755,291.2617724272863,0.7373564144032381,2.957369369738707,232.82370490449907,-0.00470840816457316,-0.03859491797184286,-0.03929554293653541,0.03708190085118178,0.3484236065641629,0.34838690640310754,0.9683653886043849,0.20512131075573975,0.3679044555445296,0.37559919679643955,0.9683653886043849,0.894721256561976,232.82370490449907
1.9447607877829398,0.8072287748475238,0.6953745908901791,0.20993747013799857,18.80119277189827,0.9910628856477345,0.13617851062816033,389.27601248192383,0.9930732373348997,0.02354510363742018,350.82393734757744,0.9916709396050071,0.025818645722538017,426.41800905291893,0.9920674367948746,0.01259830817196833,470.72656592871243,0.906135405817011,1.767962603817876,320.65187443310145,-0.39263698017319654,-0.446173703189593,-0.4623577266852288,-0.042668963838534024,0.0037107570357547462,-0.07121817195062372,0.8935935839395086,0.6590907252842275,0.06390997755204074,-0.16598337876794136,0.8935935839395086,0.9748019810399053,320.65187443310145
2.5454453791816936,0.7815487575790803,0.07632012072872894,0.025223706505521234,3.2527011389349547,0.9459466941675226,0.33490455363671295,378.03480862042153,0.9864286233686415,0.032956979681544415,353.45768020321964,0.99806186996421,0.01245451754174892,363.86996214743425,0.9981046004383777,0.006158229147148813,406.75991427082727,0.9910360431064681,0.5463513880775375,405.2938442246595,-0.7977669141757054,0.32226227871665397,0.1462552893331936,-0.12396678376960736,-0.20898261752747824,-0.15862992147769803,0.6219348560963543,0.6748093691695148,0.2969544349967385,-0.11709723090113029,0.7977669141757054,0.983915566209044,353.45768020321964
2.145987528478187,0.03482613416347506,0.2639410307907022,0.28854398148886906,10.27636759312849,0.17061495673656835,1.311861607149797,251.13614428207785,0.8586871612180199,0.10634724975530774,248.91316097081966,0.6963240443771508,0.15589804033945404,316.45732035841013,0.22956816479237874,0.12415738789715988,272.5852052847021,0.7557467587774874,2.8519528341389773,281.1098810451215,-0.6579610180509207,-0.16186535962485382,0.050165275424493797,0.16297474075595905,-0.28352596964767995,-0.11158014515309612,0.31186995787649524,0.007567046865234039,-0.08766055094088239,-0.1666000013641607,0.6579610180509207,0.542188217180321,248.91316097081966
4.613536368420199,0.33371840462214475,0.20339447437769673,0.35500862811274425,7.424163418396534,0.7684596792126525,0.693143632399822,316.1690867665754,0.986186655829262,0.03324948087511633,346.5317899236455,0.9925245506027204,0.024459867812989988,370.12916481559404,0.9308372638538246,0.037199880094673156,373.9953762749422,0.9679876543400534,1.032478269624,450.2744775291533,-0.7253722267697666,-0.02593841862656787,-0.3115994019316557,0.18369893224476108,-0.2790557702459086,0.09295445156012315,0.2840720501451956,0.45251060298003787,0.23267006951125746,0.41170728945649887,0.7253722267697666,0.9291991607677025,316.1690867665754
3.3347909780352643,0.47908138835755115,0.06413809172298585,0.03169509048123413,17.765763120690448,0.6871033020093881,0.8057687359304797,326.3863014687258,0.9770365716400201,0.04287003284825416,319.10862709551924,0.9966912692302949,0.016272945418763625,350.3090720988999,0.9768205787390816,0.02153558884874547,340.26606104639393,0.8683220750629117,2.0940095505324416,374.38806512677127,-0.7866259631053714,-0.15116974448487402,-0.1580510817492704,0.32211694235707367,-0.1796524345005271,-0.03246694900615346,0.13115765358256576,0.44986563200000673,-0.03182973950991392,-0.48229650642417504,0.7866259631053714,0.9011947593363393,319.10862709551924
2.3419779144117143,0.6798315033047628,0.934137402000378,0.09176940345722799,15.2359312657011,0.9893148486121814,0.1489019078878834,367.40193211850936,0.9915083905569517,0.026069365337344986,275.1018501878337,0.9941627168385965,0.02161428298643418,343.5627803860791,0.99691361261156,0.007858337461811062,295.8996996775733,0.8732132796604851,2.0547503118047814,261.9598237548631,-0.42437106791808293,-0.10165598171257359,-0.2800644170430172,0.04667492686437402,-0.034819753226413216,-0.3232069042263528,0.8632339806733313,0.1420542681299154,0.020456872792675745,-0.5776680414935936,0.8632339806733313,0.9690225696559549,261.9598237548631
4.570142450946958,0.22664422293096095,0.4971743845814836,0.3966276842854479,12.2040789643782,0.7331857481241286,0.7440710961289468,325.20957218435274,0.9800605515840556,0.039947722357552284,324.1793424079757,0.9742610106234274,0.04538697077838926,341.9411072727415,0.7544628612430176,0.07009128988656595,320.75576635280805,0.8854741391833937,1.9528727863266373,390.36423362671377,-0.6701195534833245,0.09879300047357584,-0.12834697420944777,0.18217000388990678,-0.4415183255902127,-0.09107104420493434,0.23513906698620848,0.34434777520204907,0.13227262827201675,0.5817838816326489,0.6701195534833245,0.8654888621516046,320.75576635280805
