true_A_rew,true_A_pun,true_K',true_beta_F,true_beta_P,contraction_A_rew,post_std_A_rew,ess_A_rew,contraction_A_pun,post_std_A_pun,ess_A_pun,contraction_K',post_std_K',ess_K',contraction_beta_F,post_std_beta_F,ess_beta_F,contraction_beta_P,post_std_beta_P,ess_beta_P,post_corr_A_rew_A_pun,post_corr_A_rew_K',post_corr_A_rew_beta_F,post_corr_A_rew_beta_P,post_corr_A_pun_K',post_corr_A_pun_beta_F,post_corr_A_pun_beta_P,post_corr_K'_beta_F,post_corr_K'_beta_P,post_corr_beta_F_beta_P,max_post_corr,mean_contraction,min_ess
0.35228121152762304,0.16627999317127454,1.2344832663037961,-0.3394736058118717,9.897452151078646,0.30917577240897576,0.23945488335967915,276.73690462613223,0.920273771159291,0.08134681044262562,308.80397409532884,0.9808888406019266,0.1995367520349395,307.8148256895437,0.9774005144061455,0.8679378932053939,267.98316493324427,0.944961211220647,1.354483773489036,305.3532678087503,0.40537051853033323,0.07290694913616072,0.660743548375848,0.08379586173064196,0.0008406267219596267,0.26730644811406123,0.11101522680807192,0.09305315833750422,0.8301701633714114,-0.03974658454464625,0.8301701633714114,0.8265400219593971,267.98316493324427
0.7996432889306652,0.9076309743354378,3.9606967847361525,-5.825622726535109,-6.094697880211391,0.848679438979724,0.11206987554588395,278.3275144018303,0.9695581309790302,0.05026614443171632,289.77232012156196,0.030613398998933006,1.421110628611377,241.78596929145615,0.9528979599634262,1.2530235437609019,315.45729231446836,0.0580592421230266,5.603394084174857,220.330776314925,0.3929771678438402,-0.08098826646460713,0.24967240396932944,0.16477793039352262,-0.14984200110816887,-0.18802043052872316,-0.06462187113634282,0.07205559984341427,0.2700948144699309,0.11598891804369658,0.3929771678438402,0.571961634208828,220.330776314925
0.6004862623678128,0.7666184935782674,4.9740570819806775,-0.9645523226541659,0.16847767027499927,0.8057428321637682,0.12697798896972862,317.1498463747526,0.9391090676148613,0.07109126307039405,349.42007905246896,0.3573757756767203,1.1570654550802932,365.8365835728368,0.9972228499899877,0.3042559235255946,286.8505535141015,0.44538800891290675,4.299658866650909,280.4749595169009,0.180913078743693,0.16013384196479225,0.3985832518604062,0.21439195164900432,-0.07367451234804741,0.01686408935418004,-0.020417724796721687,-0.14079091984230208,-0.004597254426920942,-0.07713359297898512,0.3985832518604062,0.7089677068716489,280.4749595169009
0.3879521575565879,0.8128717523447231,3.4968091371947914,-1.8392869331429154,8.800593068432484,0.8775531802233318,0.10081233484584141,283.9136499893286,0.9392706565894593,0.07099687138310636,350.60499768486795,0.36009910710599224,1.154611129426635,273.32948235541625,0.9947967485859935,0.41646334028365,322.75633266510533,0.27216446998924804,4.9255643670235125,253.49122950212444,0.07210168168914287,0.30153041003179887,0.5390988971842112,0.3764961442091857,-0.010315597708566205,0.03380539642829644,-0.0434403559612107,0.17518635402144578,0.1481113939156144,0.17093715381285557,0.5390988971842112,0.6887768324988051,253.49122950212444
0.5080890758363388,0.7867200612897164,0.3383679629016783,-9.37862422426444,-6.755676699414752,0.8430214315322969,0.11414584315256009,327.86435381267484,0.9026476843212017,0.08989034793631713,297.23079952145207,0.8536334794431159,0.5522048996162343,289.8620307729818,0.9820412222365957,0.7737091995361106,325.6720122098962,0.8718990989264466,2.066405099631995,314.6307596215541,-0.11347763376146468,0.1536783228285072,0.25112489058390225,0.3758948585495898,-0.33274797138620554,-0.2629473809809754,-0.5141217761997231,0.02853788226051969,0.22161777119439918,0.24772615041809978,0.5141217761997231,0.8906485832919314,289.8620307729818
0.4281975056956374,0.026282124382804195,1.2956175040341948,1.3691421015864904,0.271503344800891,0.879062899350275,0.100188919877869,351.83322392127303,0.9958188165008449,0.018628999547955046,370.35493588240337,0.4561217855795717,1.0644621239743068,297.57026848115225,0.9902918456350309,0.5688630287678814,324.47546440204076,0.27206972318899614,4.925884952002716,298.0888902744743,0.44194934901861477,-0.08438603561175631,-0.25878307944060314,-0.027693579232233676,0.028968809373878315,-0.3176305197054971,0.020716539917608096,-0.07386579333242126,-0.010448734897376013,-0.23524735755232198,0.44194934901861477,0.7186730140509437,297.57026848115225
0.9217072736840399,0.3306642528703066,0.986706501927024,4.081984820928337,-2.582127645426178,0.9210419218332567,0.08095397956369459,329.3950077076601,0.9732677943375636,0.04710394867436739,307.7536320309266,0.27839609928854725,1.2261082577878377,244.3545530490383,0.9786690932653764,0.8432260814796068,278.71201522252125,0.6039596150007591,3.6333656802806633,228.84842046778903,0.03795241102758876,0.08748803476230578,-0.16758841676033276,-0.05920361972093272,0.28019197431653253,-0.49880333559921636,0.1326946123299769,-0.6245071593774565,0.09445119335057095,-0.3087546570580043,0.6245071593774565,0.7510669047451005,228.84842046778903
0.6659581956070529,0.4786971689600368,0.27621475368870335,-9.11448610280677,7.764645443412153,0.9577781318288562,0.059198218994839666,416.00416553280314,0.9501521269536082,0.06432254720397973,396.58618132497463,0.998476082562461,0.05634561202856005,365.81362379165694,0.9775605191478547,0.86485992800656,381.5596579201818,0.9691682954074834,1.013766978362,403.3615208466969,-0.1664484646110421,0.48564801679878444,0.3379767571912922,0.6812075066798238,0.2521225922513519,-0.11606710476792106,-0.30636924398621285,0.0451553512326367,0.3632218647833472,-0.17667749310895714,0.6812075066798238,0.9706270311800527,365.81362379165694
0.4673955828823429,0.683134530916483,4.714986744899888,-6.662473328276408,5.2335480397209615,0.8344449350715698,0.11722254720863795,310.04561745347854,0.9022652742337796,0.09006672424840499,370.1119729556932,0.2990363161568741,1.2084456992378734,249.9441670609481,0.9769118583493073,0.8772711791058435,306.8666112285521,0.492967074726418,4.111094441766013,300.86871370632633,0.12951543541496535,-0.43073868051246667,0.6889293112158631,0.3133388674375496,0.09345963672478069,0.061366731947579176,0.0523844412411255,-0.22689317967969047,-0.2209758543068714,0.2551645723029532,0.6889293112158631,0.7011250917075899,249.9441670609481
0.9130284901893916,0.22162340253581533,2.4855835948034875,5.780721807569302,2.2001790539051527,0.8271873645858812,0.1197643784419377,327.3412187455913,0.9827463486596378,0.03784255293273924,292.5174443650119,0.21100970204562008,1.2820802577861334,289.91432962915354,0.9341238369795459,1.4818475294988362,334.18075890059157,0.12461707436073355,5.401798853589628,303.3782754457335,-0.20308781567887002,-0.13021951452016664,0.03217148567019003,0.17800553335613215,0.02651610635779472,0.4532555722062168,-0.004418467650494938,0.141361864376168,-0.10241941683014012,-0.20964277102599405,0.4532555722062168,0.6159368653262837,289.91432962915354
