sample_idx,data_model,fit_model,nll,bic,aic,n_params_fit,n_trials,fit_success,rmsse,true_Loss Aversion,est_Loss Aversion,err_Loss Aversion,true_Perception Shape,est_Perception Shape,err_Perception Shape,true_Learning Rate,est_Learning Rate,err_Learning Rate,true_Forgetting Fact,est_Forgetting Fact,err_Forgetting Fact,true_Exploration Weight,est_Exploration Weight,err_Exploration Weight,true_A (Shape),est_A (Shape),err_A (Shape),true_w (Loss Aversion),est_w (Loss Aversion),err_w (Loss Aversion),true_a (Learning Rate),est_a (Learning Rate),err_a (Learning Rate),true_c (Consistency),est_c (Consistency),err_c (Consistency),true_A_rew,est_A_rew,err_A_rew,true_A_pun,est_A_pun,err_A_pun,true_K',est_K',err_K',true_beta_F,est_beta_F,err_beta_F,true_beta_P,est_beta_P,err_beta_P
76,ORLAgent,Agent,130.39675860337485,283.8193681366902,270.7935172067497,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,ORLAgent,PVLDeltaAgent,138.55945488901767,295.5395905219877,285.11890977803534,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,ORLAgent,ORLAgent,98.1891620927343,219.4041751154091,206.3783241854686,5,100,True,0.10431605383491244,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6637459550686817,0.7956047029855778,0.13212299390470553,0.024303992550459404,0.02575719751784345,0.0014561172017876227,3.0463868952783493,2.2927948366553035,-0.15071841172460915,-9.010340296772256,-6.852287244372755,0.10790265261997503,-3.855485246939149,-4.873634070555371,-0.05090744118081112
77,ORLAgent,Agent,125.46069591288284,273.94724275570616,260.9213918257657,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,ORLAgent,PVLDeltaAgent,138.39831373231192,295.2173082085762,284.79662746462384,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,ORLAgent,ORLAgent,90.4814322487738,203.98871542748805,190.9628644975476,5,100,True,0.2940304140080442,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6637459550686817,0.7736904048955598,0.11016477938564942,0.024303992550459404,0.04365129772402375,0.01938607732822079,3.0463868952783493,0.0,-0.6092773790556698,-9.010340296772256,-8.5546750361608,0.022783263030572785,-3.855485246939149,-8.238147519767308,-0.21913311364140795
78,ORLAgent,Agent,138.15978304213618,299.34541701421284,286.31956608427237,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,ORLAgent,PVLDeltaAgent,134.50174206195234,287.42416486785703,277.0034841239047,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,ORLAgent,ORLAgent,52.883824423199975,128.7934997763404,115.76764884639995,5,100,True,0.3506496724614758,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5280890978035264,0.6128230577872601,0.08490376751877121,0.511495361328362,0.49780003783656607,-0.013722769029855685,4.605047564104542,2.06839262945372,-0.5073309869301643,-9.376862758945938,-10.0,-0.031156862052703092,1.8156425048402252,-10.0,-0.5907821252420112
79,ORLAgent,Agent,137.96821114163055,298.96227321320157,285.9364222832611,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,ORLAgent,PVLDeltaAgent,128.7618883640675,275.9444574720873,265.523776728135,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,ORLAgent,ORLAgent,53.57129005323785,130.16843103641617,117.1425801064757,5,100,True,0.3198480242913232,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5280890978035264,0.6836877844094744,0.15591050762119038,0.511495361328362,0.607148866614345,0.09584519567733761,4.605047564104542,1.8376416848819337,-0.5534811758445215,-9.376862758945938,-8.077828616436827,0.06495170712545555,1.8156425048402252,10.0,0.40921787475798876
80,ORLAgent,Agent,138.13054594416258,299.28694281826563,286.26109188832515,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,ORLAgent,PVLDeltaAgent,135.1656876543211,288.7520560525945,278.3313753086422,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,ORLAgent,ORLAgent,74.34507580261591,171.71600253517227,158.69015160523182,5,100,True,0.37085662963581295,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5280890978035264,0.5655658720995715,0.03755187805214942,0.511495361328362,0.3838908137289999,-0.1278602681356334,4.605047564104542,0.5404312705699833,-0.8129232587069117,-9.376862758945938,-7.595300335339963,0.08907812118029876,1.8156425048402252,1.1416482047051228,-0.033699715006755115
81,ORLAgent,Agent,137.40470622808618,297.83526338611284,284.80941245617237,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,ORLAgent,PVLDeltaAgent,133.21130687176571,284.8432944874838,274.42261374353143,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,ORLAgent,ORLAgent,66.82394537070014,156.67374167134074,143.6478907414003,5,100,True,0.029577185872897167,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7044762086835618,0.7356196596030963,0.03120586264482417,0.5472482589053872,0.5721805034976677,0.0249822090103011,0.03794241407642749,0.04684523862739247,0.0017805649101929957,-4.774678961134903,-5.1481039635647665,-0.018671250121493177,-5.5082729999922435,-6.493026166599748,-0.04923765833037521
82,ORLAgent,Agent,135.9577349970809,294.9413209241023,281.9154699941618,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,ORLAgent,PVLDeltaAgent,133.93954013434603,286.2997610126444,275.87908026869206,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,ORLAgent,ORLAgent,72.25754056077159,167.54093205148365,154.51508112154318,5,100,True,0.09261858339497654,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7044762086835618,0.760398483485425,0.056034343488840975,0.5472482589053872,0.6544890062848294,0.10745565869683589,0.03794241407642749,0.03118029073530535,-0.001352424668224428,-4.774678961134903,-4.582458477705036,0.009611024171493333,-5.5082729999922435,-8.861494905930266,-0.16766109529690115
83,ORLAgent,Agent,137.99646118214193,299.01877329422433,285.99292236428386,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,ORLAgent,PVLDeltaAgent,135.3696667653928,289.16001427473793,278.7393335307856,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,ORLAgent,ORLAgent,72.43863790074367,167.9031267314278,154.87727580148734,5,100,True,0.1711857247042368,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7044762086835618,0.999,0.2951140193551485,0.5472482589053872,0.6418175625707293,0.09475882130795803,0.03794241407642749,0.02719100200409001,-0.0021502824144674962,-4.774678961134903,-4.719576307875584,0.0027551326629659647,-5.5082729999922435,-10.0,-0.22458635000038782
84,ORLAgent,Agent,138.40562026953378,299.83709146900804,286.81124053906757,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ORLAgent,PVLDeltaAgent,132.25626535373098,282.9332114514143,272.51253070746196,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ORLAgent,ORLAgent,78.87773372416574,180.78131837827192,167.75546744833147,5,100,True,0.24151313012811215,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19817157492911758,0.2530700452232114,0.0550084872686311,0.7576745550733386,0.9430206525154168,0.1857175325070924,4.151554338625625,1.712261635687453,-0.4878585405876345,-9.123393948586534,-7.7268428872161525,0.06982755306851907,7.879228274664843,10.0,0.10603858626675784
85,ORLAgent,Agent,138.36881179612405,299.7634745221886,286.7376235922481,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,ORLAgent,PVLDeltaAgent,129.26485765596394,276.9503960558802,266.5297153119279,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,ORLAgent,ORLAgent,74.1470508750322,171.31995268000486,158.2941017500644,5,100,True,0.19723730236003392,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19817157492911758,0.2133481215430237,0.015206960534976086,0.7576745550733386,0.7895344457178998,0.03192373812080279,4.151554338625625,5.0,0.16968913227487495,-9.123393948586534,-9.146693406126154,-0.0011649728769810076,7.879228274664843,-0.23166888244410722,-0.4055448578554476
86,ORLAgent,Agent,137.52870350649857,298.0832579429376,285.05740701299715,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ORLAgent,PVLDeltaAgent,129.757464027252,277.93560879845637,267.514928054504,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ORLAgent,ORLAgent,68.08183967769045,159.18953028532138,146.1636793553809,5,100,True,0.5511690038058983,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19817157492911758,0.15572474148434928,-0.04253189723924679,0.7576745550733386,0.9343910040393338,0.17707059014628784,4.151554338625625,0.01426871597085931,-0.8274571245309532,-9.123393948586534,-10.0,-0.04383030257067331,7.879228274664843,-10.0,-0.8939614137332421
87,ORLAgent,Agent,115.68169772667505,254.38924638329058,241.3633954533501,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,ORLAgent,PVLDeltaAgent,109.69201400493128,237.80470875381494,227.38402800986256,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,ORLAgent,ORLAgent,107.43379406555695,237.89343906105438,224.8675881311139,5,100,True,0.324861387634767,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7167976387907165,0.8875053735697492,0.17104983444792865,0.4257281129002796,0.35752631268905805,-0.06833847716555268,3.286983189938211,0.15108379739439684,-0.6271798785087628,0.9561088539694946,0.13099814981069044,-0.04125553520794021,-5.665786328504053,0.6172000112041951,0.31414931698541243
88,ORLAgent,Agent,105.06227527649318,233.15040148292684,220.12455055298636,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,ORLAgent,PVLDeltaAgent,97.03938934688956,212.4994594377315,202.07877869377913,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,ORLAgent,ORLAgent,88.71946097026863,200.4647728704777,187.43892194053726,5,100,True,0.32767731767568964,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7167976387907165,0.999,0.28276789700329014,0.4257281129002796,0.45603034294341865,0.03036295595504913,3.286983189938211,0.08735242617574,-0.6399261527524942,0.9561088539694946,1.3004964363069196,0.01721937911687125,-5.665786328504053,-1.367854643057968,0.21489658427230424
89,ORLAgent,Agent,108.91184711872167,240.84954516738378,227.82369423744333,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,ORLAgent,PVLDeltaAgent,92.39789289186594,203.21646652768425,192.79578578373187,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,ORLAgent,ORLAgent,93.95646362985352,210.9387781896475,197.91292725970703,5,100,True,0.25483933376879253,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7167976387907165,0.6280511846860557,-0.08892430271008092,0.4257281129002796,0.309167912314549,-0.11679378816205474,3.286983189938211,0.8542658770482479,-0.48654346257799264,0.9561088539694946,1.5171587573005658,0.02805249516655356,-5.665786328504053,-0.5411155624765961,0.25623353830137285
90,ORLAgent,Agent,116.29217058533638,255.61019210061323,242.58434117067276,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,ORLAgent,PVLDeltaAgent,125.69232333972737,269.8053274234071,259.3846466794547,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,ORLAgent,ORLAgent,94.61553438812693,212.2569197061943,199.23106877625386,5,100,True,0.021440327986241205,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4264524698204614,0.415509284749424,-0.010965115301640701,0.5799387781233555,0.534488997720211,-0.045540862127399315,0.22354728795696382,0.22126440481866302,-0.00045657662766016016,-0.21857661348710877,-0.15402032492949752,0.0032278144278805624,-6.002114801633644,-5.808613178172587,0.009675081173052824
91,ORLAgent,Agent,119.11088159549986,261.24761412094017,248.22176319099972,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,ORLAgent,PVLDeltaAgent,125.81367652633475,270.04803379662184,259.6273530526695,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,ORLAgent,ORLAgent,94.1275856172477,211.28102216443585,198.2551712344954,5,100,True,0.02381228852840843,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4264524698204614,0.3933399403960931,-0.033178887198765855,0.5799387781233555,0.5755799375878381,-0.004367575686891166,0.22354728795696382,0.19063981202022445,-0.006581495187347875,-0.21857661348710877,0.26564141744003367,0.024210901546357123,-6.002114801633644,-6.661122333937555,-0.03295037661519555
92,ORLAgent,Agent,116.97682544699374,256.97950182392793,243.9536508939875,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,ORLAgent,PVLDeltaAgent,123.81653078104267,266.0537423060377,255.63306156208535,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,ORLAgent,ORLAgent,98.02432813974038,219.0745072094212,206.04865627948075,5,100,True,0.044989449855990835,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4264524698204614,0.47060600420697135,0.04424201842335664,0.5799387781233555,0.5118578511990615,-0.0682173616475892,0.22354728795696382,0.2297788830433696,0.0012463190172811555,-0.21857661348710877,-0.27328808494234413,-0.002735573572761768,-6.002114801633644,-4.8188563018073145,0.05916292499131646
93,ORLAgent,Agent,138.572944827195,300.17174058433045,287.14588965439,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,ORLAgent,PVLDeltaAgent,126.47340088718495,271.3674825183223,260.9468017743699,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,ORLAgent,ORLAgent,116.85596625255678,256.73778343505404,243.71193250511357,5,100,True,0.26159107396571396,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09744552193573135,0.31543470963432396,0.2184260397781489,0.5033354707032606,0.5848070378408439,0.08163483681120572,1.7267403845602711,3.610175095025519,0.37668694209304954,-4.647986340055107,-2.2203078090128514,0.12138392655211279,-2.757123265174277,-10.0,-0.36214383674128614
94,ORLAgent,Agent,137.61086732511262,298.2475855801657,285.22173465022524,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,ORLAgent,PVLDeltaAgent,128.5788667562224,275.57841425639714,265.1577335124448,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,ORLAgent,ORLAgent,104.94789001736525,232.92163096467095,219.8957800347305,5,100,True,0.11541190379039593,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09744552193573135,0.056549690430540984,-0.040977787079349064,0.5033354707032606,0.5294382047800338,0.026155044165103423,1.7267403845602711,0.4627483679024999,-0.25279840333155423,-4.647986340055107,-4.816835041374324,-0.008442435065960829,-2.757123265174277,-2.4358975647124947,0.016061285023089122
95,ORLAgent,Agent,134.69900904072304,292.42386901138656,279.3980180814461,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,ORLAgent,PVLDeltaAgent,123.17000580925068,264.7606923624537,254.34001161850136,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,ORLAgent,ORLAgent,99.97850607497963,222.98286307989974,209.95701214995927,5,100,True,0.17354346059928424,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09744552193573135,0.07796929004667626,-0.019515262413882857,0.5033354707032606,0.5615902147862263,0.058371487057079875,1.7267403845602711,2.345464240124677,0.12374477111288114,-4.647986340055107,-5.015497291217346,-0.018375547558111948,-2.757123265174277,-10.0,-0.36214383674128614
96,ORLAgent,Agent,138.22896330360336,299.4837775371472,286.45792660720673,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,ORLAgent,PVLDeltaAgent,124.9921641291912,268.40500900233474,257.9843282583824,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,ORLAgent,ORLAgent,102.06682157309763,227.15949407613573,214.13364314619525,5,100,True,0.2257150771142143,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4844923726796801,0.4062266036514867,-0.0784226142567068,0.33574910089276333,0.4286118552508271,0.09304885206218817,2.319244650227628,0.09229388205071519,-0.44539015363538254,-3.103741255617618,-3.181432336613694,-0.00388455404980379,-4.947625730858673,-0.8713133693772415,0.20381561807407156
97,ORLAgent,Agent,137.33212590250753,297.69010273495553,284.66425180501506,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,ORLAgent,PVLDeltaAgent,128.71745758935825,275.85559592266884,265.4349151787165,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,ORLAgent,ORLAgent,103.7238102562185,230.47347144237744,217.447620512437,5,100,True,0.25355732472704895,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4844923726796801,0.6465956148172779,0.16242809833426633,0.33574910089276333,0.3078824653065744,-0.02792248054728347,2.319244650227628,0.022618744140333803,-0.45932518121745886,-3.103741255617618,-3.0845271183700262,0.00096070686237959,-4.947625730858673,0.825189440517052,0.28864075856878624
98,ORLAgent,Agent,138.37460724306018,299.77506541606084,286.74921448612037,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,ORLAgent,PVLDeltaAgent,135.1926973359086,288.80607541576956,278.3853946718172,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,ORLAgent,ORLAgent,112.53844028116261,248.10273149226566,235.07688056232521,5,100,True,0.11852091476552981,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4844923726796801,0.3382791612750116,-0.14650622385237322,0.33574910089276333,0.30979832293842485,-0.026002783521381242,2.319244650227628,1.4448813089128638,-0.17487266826295284,-3.103741255617618,-3.818670518388916,-0.03574646313856489,-4.947625730858673,-2.399092185964521,0.12742667724470758
99,ORLAgent,Agent,22.936357514733228,68.89856595940691,55.872715029466455,5,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,ORLAgent,PVLDeltaAgent,26.739403233528055,71.89948721100848,61.47880646705611,4,100,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
