true_A (Shape),true_w (Loss Aversion),true_a (Learning Rate),true_c (Consistency),kl_div_A (Shape),post_std_A (Shape),ess_A (Shape),kl_div_w (Loss Aversion),post_std_w (Loss Aversion),ess_w (Loss Aversion),kl_div_a (Learning Rate),post_std_a (Learning Rate),ess_a (Learning Rate),kl_div_c (Consistency),post_std_c (Consistency),ess_c (Consistency),post_corr_A (Shape)_w (Loss Aversion),post_corr_A (Shape)_a (Learning Rate),post_corr_A (Shape)_c (Consistency),post_corr_w (Loss Aversion)_a (Learning Rate),post_corr_w (Loss Aversion)_c (Consistency),post_corr_a (Learning Rate)_c (Consistency),max_post_corr,mean_kl_div,min_ess
0.1995524026313483,0.1453399931712745,0.1666999761185754,2.037417707085208,0.8847253702023733,0.0999596092994599,306.2976322398105,2.5190822051160806,0.1089459758454307,345.1612293920091,2.085398106054317,0.0301694186692392,339.04437469338654,0.5687298069165743,0.7417393046340379,309.4389926336251,-0.1029476984916571,-0.5612397697453034,-0.9222162931920505,0.0510794687566368,0.0855068744965509,0.6389697709514267,0.9222162931920505,1.5144838720723364,306.2976322398105
0.6536790865571348,3.433383288930665,0.5143893698618873,2.758547552035711,0.1768061190272401,0.2219090443515859,266.44981998264655,0.2865464254390364,0.994756870517618,276.9296281357819,0.325062297878559,0.1932042721534151,260.5238294104408,0.0233755142384239,1.3113079459742805,267.5993101132684,0.0954002627552369,-0.923892155389517,-0.2852565450440704,-0.3278345539215076,-0.0840449205033061,0.2451444717199421,0.923892155389517,0.2029475891458148,260.5238294104408
0.9799463350073024,2.011485148339802,0.4175950607817644,0.3018972285218768,0.5031564659311352,0.1711637976837663,282.08677274713494,1.3127847912139334,0.3282922883227382,324.1234688035884,0.3583218794049106,0.1788932778234326,306.80895769536363,0.0236579132929131,1.322395762516974,312.0021485922538,0.6440331590932852,-0.8608081173624546,-0.093380790884681,-0.8582734301278434,-0.2319084037140743,0.1208525836884777,0.8608081173624546,0.5494802624607231,282.08677274713494
0.565114726123676,0.0816288390995571,0.8783420398863219,0.593407203265024,0.5642712921065192,0.1413395188849532,239.41836492715984,2.897291022622099,0.068922474262792,357.28548921078374,0.4490177763048056,0.1602835437655916,399.4980394063604,0.7633871659900374,0.6616922773867818,254.26032839296204,0.5557477449422321,-0.3766629116567653,-0.8677089909914546,-0.5794122993765375,-0.4293864154454574,0.2973212165609847,0.8677089909914546,1.1684918142558651,239.41836492715984
0.7807044462578664,4.667121830838064,0.2340812902794547,2.5984959892967616,0.277443131818889,0.1910508253959784,278.22814666207745,0.365078359266229,0.91742586990174,318.8977366881172,0.4337160386373024,0.1696451565980477,320.18975883971456,0.084608296236915,1.2379308270445375,230.3747802379012,0.100572665552859,-0.91439110373013,-0.1875699167652924,-0.2588197087696112,-0.0713632469876405,0.0719536258931973,0.91439110373013,0.2902114564898339,230.3747802379012
0.5909514131421231,3.5522631037840804,0.4733780179116981,1.5178467255715349,0.1820456202403494,0.2183527248997181,262.9355973569913,0.2859660655238893,0.99903997609813,302.9791557257928,0.2775620273295073,0.1958797891164229,250.5071535527817,0.0312300624080026,1.3342769393891245,285.9695693041717,0.0652325134668532,-0.9225560652024252,-0.1230414162845947,-0.2779903582374456,-0.1304337344804662,0.075199183649885,0.9225560652024252,0.1942009438754371,250.5071535527817
0.0302388006757939,0.2020541903858257,0.5159558924126205,0.5872075027604531,0.7540101112225178,0.1505731213483968,236.18109042015809,0.691677847190937,1.039193547080078,253.1310042473121,0.0874140639341375,0.2666885935797702,203.3748834430476,1.7851544440769305,0.3779202171346932,245.0583808337417,-0.1488432939975612,-0.0348249185616633,-0.3595488754339483,-0.2696405481636133,-0.3518493976764479,0.0251182309008342,0.3595488754339483,0.8295641166061307,203.3748834430476
0.4039486015281308,0.3901124242134635,0.9213053709313024,4.9368515942671625,0.4919287784807701,0.1652464319679399,283.7988498703259,2.305740725187506,0.1234264633519943,264.0490357180853,0.1535976112924315,0.2250532523721928,272.8420846844703,0.0419252684791462,1.2882717562471475,310.671965727128,-0.4341076147937406,-0.3689501496826307,-0.1849055848861867,-0.5059945177669324,0.1975007907255881,-0.0106113099172162,0.5059945177669324,0.7482980958599634,264.0490357180853
0.9663615166546864,4.487322812133772,0.7524646831677255,3.181749075836339,0.3729388360833776,0.1856865769549489,251.7971681867077,0.2651885177486079,1.078166516326274,262.5288667124201,0.6507178163607956,0.1428526530937407,269.32892991390594,0.030958810236227,1.3128047014159063,297.7084096484244,-0.1187793548208941,-0.4145520420150365,-0.0394232931415824,-0.1646751959755024,-0.1012130667905259,0.0069232690723062,0.4145520420150365,0.329950995107252,251.7971681867077
0.3901353096416764,2.6448778310558185,0.2530907194888792,4.980565748438619,0.824606765723398,0.1100432064520249,290.93379103784,0.5794318927404907,0.7560530513869315,346.1946797423296,0.7199367387162514,0.1196397155630076,289.91218329240525,0.3918613915200344,0.9031027230970646,366.3803603640828,-0.1335884706327123,-0.9675659652670652,-0.2985180213447251,0.0788182073271039,-0.1026399204514158,0.2910265190435464,0.9675659652670652,0.6289591971750437,289.91218329240525
