A (Shape),w (Loss Aversion),a (Learning Rate),c (Consistency),Pattern
0.7957087567023858,2.919729999317127,0.3285351021006421,2.1819500267069984,GOB
0.3422253528851182,0.8124163288930666,0.9755813507304892,4.529157507823333,GOB
0.3796406335007302,3.76103251483398,0.5995705819912021,0.1717490885411291,GOB
0.617732514706224,3.678824883909956,0.0406022039886321,0.6255392157556589,GOB
0.7442721922121709,1.2185143103784082,0.6436341290279455,0.5647798803765784,GOB
0.6816638986274631,0.7611401830838064,0.4958978017911697,4.300508665120921,GOB
0.5161318800675794,1.457903750569564,0.020203589241262,3.671111512967788,BOG
0.2556874506805706,1.016300317144664,0.2779445370931302,4.677678425287031,BOG
0.4178154865790887,0.1114262812133772,0.3868990279493674,1.228368907583634,GOB
0.2689582755419435,2.1552252464836266,0.1548910719488879,3.0492395256333067,GOB
0.6264854439200633,1.0413427969173317,0.6538545743077946,0.1773522580919007,GOB
0.7099632125593237,4.363470845171219,0.8741932792809521,0.6025242485522777,GOB
0.6008948658902129,1.173528527021358,0.5843371206140895,2.890714634879102,GOB
0.9988541889732546,3.140062478845121,0.261122377255032,2.34853283242704,GOB
0.3320551346764434,1.5303843962864392,0.8172183201943708,4.385117698986611,GOB
0.9095796562135654,0.0674138459862691,0.0716640832509167,4.6888585311403,GOB
0.3419203257726399,1.9635315277581435,0.8177292769821723,2.7731649009985047,GOB
0.2666018980687555,0.0385061560455461,0.8445275122347817,4.537518288413563,GOB
0.2638650261914929,1.2093625283931062,0.4350944560571455,2.707313178875762,GOB
0.8656978684359622,4.824689407318303,0.7385297076338364,2.6698170825263983,GOB
0.0732284659190151,1.7650764259122829,0.4438987577006691,4.857119361025933,BOG
0.5093515030095196,3.6915321322349457,0.9018469728485816,2.4296890465242087,GOB
0.9835340681877512,4.006489957314447,0.3938918422036628,0.8471247283517099,GOB
0.5583612693697185,0.1964608432179334,0.6898723006063487,1.9973869779720677,BOG
0.7199563611031105,0.2199875510374355,0.0165106348313801,1.4263404116749756,BOG
0.6224321010232399,4.808055471838315,0.541973357747631,1.7139251601370296,GOB
0.5044498073210147,1.8745465435912196,0.4756070264225756,3.456365655957663,GOB
0.0145349145894936,2.805495202808249,0.9069547130953788,0.0397380413619343,GOB
0.7728334205884182,1.935561938870196,0.3775189266113672,2.458237098944476,GOB
0.4109978131330926,0.4048559710645482,0.6989544455781245,3.2868059457769787,BOG
0.6046158279467985,4.7931842490639385,0.0452178058093354,1.7650670242126338,GOB
0.2729357603935753,0.6049216846220352,0.4861246874799581,3.2381578702794016,BOG
0.763369526212391,1.6843193767465907,0.3008516659439095,3.23361473012186,GOB
0.6056669498943393,0.4677358239350742,0.8787069987326867,3.7360474695625374,BOG
0.9406082052757782,1.6751806611699311,0.8085770184250045,1.819291435460077,GOB
0.6941916416504941,3.707726390498327,0.1317823103619149,1.830779415403729,GOB
0.0193272134457856,0.4488535582882343,0.4936483493385262,2.139212368942333,GOB
0.3374050955308596,4.226299238976395,0.6553163941990096,4.764575631549704,GOB
0.192961411144666,4.755314130279125,0.7485185020032551,3.626081104387146,GOB
0.4510883157107999,2.9654178962105773,0.8045554368901878,4.630970889803066,GOB
0.5441826672927008,2.7955018201785524,0.7275064176298028,1.3333106622689364,GOB
0.0875061392110604,3.5275798195607053,0.7865897016308597,2.36746736503088,GOB
0.4319110665658463,0.4302050064037204,0.5282120518096325,3.1294014641703507,GOB
0.7027513189120675,3.173723828517091,0.1313414076521187,2.6656331792018464,GOB
0.8153778507821193,1.996639728292872,0.4279994479012814,0.298672889196582,GOB
0.168025623086806,0.8584063402535815,0.3900769784043903,0.3443017830326568,GOB
0.558109141538442,4.770797662059358,0.6836837853620047,3.9949197222652746,GOB
0.5212861356569529,0.693368064405109,0.1840545109961943,3.4947755113661443,GOB
0.6077376939293826,4.70376254955322,0.1966836497053083,4.637547090228459,GOB
0.5920013222072789,3.940249187083244,0.4503131059361885,4.592506296974445,GOB
0.4925237370371642,2.884268117226791,0.3653108532451319,4.519818390292454,GOB
0.4326849071758373,0.8151568032820611,0.6835698992008783,4.821679696643734,GOB
0.2974504005610417,0.3587946827282426,0.7345425360377428,1.0273800456239977,GOB
0.2452069566852132,3.0231574837228696,0.2995323493883361,2.4201146249854486,GOB
0.4206260505651916,4.050778493703957,0.0272403426149007,3.936733216962563,GOB
0.4190084121590274,1.4546163931227392,0.5070467528858729,0.3084462879894671,GOB
0.8801532836470775,1.7816068822198523,0.5269730778207055,2.586281912353757,GOB
0.1817384729278871,4.185526314391057,0.2665802127597813,4.526529723909322,GOB
0.7218166860813957,3.676057149531872,0.3994792614021231,0.5311512478062183,GOB
0.4888694584428921,1.55360457462678,0.6481504683167725,0.5238610742912279,GOB
0.2563457731342532,0.5141927765458516,0.556069788135574,1.6412002919485824,GOB
0.5935840088675014,1.5071319965241317,0.1676865847828469,1.3548922535738648,GOB
0.9310219115594056,4.6103549696778,0.0340269176569351,3.1807782443495114,GOB
0.8308125393589312,4.730292656116174,0.3972411408521265,2.223638426485418,GOB
0.084880319384842,2.876150932476305,0.8332525996952168,2.6411327552035715,GOB
