true_Loss Aversion,est_Loss Aversion,true_Perception Shape,est_Perception Shape,true_Learning Rate,est_Learning Rate,true_Forgetting Fact,est_Forgetting Fact,true_Exploration Weight,est_Exploration Weight,err_Loss Aversion,abs_err_Loss Aversion,err_Perception Shape,abs_err_Perception Shape,err_Learning Rate,abs_err_Learning Rate,err_Forgetting Fact,abs_err_Forgetting Fact,err_Exploration Weight,abs_err_Exploration Weight,global_error
3.6449759186354114,2.198659083010818,0.10313741556053184,0.23996836787904455,0.8223470509879591,0.6594266012801644,1.4519644752443437,0.657856214636629,2.3244201100680812,4.859786440314774,-1.4463168356245935,0.28984305323138143,0.13683095231851272,0.13962342073317624,-0.16292044970779473,0.1662453568446885,-0.7941082606077147,0.3990493771898064,2.5353663302466924,0.5080894449392169,0.3312209242455418
0.08754803282061142,0.023758336623664632,0.49262816618409894,0.6036853216106852,0.5219205302071644,0.5808152372833181,1.9875501077419515,2.0,2.821219119874296,5.0,-0.0637896961969468,0.012783506251893145,0.11105715542658628,0.11332362798631254,0.05889470707615363,0.06009663987362615,0.01244989225804849,0.0062562272653509995,2.178780880125704,0.43662943489493067,0.20361810951506001
1.0187018693435068,1.9757070901444775,0.31147048074160666,0.2014766382961258,0.688488242601549,0.7124732091006071,1.6982254087791822,1.3833881133301702,2.1313147262957033,2.3535896079148193,0.9570052208009707,0.19178461338696806,-0.10999384244548085,0.11223861474028658,0.023984966499058125,0.0244744556112838,-0.31483729544901196,0.15820969620553366,0.22227488161911602,0.04454406445272866,0.1240905517754612
0.46681215755658795,0.4090957623944095,0.6236888445861922,0.662595326526731,0.1568749181780358,0.1569385844236102,0.20172602793546954,0.17489558242558742,2.357571917183008,2.801810346458335,-0.05771639516217847,0.01156641185614799,0.038906481940538806,0.039700491776060005,6.366624557438416e-05,6.496555670855527e-05,-0.026830445509882117,0.013482635934614129,0.4442384292753272,0.08902573732972488,0.04431089827538396
0.281874284353948,0.15145539548210357,0.136485226832695,0.07705325032245149,0.652937431872186,0.8192096741414568,0.058185377937137656,0.01,1.3630953761404805,1.6206569134825506,-0.13041888887184444,0.02613604987411712,-0.059431976510243525,0.060644873990044416,0.16627224226927084,0.16966555333599065,-0.048185377937137654,0.024213757757355604,0.2575615373420701,0.051615538545505026,0.08532029502665003
1.4850975056956373,1.4182470306122947,0.45814512910246546,0.48413126492719993,0.966394144619057,0.99,0.3026543379978845,0.26976977012470793,1.0510831714466404,1.2540605407947216,-0.06685047508334252,0.013396888794257017,0.02598613582473447,0.02651646512728007,0.023605855380942953,0.02408760753157444,-0.03288456787317656,0.016524908478983198,0.2029773693480812,0.04067682752466557,0.026040312158333558
4.48222726020186,5.0,0.4843836809244289,0.48918550613801626,0.7980257920710261,0.7696652060596366,0.7925855703699812,0.7972970818415539,1.5853142863211793,1.7524079034847693,0.51777273979814,0.10376207210383566,0.004801825213587352,0.004899821646517706,-0.028360586011389466,0.02893937348100966,0.004711511471572671,0.002367593704307875,0.16709361716358995,0.033485694822362716,0.05050734690044158
3.957870774694109,4.126588660330114,0.7866739167900314,0.7857853229000821,0.38829905494929823,0.37956827717272856,1.8086060636026597,1.7663846859656398,3.5328172191948317,3.6863846022862043,0.16871788563600498,0.0338111995262535,-0.0008885938899493295,0.000906728459131969,-0.008730777776569665,0.008908956914867006,-0.04222137763701994,0.021216772681919568,0.15356738309137263,0.030775026671617762,0.02289385329248318
2.962989362734677,3.8591541180242293,0.1300470216618524,0.1989205020583317,0.1693821400675099,0.09532412086333356,0.93618944734508,0.43192656832292675,0.827203329324114,1.7153744671356035,0.8961647552895524,0.1795921353285676,0.06887348039647931,0.07027906162906052,-0.07405801920417635,0.07556940735120035,-0.5042628790221533,0.2533984316694238,0.8881711378114895,0.1779902079782544,0.16661002143413425
3.8542484517121816,4.292722391833171,0.31575156067969135,0.30842964165425113,0.33675487691629674,0.31536266142135233,0.1784236678941796,0.1431199526808573,1.22108149247966,1.3408184220930752,0.43847394012098917,0.08787052908236255,-0.0073219190254402156,0.00747134594432675,-0.02139221549494441,0.02182879132137185,-0.03530371521332229,0.01774056040870467,0.1197369296134152,0.02399537667603511,0.04276459425138005
0.7587432889306652,1.1706449418655358,0.32773946363387396,0.2560165379181438,0.4396576282200958,0.3879726789637751,0.1705338935907637,0.11264188516460018,3.0101285055111973,3.088017884703056,0.4119016529348706,0.08254542142983377,-0.07172292571573013,0.07318665889360218,-0.05168494925632072,0.052739744139102776,-0.05789200842616353,0.029091461520685192,0.07788937919185868,0.015609094026424583,0.05664180646948089
3.070034238921763,3.1004902434114805,0.7670316914439561,0.8271885849316993,0.7421133434133924,0.6436189508578454,0.5188836079474519,0.5005565110333863,1.7453769898661111,2.1220893831871264,0.030456004489717525,0.006103407713370246,0.060156893487743224,0.06138458519157472,-0.09849439255554704,0.1005044821995378,-0.018327096914065644,0.009209596439228966,0.37671239332101525,0.07549346559539384,0.0627543621451623
0.9913493384413311,1.0684371811521562,0.38539665143595947,0.37135471310756496,0.8158551586678707,0.6988080407153539,0.5940354589978654,0.4762816416517501,4.454745511166394,5.0,0.07708784271082514,0.01544846547311125,-0.01404193832839451,0.014328508498361744,-0.11704711795251688,0.11943583464542538,-0.11775381734611529,0.05917277253573632,0.5452544888336064,0.10926943664000127,0.07765321195147072
1.2220352775814334,5.0,0.9674817593291175,0.99,0.6268042578077972,0.99,0.1412173450184196,0.01,0.8639215604554612,0.11581888888195965,3.7779647224185666,0.757107158801316,0.022518240670882483,0.02297779660294131,0.36319574219220274,0.3706079001961253,-0.13121734501841958,0.06593836433086411,-0.7481026715735015,0.14992037506482997,0.3841649207001903
3.8240495746913155,2.390682382157777,0.17198966351261238,0.24486110391666435,0.43315365496348596,0.5868592196668485,1.374208920846256,1.8889778414576877,1.9319618122485984,1.7166914614081643,-1.4333671925335385,0.2872479343754586,0.07287144040405197,0.07435861265719589,0.15370556470336255,0.15684241296261486,0.5147689206114316,0.2586778495534832,-0.2152703508404341,0.043140350869826476,0.19048120185781708
3.9210892751659134,1.518411916248836,0.19678857401773095,0.4011185754602925,0.48018304353490193,0.4011033455445728,1.2853630120336819,0.7934767890087079,2.477216695873118,4.307649983118949,-2.402677358917077,0.4814984687208571,0.20433000144256155,0.2085000014720016,-0.07907969799032916,0.0806935693778869,-0.491886223024974,0.24717900654521305,1.8304332872458313,0.3668202980452568,0.3090239700955213
3.9953701508675326,5.0,0.6560034817515775,0.6442604641551101,0.11620452004605455,0.10736226784174821,1.8918754477787674,1.7345052620297758,4.001773333510124,4.789625451195812,1.0046298491324674,0.2013286270806548,-0.011743017596467453,0.011982671016803524,-0.008842252204306345,0.009022706330924841,-0.15737018574899153,0.07908049535125203,0.7878521176856879,0.15788619592899555,0.11994997734584278
