true_A (Shape),true_w (Loss Aversion),true_a (Learning Rate),true_c (Consistency),rmsse_median,rmsse_p90,n_successful,convergence_rate,bias_A (Shape),std_A (Shape),shapiro_p_A (Shape),bias_w (Loss Aversion),std_w (Loss Aversion),shapiro_p_w (Loss Aversion),bias_a (Learning Rate),std_a (Learning Rate),shapiro_p_a (Learning Rate),bias_c (Consistency),std_c (Consistency),shapiro_p_c (Consistency),pct_normal,shapiro_p_median,corr_A (Shape)_w (Loss Aversion),corr_A (Shape)_a (Learning Rate),corr_A (Shape)_c (Consistency),corr_w (Loss Aversion)_a (Learning Rate),corr_w (Loss Aversion)_c (Consistency),corr_a (Learning Rate)_c (Consistency),max_error_corr,nll_median
0.1995524026313483,0.1453399931712745,0.1666999761185754,2.037417707085208,0.2006106367573752,0.4507391390674342,100,1.0,0.1343600071672189,0.3287095565309367,1.097067375949311e-09,0.008121246216149,0.1903599791527008,2.7965629523851622e-11,0.0482539172710605,0.1576474159387353,4.451597815786824e-15,0.112938455381451,1.7270985704971191,2.387826820861112e-07,0.0,5.625165027365811e-10,-0.0792158097497655,0.1085584321751092,-0.7930760401602814,-0.2229637075919151,0.0927393936388385,-0.1397370494468797,0.7930760401602814,74.6062917276055
0.6536790865571348,3.433383288930665,0.5143893698618873,2.758547552035711,0.2058541271847332,0.2521538043879933,100,1.0,0.2992889629034496,0.0592138343408191,9.96083987828103e-11,0.3775879582873277,0.8290759729368813,0.0006171248436089,-0.1773967936480998,0.0448970551073044,0.021546348148619,-0.0240409014318483,0.7632753514152311,7.622147036397377e-09,0.0,0.0003085662328779,-0.4087401763921821,-0.499204832023676,-0.5757198245569387,-0.2916500759026428,-0.3140792491432206,0.5170337868518134,0.5757198245569387,3.17805385113095
0.9799463350073024,2.011485148339802,0.4175950607817644,0.3018972285218768,0.3356944199885224,0.4879734429057319,100,1.0,-0.0575984472502975,0.1534268969404651,2.137884982574e-16,1.2443697008552277,1.2687546333174575,2.805025839575213e-07,-0.0170225959105407,0.1698649666785713,4.0008728687478183e-13,2.733823013291749,1.4434233982967646,9.642970278075587e-06,0.0,1.402514920224041e-07,-0.1796582270637112,-0.6258839218153612,-0.3222403158953151,-0.2066334475474665,-0.1847716737302812,0.4969494135120488,0.6258839218153612,3.1780538777232827
0.565114726123676,0.0816288390995571,0.8783420398863219,0.593407203265024,0.4970188806626116,0.6263952692703205,100,1.0,0.2269933114541688,0.3021331131161964,1.1987658472021934e-12,-0.0030267990460219,0.1198661805645228,5.569699735254166e-15,-0.1513092909500591,0.3484325003038972,3.042720490443026e-12,2.3859521800503947,2.2983876490811923,1.3480344480245645e-13,0.0,6.667846460023249e-13,-0.5209318659946379,-0.1232510581540309,0.1199050917442159,-0.0980461115838586,-0.227897081244387,-0.232182849453841,0.5209318659946379,10.000537828793291
0.7807044462578664,4.667121830838064,0.2340812902794547,2.5984959892967616,0.1262112646365308,0.2511222425069626,100,1.0,0.113237742810882,0.106573472134193,1.291731354001926e-07,-0.5144571450496959,0.6893004389556184,5.10585594979778e-06,-0.0420610342380273,0.056120889887124,1.0108738361962469e-07,0.6176473102329126,0.818338422905835,7.304173541157899e-08,0.0,1.1513025950990865e-07,0.3037603051437388,-0.9900142200750452,-0.8525673015432553,-0.2353908985893438,-0.5988540299848882,0.8427874737408001,0.9900142200750452,3.17805390475828
0.5909514131421231,3.5522631037840804,0.4733780179116981,1.5178467255715349,0.2917681875259066,0.3613822487115694,100,1.0,0.3071515700986372,0.1060742837022257,3.4397914102164327e-09,0.5962975807122862,0.7214604087982758,5.44431757343294e-06,-0.22518071005208,0.0912348689138621,1.521843101447927e-11,1.734763937843829,0.8635622559711288,8.45074604479315e-06,0.0,2.723878682421578e-06,0.085708300928904,-0.7589871097691309,-0.7457448995916319,-0.1924646938273441,-0.3457238843241693,0.5503731764785904,0.7589871097691309,3.178053853185824
0.0302388006757939,0.2020541903858257,0.5159558924126205,0.5872075027604531,0.290149445196844,0.5777486518045263,100,1.0,0.2800244695861844,0.3600743258590346,6.759398907980898e-11,1.3104646942734914,2.08548704218809,4.787943955115623e-14,-0.1969619173962599,0.3399365015941096,1.0090802256711347e-09,-0.0593535475596637,0.624747270047971,1.8336984447303954e-10,0.0,1.2548191677642423e-10,0.0610607287064208,-0.0594286459853876,-0.5911820611028604,-0.211828731442048,-0.2619939170884637,0.0599041315498032,0.5911820611028604,137.22067104768905
0.4039486015281308,0.3901124242134635,0.9213053709313024,4.9368515942671625,0.3060931949467609,0.4092957752351068,100,1.0,0.5425813486915477,0.1291308871308883,2.381509000721076e-17,-0.284035825730036,0.1891054248483312,1.6580553225583929e-15,-0.0153967185498125,0.2417655868356885,6.7160720517820746e-18,-0.2259144121456919,0.8830608164904461,1.0674759446012981e-18,0.0,1.5265581029496417e-17,-0.6777807380638496,0.265708221175276,0.1726259931584217,-0.7957892714248663,-0.3416057959772724,0.4039967509112226,0.7957892714248663,1.3862943611198906
0.9663615166546864,4.487322812133772,0.7524646831677255,3.181749075836339,0.2274863023543174,0.2837995100609549,100,1.0,-0.0154815994507777,0.1012618465505505,7.813953408158035e-16,-0.3108864838592215,1.1571101545334834,1.278530674787197e-12,0.1729849772638808,0.1518341477689805,4.0524904051339556e-16,0.5245514758603648,1.4532797538270477,3.758809096943337e-10,0.0,6.396560350640067e-13,0.141405180633468,0.2384015416446743,0.3232780976994293,0.4238183617392084,0.2759756622953739,0.2956705779449238,0.4238183617392084,3.1780538303479458
0.3901353096416764,2.6448778310558185,0.2530907194888792,4.980565748438619,0.230904126637465,0.2524059519372569,100,1.0,0.0333175546210312,0.083561093951631,0.0164556435653694,1.478633884409296,1.0045056207880685,3.509349001239306e-10,-0.0451674072421924,0.0868221413615886,1.957780080848172e-05,-0.1548859630043461,0.5058124664827489,2.0737859541060196e-18,0.0,9.78907587169092e-06,-0.2411000072483441,-0.9071484494554845,0.1541954153849511,0.0279141073089724,0.1070884555966812,-0.1512462252567735,0.9071484494554845,6.021490193726882
0.1912944392006327,1.5299569228045686,0.4034055373456303,4.396559564907187,0.0817525674153795,0.2231606904228334,100,1.0,0.0485782361725223,0.1212047582702974,5.691496092148401e-12,0.100220789927647,0.2872970620325412,4.8359291343751325e-05,-0.0394131332303682,0.0812661891247549,0.184969362892008,-0.2367156640105229,1.0061662003602965,4.6182041800144776e-10,25.0,2.4179876582084663e-05,-0.3221806810042119,-0.6395228095659715,-0.4748903908043815,-0.3276225956466606,0.0134588007823026,0.4070092519925619,0.6395228095659715,20.31758724164288
0.1540356378667674,0.2381422470611989,0.9616127928095202,4.060443902924539,0.4385295060988503,0.6126173738932504,100,1.0,0.6211751478255277,0.362474083380194,1.0846694581687452e-14,-0.1393001237620673,0.1487227204132971,1.59333369158477e-14,-0.2002587280029539,0.3715307007869385,6.560187251039417e-15,0.3149165200599069,1.295278970757125,3.951521443280825e-16,0.0,8.703440916363436e-15,-0.8840167666902212,-0.2741938234610634,0.5104731693660356,0.2313504748430069,-0.6017822237896399,-0.154168383163684,0.8840167666902212,1.3862943611198906
0.7095686589021296,2.693225270213579,0.7288890906989046,3.892146524547885,0.3255953747678285,0.3262933663358869,100,1.0,0.1994778449926613,0.1643393239944154,1.0998909358523736e-14,1.7112459378246163,0.9866457821579304,7.075919870955688e-14,0.2083315280306934,0.1469842797579766,4.90078564855535e-17,-0.0753911677441109,1.3308954583539372,5.688804628375391e-10,0.0,4.087905403404031e-14,0.2052258280623824,0.0153928245290107,0.3001373369838236,0.3835510960995606,0.4176194923056351,0.2628150885471721,0.4176194923056351,3.1780538303479458
0.7450018897325457,0.6382463978112828,0.9451437725503198,0.3914283242704007,0.263298860328351,0.5014572523500544,100,1.0,0.0687233947752248,0.2088014058287895,1.8322242351078247e-09,0.2731370886344683,0.6434982113910915,1.0380370498929057e-17,-0.2037844584377186,0.2577166634278149,1.8750088821590067e-08,1.659451997188219,1.905493108204322,8.312247798411153e-11,0.0,9.576733565459683e-10,0.0370085202811035,-0.1192089927618254,-0.2213179589719626,-0.1779068007883288,0.2161582216961054,-0.0557967085163405,0.2213179589719626,6.776481912131263
