true_$\lambda$ (Loss Aversion),true_$\rho$ (Perception Shape),true_$\alpha$ (Learning Rate),true_$f$ (Boredom Factor),true_$\beta$ (Exploration Weight),kl_div_$\lambda$ (Loss Aversion),post_std_$\lambda$ (Loss Aversion),ess_$\lambda$ (Loss Aversion),kl_div_$\rho$ (Perception Shape),post_std_$\rho$ (Perception Shape),ess_$\rho$ (Perception Shape),kl_div_$\alpha$ (Learning Rate),post_std_$\alpha$ (Learning Rate),ess_$\alpha$ (Learning Rate),kl_div_$f$ (Boredom Factor),post_std_$f$ (Boredom Factor),ess_$f$ (Boredom Factor),kl_div_$\beta$ (Exploration Weight),post_std_$\beta$ (Exploration Weight),ess_$\beta$ (Exploration Weight),post_corr_$\lambda$ (Loss Aversion)_$\rho$ (Perception Shape),post_corr_$\lambda$ (Loss Aversion)_$\alpha$ (Learning Rate),post_corr_$\lambda$ (Loss Aversion)_$f$ (Boredom Factor),post_corr_$\lambda$ (Loss Aversion)_$\beta$ (Exploration Weight),post_corr_$\rho$ (Perception Shape)_$\alpha$ (Learning Rate),post_corr_$\rho$ (Perception Shape)_$f$ (Boredom Factor),post_corr_$\rho$ (Perception Shape)_$\beta$ (Exploration Weight),post_corr_$\alpha$ (Learning Rate)_$f$ (Boredom Factor),post_corr_$\alpha$ (Learning Rate)_$\beta$ (Exploration Weight),post_corr_$f$ (Boredom Factor)_$\beta$ (Exploration Weight),max_post_corr,mean_kl_div,min_ess
3.6449759186354114,0.10313741556053184,0.8223470509879591,0.36505657933152186,2.3244201100680812,0.6859101224806776,0.7143355935705217,404.4152655930224,1.9777437921643137,0.035136918143422874,359.1001224399977,1.4550757343620981,0.05733460793814607,394.2085328722934,1.0174749553286473,0.04314921855675972,372.7049455749885,1.514607802006043,0.2669478065201008,371.24989088231035,-0.7449433335471445,0.002386420101349047,-0.1705865760787961,0.21855569492939503,-0.33735252667443766,-0.17353253835891458,0.19102514459039008,0.24104409591559625,0.12624762313848614,0.09022032403757115,0.7449433335471445,1.330162481268356,359.1001224399977
0.08754803282061142,0.49262816618409894,0.5219205302071644,0.496934448639978,2.821219119874296,3.1531900791344243,0.051734267791610174,396.68578883435043,2.19741310446415,0.026490046268279596,459.0772857639973,1.5853385862127667,0.04936358461004372,381.42944149132023,2.1600495803454454,0.017832744287264952,364.26690690349704,1.4152496614808,0.2950593809077816,390.7234886592275,-0.0184771696766566,-0.565204475455239,-0.07550612634049249,-0.07162022458356129,-0.3674099084723493,-0.08624969571174253,0.790287073276297,0.06462900769411967,-0.04197211179472361,0.09268608806861489,0.790287073276297,2.1022482023275173,364.26690690349704
1.0187018693435068,0.31147048074160666,0.688488242601549,0.42569369361899456,2.1313147262957033,0.8801927461617787,0.5209171485425046,371.99371916696794,1.6532177917489177,0.045654485890354535,415.09213838491536,1.2697090072158181,0.06801731359574925,369.1577120373154,0.7230062758492456,0.05845013140138866,454.62471197282144,1.5526847099573462,0.2566159278666313,374.008389881223,-0.7061256292179383,0.05095400666123413,-0.2072262570440216,0.13166822883673276,-0.5477964907463725,-0.28967600651918224,0.3550193258116639,0.3645148860033513,-0.14302150051769486,-0.2746353562675455,0.7061256292179383,1.2157621061866213,369.1577120373154
0.46681215755658795,0.6236888445861922,0.1568749181780358,0.05720892145144727,2.357571917183008,3.46822032280184,0.03781792269064219,347.20506869644294,2.095680552478983,0.029285722928532588,350.04821591655684,2.407630090223619,0.0216363122487432,369.1325597071533,1.8195679009318946,0.01998692059871284,421.0620210582652,1.4348808521905596,0.28829779616137224,357.22187637656594,0.0835497307368105,-0.6759277984654886,-0.3475128507164228,0.035120816454376494,-0.5560353931654186,-0.2808214407544853,0.9127278488468616,0.6177824732048943,-0.4867508003028515,-0.4515385954079028,0.9127278488468616,2.245195943725379,347.20506869644294
0.281874284353948,0.136485226832695,0.652937431872186,0.021864741301104246,1.3630953761404805,1.0304051369610516,0.4484576226011866,384.5226054980696,1.9339220404650765,0.03975247704906765,360.26334619985965,0.6067664294552044,0.13301296125363643,354.3004968245757,2.0629669563454445,0.01767031217804062,368.1144072824599,1.3557096722799589,0.3203993120638662,356.7919355904183,-0.5098368656190922,-0.34674787239114163,-0.06401437125936775,0.251587106665238,-0.33819835949151167,-0.18206246022874154,0.2173837858803019,0.3249466353568448,-0.32410282151414715,-0.7055146512240766,0.7055146512240766,1.3979540471013472,354.3004968245757
1.4850975056956373,0.45814512910246546,0.966394144619057,0.08206061588892632,1.0510831714466404,1.3878728173091162,0.3324814929261125,309.84070708273754,1.375733074057717,0.06158294362079849,312.6827254750229,1.3543039512410067,0.07189892176148222,344.4613842930883,0.8324539307108655,0.07083880270837256,308.2410170421788,1.095955564993226,0.4077579151071656,316.34190036645873,-0.583936965796868,-0.3180670871752478,-0.015821021047867062,-0.3235175619611628,-0.03694631625363518,-0.3293659626899696,0.9016328342789888,0.21974089697080776,0.02172348313217426,-0.40278509191933215,0.9016328342789888,1.2092638676623864,308.2410170421788
4.48222726020186,0.4843836809244289,0.7980257920710261,0.20269694948808584,1.5853142863211793,0.5255699485981198,0.7813655060894792,348.91431360449195,1.272654129126614,0.06682468790866194,273.5145135214094,1.1754525582872888,0.07983079012136829,346.3505425421774,0.35786771441873,0.08750557874000388,357.2148449793924,0.582908431421133,0.7071375948044138,276.69215861290627,-0.21305514119794902,-0.12289062554354155,0.03225890216924208,-0.1853962624127682,-0.06419976548630202,-0.40727368177452283,0.9473075815589047,0.34468407508287907,0.022436421283325014,-0.3825523699661885,0.9473075815589047,0.7828905563703772,273.5145135214094
3.957870774694109,0.7866739167900314,0.38829905494929823,0.4528728498318107,3.5328172191948317,0.9574783642435951,0.5217593554532857,330.2720903791556,1.178848153398269,0.07850677665472891,286.6890577547423,0.9765014984878773,0.09043198261464251,368.1645854800689,0.48026965454025905,0.08188391683887551,274.086994535043,0.4388585185352094,0.8852094809248776,265.24177664090274,0.23907297898908092,-0.33089691839309004,-0.09820682738201447,0.20158034297677074,-0.533917907977176,0.12626467316739803,0.8358931233376062,-0.10807969465808781,-0.13365394226863148,-0.10849370792273713,0.8358931233376062,0.8063912378410419,265.24177664090274
2.962989362734677,0.1300470216618524,0.1693821400675099,0.23805669808999458,0.827203329324114,0.23073888543901422,1.032944122792382,314.03448772120817,1.3448819772002047,0.06852941575412166,329.3219479594269,1.5846297979683508,0.051188791058404834,294.69849310072595,0.39733037294879925,0.08328115676516962,348.3371232773188,2.2593023428669547,0.12707923931201057,369.68860731570675,-0.6230352361433428,-0.1411849140883978,-0.110966850562722,0.106886960639984,-0.45326283236494436,-0.1453912012566365,0.18071413217873114,-0.010829627750627416,0.06351945162161704,-0.4640088783616854,0.6230352361433428,1.1633766752846646,294.69849310072595
3.8542484517121816,0.31575156067969135,0.33675487691629674,0.05147115440610452,1.22108149247966,0.8597344593121306,0.5576941890542748,354.6031193878108,1.866121444027118,0.03702648052103869,356.384582890827,1.3832984505323993,0.06183508571592034,368.0365345935555,1.912284851601247,0.020692657921105126,317.20446059252106,1.2396343968887975,0.354810374219373,308.4805980618598,-0.18012969474229112,-0.2892690856009922,-0.1560839476861285,0.31908884518156533,-0.7023800335085527,-0.6247519797496666,0.7357471188735933,0.6651615935314495,-0.5777932593905591,-0.6961730444212437,0.7357471188735933,1.4522147204723386,308.4805980618598
