true_$\lambda$ (Loss Aversion),true_$\rho$ (Perception Shape),true_$\alpha$ (Learning Rate),true_$f$ (Boredom Factor),true_$\beta$ (Exploration Weight),rmsse_median,rmsse_p90,n_successful,convergence_rate,bias_$\lambda$ (Loss Aversion),std_$\lambda$ (Loss Aversion),shapiro_p_$\lambda$ (Loss Aversion),bias_$\rho$ (Perception Shape),std_$\rho$ (Perception Shape),shapiro_p_$\rho$ (Perception Shape),bias_$\alpha$ (Learning Rate),std_$\alpha$ (Learning Rate),shapiro_p_$\alpha$ (Learning Rate),bias_$f$ (Boredom Factor),std_$f$ (Boredom Factor),shapiro_p_$f$ (Boredom Factor),bias_$\beta$ (Exploration Weight),std_$\beta$ (Exploration Weight),shapiro_p_$\beta$ (Exploration Weight),pct_normal,corr_$\lambda$ (Loss Aversion)_$\rho$ (Perception Shape),corr_$\lambda$ (Loss Aversion)_$\alpha$ (Learning Rate),corr_$\lambda$ (Loss Aversion)_$f$ (Boredom Factor),corr_$\lambda$ (Loss Aversion)_$\beta$ (Exploration Weight),corr_$\rho$ (Perception Shape)_$\alpha$ (Learning Rate),corr_$\rho$ (Perception Shape)_$f$ (Boredom Factor),corr_$\rho$ (Perception Shape)_$\beta$ (Exploration Weight),corr_$\alpha$ (Learning Rate)_$f$ (Boredom Factor),corr_$\alpha$ (Learning Rate)_$\beta$ (Exploration Weight),corr_$f$ (Boredom Factor)_$\beta$ (Exploration Weight),max_error_corr,nll_median
3.6449759186354114,0.10313741556053184,0.8223470509879591,0.36505657933152186,2.3244201100680812,0.1318205968317318,0.17596583295188534,30,1.0,0.2051667330332148,0.9881618149637942,0.02138213436018675,0.008054982976540863,0.05282323166982482,0.17267413292902695,0.00117967493739685,0.0951266409121622,0.3091517323218991,-0.008475915051721345,0.08052281128365373,0.762175935430104,0.22616460170985284,0.3741364496473537,0.10162754519114342,80.0,-0.6970326423049076,0.07173921129357251,0.1264769512086903,0.3692509640017604,-0.5814582016727694,-0.6971552323655252,-0.044192575256253815,0.6213366392282236,0.16677000122916505,-0.18840756227049268,0.6971552323655252,57.60186553417837
0.08754803282061142,0.49262816618409894,0.5219205302071644,0.496934448639978,2.821219119874296,0.0629482638568818,0.1086678546091409,30,1.0,0.015241619852709474,0.04976805518528729,0.333857010467684,0.018958547617777783,0.03793698549456048,0.472080032448688,-0.005593028502213741,0.06427390893865374,0.6901959068194884,-0.027613821752580824,0.03974324204257332,1.0923131204609753e-05,0.24001610599920511,0.4894594327044375,0.261418598236721,80.0,0.09621839630084222,-0.7222111398168811,0.23974208184923126,0.09610678257261321,-0.33592081417566955,-0.0741750424740812,0.855569829155871,-0.17632570612323417,-0.09113077850593465,0.08964585768264442,0.855569829155871,57.29900862900479
1.0187018693435068,0.31147048074160666,0.688488242601549,0.42569369361899456,2.1313147262957033,0.07496051111847205,0.12554214476235762,30,1.0,0.07075389246678604,0.36130869563327517,0.017121878268697852,0.0007291709684617795,0.04403573346185316,0.8391093090959052,0.01755735792243549,0.0783277780753017,0.7283878835943387,-0.009336032634598463,0.06312354326539658,0.06597427137528322,0.19177968784456045,0.308967895158116,0.09141951549619007,80.0,-0.7738535084549986,0.047204078351175974,-0.03459219459037841,0.07296227049389761,-0.47984330818108645,-0.20389909773878157,0.13745588287500762,0.12359639277377071,0.14413070356406177,0.08546659937520852,0.7738535084549986,59.181003918517405
0.46681215755658795,0.6236888445861922,0.1568749181780358,0.05720892145144727,2.357571917183008,0.029205010242031437,0.07431788044139792,30,1.0,-0.0040318130504502225,0.04104896368897101,0.09920812477368408,0.0023288063695888427,0.03718327967803849,0.27842667888545464,0.004220407401823139,0.028438968629745882,0.12126053234142237,-0.00021652420503429914,0.01922628803724494,0.023958961024107276,0.13564524893049923,0.46224326526617654,0.017364769959581812,60.0,0.2658079777791058,-0.595016185885079,-0.5016077868646834,0.26159164234475896,-0.7229023509644151,-0.29548019351360333,0.8862637222762306,0.6325578518428165,-0.7155108224524518,-0.5751239355207716,0.8862637222762306,83.62132480104597
0.281874284353948,0.136485226832695,0.652937431872186,0.021864741301104246,1.3630953761404805,0.0809586445164893,0.24649568186955123,30,1.0,0.12993051295418725,0.36582656851151607,0.003591189324592538,0.0360164899232971,0.08432045703247823,0.4483878791231673,-0.08771657636472964,0.22439555804387684,0.007969920057190116,-0.0033686048104740363,0.007132466290434149,0.018677202901570364,0.36545217939076763,0.3915202420071182,0.6415952727549981,40.0,-0.08575415117013585,-0.4031718903125309,-0.047205393287907495,0.3257158075595443,-0.7488661649856694,-0.27148639821776704,0.5258106819384238,0.35955952292460236,-0.6192215204625221,-0.5939931168012494,0.7488661649856694,117.00488904984972
1.4850975056956373,0.45814512910246546,0.966394144619057,0.08206061588892632,1.0510831714466404,0.09028811116317162,0.14797373905705838,30,1.0,0.056042179552350344,0.4854314064538131,8.67028332701669e-05,0.03652398413559758,0.06737807272951427,0.2250737088949955,-0.04090558214645415,0.09190341737892764,6.324530236599606e-06,0.026738944799497722,0.0915316451079509,1.0225311910503932e-05,0.32754977484049796,0.43544546240432164,0.19461306478719004,40.0,-0.43890014681036166,-0.029437215719312862,-0.016734952606664445,-0.15238380542183874,-0.3764297884628582,0.1029688584263853,0.8585229890575683,-0.0357152495848221,-0.29624332597879527,-0.1799627424484792,0.8585229890575683,17.23653801112095
4.48222726020186,0.4843836809244289,0.7980257920710261,0.20269694948808584,1.5853142863211793,0.12627001815826458,0.20140835211812702,30,1.0,-0.6622225571774548,0.5652441216797472,0.5660678024275911,0.04311820021269483,0.11299750861369441,9.504185797658416e-05,0.022661643835594766,0.11864965415930243,0.07089230932951143,0.0068624697896747374,0.08274804994276204,0.013956131849753277,0.3514223035992749,0.8156127096445549,0.04525998682515752,40.0,0.2733048165534214,-0.6331413089822497,0.25964062221998024,-0.11686987969109482,-0.5341376747856922,0.49114329041578003,0.2099478699785185,-0.2336543521723066,-0.1572343297778382,-0.3494073094102503,0.6331413089822497,15.995852576426817
3.957870774694109,0.7866739167900314,0.38829905494929823,0.4528728498318107,3.5328172191948317,0.16226711582599573,0.31801860050604136,30,1.0,0.4247596756577339,0.7442565941217562,6.407005604458617e-05,0.056041648564093036,0.0660820249329483,0.2878358446247959,0.053921305283805475,0.1543713911458295,4.156988094328683e-08,-0.024673306650276308,0.11052667516988722,1.3725875995562707e-06,0.6747222843033736,1.3471203534919372,2.309122775021373e-07,20.0,0.3955887553685908,0.10724486663177048,-0.349163778113548,0.04163576206474863,0.4881252162925979,0.07303060275427885,-0.11199696141592778,0.2017570673915001,-0.7903227295032182,-0.22017799293195503,0.7903227295032182,5.3336893678833786
2.962989362734677,0.1300470216618524,0.1693821400675099,0.23805669808999458,0.827203329324114,0.1861313606342095,0.22449429275297303,30,1.0,0.5013496207697916,1.599401126809376,7.006127180797942e-05,0.0010969864349870434,0.08358691859225366,0.153460032018425,0.02567205185644049,0.08858529737775533,0.032761893735876534,-0.01610669009712096,0.0906361738351079,0.22997608729714142,0.07516659479281206,0.16056660672562867,0.7448679694433379,60.0,-0.6271452514249641,-0.41337041985463974,-0.11156803735842481,0.12624312250312156,-0.3321010985719197,0.1265634897255532,-0.020204076662932266,-0.11953657173197464,0.1227009172827681,-0.3665285328082629,0.6271452514249641,108.12253683668892
3.8542484517121816,0.31575156067969135,0.33675487691629674,0.05147115440610452,1.22108149247966,0.0845878625699609,0.11499802923691309,30,1.0,0.02221211520658204,0.7225033155225167,0.02058895662434171,0.02145996651759825,0.041531693307729316,0.19942275972918488,-0.016837153757238668,0.05519878729787951,0.46484355049341347,-0.006026491795641802,0.018103073417572633,0.11047600896629867,0.2294953765974705,0.33474927006856275,0.014039139172673165,60.0,-0.32585856626644943,-0.19835938885146953,-0.028903747872179985,0.2471120322248258,-0.583103088335588,-0.6317605060423,0.7312564903992974,0.7934819724174683,-0.5280581058842367,-0.5982651052330566,0.7934819724174683,62.72611752415622
0.7587432889306652,0.32773946363387396,0.4396576282200958,0.04952844616053981,3.0101285055111973,0.06942321521778391,0.16300171851334716,30,1.0,0.02960838360513142,0.2716589077881207,0.002955846567250137,0.019448033863072832,0.0547740789026005,0.7978491937785404,-0.01477758830092907,0.1000305934033351,0.6780573567383467,0.005355680931035354,0.022870640932726345,0.1338652550026016,0.28130358304774017,0.7711046152297976,0.004194083449359069,60.0,-0.6282287737798828,0.12706441748185085,-0.05959807029901614,0.09380341877520783,-0.6770431435206464,-0.4488971463816885,0.6278104282395979,0.7678005372007736,-0.6123810616391225,-0.7392003338499415,0.7678005372007736,83.73789329766399
