param,kl_div,max_post_corr,mean,std,ci_lo,ci_hi,shrinkage,ess
A (Shape),0.4719300620335385,0.8607571355916062,0.6467116663113885,0.1522177379770678,0.3659291886725754,0.9459475061723852,0.4141229116163537,354.1230663188289
w (Loss Aversion),3.076260062970393,0.4919618327278064,0.1265419749936296,0.0591224719784471,0.0325296788377959,0.2616614918178735,0.9540818010059964,646.2012643093426
a (Learning Rate),0.5190092432000122,0.4919618327278064,0.5486933555296182,0.1429854225169704,0.2725799303886956,0.8389271657937233,0.427932085449467,646.0809823419067
c (Consistency),2.043004744655791,0.8607571355916063,0.2597599059498096,0.2239441819531976,0.0371756609628365,0.8772830511411494,0.8316418055754884,336.73772524462333
