true_$A_{rew}$ (Reward L-Rate),true_$A_{pun}$ (Punish L-Rate),true_$K'$ (Decay Rate),true_$\beta_F$ (Freq Weight),true_$\beta_P$ (Perseverance),rmsse_median,rmsse_p90,n_successful,convergence_rate,bias_$A_{rew}$ (Reward L-Rate),std_$A_{rew}$ (Reward L-Rate),shapiro_p_$A_{rew}$ (Reward L-Rate),bias_$A_{pun}$ (Punish L-Rate),std_$A_{pun}$ (Punish L-Rate),shapiro_p_$A_{pun}$ (Punish L-Rate),bias_$K'$ (Decay Rate),std_$K'$ (Decay Rate),shapiro_p_$K'$ (Decay Rate),bias_$\beta_F$ (Freq Weight),std_$\beta_F$ (Freq Weight),shapiro_p_$\beta_F$ (Freq Weight),bias_$\beta_P$ (Perseverance),std_$\beta_P$ (Perseverance),shapiro_p_$\beta_P$ (Perseverance),pct_normal,shapiro_p_median,corr_$A_{rew}$ (Reward L-Rate)_$A_{pun}$ (Punish L-Rate),corr_$A_{rew}$ (Reward L-Rate)_$K'$ (Decay Rate),corr_$A_{rew}$ (Reward L-Rate)_$\beta_F$ (Freq Weight),corr_$A_{rew}$ (Reward L-Rate)_$\beta_P$ (Perseverance),corr_$A_{pun}$ (Punish L-Rate)_$K'$ (Decay Rate),corr_$A_{pun}$ (Punish L-Rate)_$\beta_F$ (Freq Weight),corr_$A_{pun}$ (Punish L-Rate)_$\beta_P$ (Perseverance),corr_$K'$ (Decay Rate)_$\beta_F$ (Freq Weight),corr_$K'$ (Decay Rate)_$\beta_P$ (Perseverance),corr_$\beta_F$ (Freq Weight)_$\beta_P$ (Perseverance),max_error_corr,nll_median
0.7279951837270823,0.095848102785113,4.144627811163057,4.4921052788376254,-0.7237670939155052,0.3452771452093184,0.3936150575033845,100,1.0,-0.0493826388752303,0.2073471030620627,0.0004240299832082,0.0116367198665212,0.0861150246304628,2.0115591529640642e-17,-2.883070349242774,1.2996027291162005,4.349681573677485e-08,1.0655229386700364,2.523057091678218,1.4384807762279097e-06,0.4295869446383535,6.719339249877456,1.2840129266489496e-05,0.0,1.4384807762279097e-06,-0.2897098611058143,0.043003374473464,0.0015150170171284,-0.2367701355764356,-0.0177971975095633,-0.0491926199616348,0.0939790101748845,-0.2084997151651069,0.071646862377838,-0.5149068356143692,0.5149068356143692,33.95891596483845
0.0165096065641222,0.4924927651548272,2.611839439832472,9.87487545469298,1.2674113021013866,0.2263999126808256,0.331842863253536,100,1.0,0.0504522826528367,0.1582762045193722,2.2331049460874134e-18,0.0304211333139637,0.0956298956945134,0.0209031350109309,-0.6433766065205141,1.6240796002341515,1.3468646966079414e-06,-1.1472527949663034,2.230574667110813,9.737507278765275e-15,-0.4416684420354324,6.899057027701535,1.9619477127778658e-07,0.0,1.9619477127778658e-07,0.2786719570584015,-0.2214502484789567,-0.8861621923335246,-0.3173049588923307,-0.1745774128141126,-0.3710479800629946,-0.2545989292132027,0.2766376123955505,0.2559358905108068,0.3315684865163084,0.8861621923335246,85.6783197779591
0.2027403738687013,0.3080076936531871,3.46167470715076,6.967089535469167,-1.4977365679530923,0.2830919670573196,0.3340906306183614,100,1.0,0.0364565917065159,0.1646735081977755,1.305957090078006e-09,-0.0025258958704764,0.1174316247036144,1.3048646172145178e-09,-1.9670680737592203,1.2434274832871184,9.20883601572211e-06,1.436708568885722,2.315898779012431,2.239077911604691e-12,0.9755909272856572,7.403991426894174,1.7338213218487737e-07,0.0,1.305957090078006e-09,0.0790111787273532,-0.3267761582702469,-0.3357677248964893,-0.1980845432514565,-0.0960683179642319,-0.359181968426609,0.2375881573938872,0.156727868238816,-0.0378590769450001,-0.2621197960308867,0.359181968426609,18.99017798383408
0.0923624315113176,0.625960680507163,0.7493618274389582,-8.073105246879702,-0.5908941195069826,0.2187603019438764,0.3684382372772444,100,1.0,0.0102425474441987,0.0321889774664957,0.2614460499283378,0.0001573556244734,0.1338289179498318,0.0015099019305732,0.9433722671261964,1.5617306556221735,5.089110669167149e-07,-0.0519454353091941,2.1857188759763755,5.608549061569073e-16,-1.18241499763691,6.637163373712677,1.4268320467510635e-06,20.0,1.4268320467510635e-06,0.3319786382483014,0.12485492320911,0.0225623343588955,0.381064067174225,-0.0893232453851039,-0.2920221404295403,-0.2048588868258525,-0.0338641030712965,0.082679360050888,0.2232852157789211,0.381064067174225,78.14728621222588
0.0553748568707896,0.1298084248765608,3.280293019756051,-9.515724844852889,-4.576772039517113,0.295911420486561,0.3267318030814676,100,1.0,0.0088333682219972,0.0183881622904078,0.0728132764370814,0.0025109791709147,0.0355831520311856,0.1249929284871755,-1.983053385465608,1.4489443697910347,4.120763489327928e-10,0.1096174734697667,0.8138060211529815,1.0824322396246988e-11,3.131732038988811,6.508278489620109,9.987024168689441e-08,40.0,9.987024168689441e-08,0.2076884652307199,-0.024692656615013,0.3126335108953358,0.2438616293073524,-0.0966904105961869,0.144430780959569,0.0301873254280806,-0.0497818379460502,0.2970057319270252,0.1791563238946481,0.3126335108953358,107.35035740257804
0.2960195011391274,0.4573763661676128,4.879561962342128,-7.058750371880558,-5.827321958129698,0.3899717495438822,0.4482687275122539,100,1.0,-0.0025973120034801,0.0820657820026105,0.0257506004755708,0.0109376593238702,0.0681387293222268,0.1302166981216421,-3.237860219117465,1.4295158104388097,8.786470718648496e-07,-0.4632890249646058,1.3600093230029071,0.1864249211178739,3.536979677329313,6.814401249857326,9.085882277586232e-08,40.0,0.0257506004755708,-0.0408327233952765,0.170214211366028,0.7047898577635572,0.5534701835251566,-0.1455726500994964,-0.1609019894343925,-0.1371520896404181,0.2953277725600775,0.0467858066500815,0.2956814929471174,0.7047898577635572,80.94636242972172
0.895445452040372,0.4840968505740612,4.020539755464419,-2.134818388241396,-3.686115084885053,0.3235028733415862,0.3802802409854534,100,1.0,-0.009419764456211,0.1186662313511368,2.8746641509210616e-08,0.0251013615735165,0.0881569564879838,0.7162544590599217,-2.398806953246708,1.6953178669383722,2.4722158534085035e-09,-0.1205179892420638,0.3857275089603635,0.0412530128498561,2.7525472499413404,6.6185694513276845,9.696600005452844e-08,20.0,9.696600005452844e-08,-0.042430865018277,0.0858517172536298,0.358634689650427,0.1185237845941475,-0.1305540542989817,0.0653123270913607,-0.0243477071820331,-0.1438080106237284,0.2473109632975846,-0.0316824053741846,0.358634689650427,98.88429242558212
0.7905741549388218,0.7919393560780116,1.9300972191290724,8.076442850277989,4.119507892564457,0.214953147599556,0.3051074054041586,100,1.0,-0.0817307556626265,0.2208582350905501,0.0002743071173622,0.083835807386758,0.1341255410192313,1.1028855984979356e-08,-0.829326607061638,1.2108855781876315,3.097630772125664e-09,1.6144166787155028,0.7865390692327267,1.5036138836125873e-17,-0.9075407134560024,6.295576010590029,3.0992067952646e-08,0.0,1.1028855984979356e-08,0.131643308944504,0.023991499339328,-0.3175213954003518,0.2213577207080332,0.08972143795214,-0.0496068127346024,0.21542466459665,-0.0212472829225988,0.4894045256641752,-0.1629187815107485,0.4894045256641752,13.512414054957503
0.5915978725469354,0.1232519669576823,0.8131741840179076,-0.6915633432655284,-6.72463595461277,0.1698181912487185,0.2483822437377408,100,1.0,-0.0414572181780999,0.3358144289856945,6.013701085970753e-06,-0.0217627039645235,0.0644031330357836,0.0004519224445238,-0.009334185467648,0.2737598150779948,0.3210838818347136,-0.4244777779143234,2.0674096695772595,1.0153681011241302e-09,-0.6568790994645229,2.169535701159617,2.0398878190676217e-06,20.0,6.013701085970753e-06,0.5476526413920771,-0.0135571922502361,0.3101587989978408,0.0902573252356784,0.0249772840739524,0.2232437229053964,0.0307607581983133,-0.0836981329614409,-0.772226267058945,-0.019554369414255,0.772226267058945,108.7439217010911
0.7698496903424363,0.3123674056717673,1.6671167189606977,-8.307299820158999,-5.145965962005371,0.1454661194375013,0.1959864491195732,100,1.0,0.0116369071596461,0.1195022813288598,0.072872542900078,0.0106966371173343,0.0455628186731465,0.0032567784155894,-0.5550876863050557,1.0580796844144973,3.3036900451048145e-07,-0.1910830747294122,1.1167871413064738,0.0003925026481046,-1.299368025968827,4.5577810269384775,1.6424502861870617e-11,20.0,0.0003925026481046,0.1652446303483158,0.1359822930205774,0.351297929921794,0.1007013932237342,-0.1675490758833025,0.0234152039082136,0.0537242141466006,-0.0595344489160784,0.0995759604074116,0.1061470511226817,0.351297929921794,60.52075761900844
