true_$A_{rew}$ (Reward L-Rate),true_$A_{pun}$ (Punish L-Rate),true_$K'$ (Decay Rate),true_$\beta_F$ (Freq Weight),true_$\beta_P$ (Perseverance),kl_div_$A_{rew}$ (Reward L-Rate),post_std_$A_{rew}$ (Reward L-Rate),ess_$A_{rew}$ (Reward L-Rate),kl_div_$A_{pun}$ (Punish L-Rate),post_std_$A_{pun}$ (Punish L-Rate),ess_$A_{pun}$ (Punish L-Rate),kl_div_$K'$ (Decay Rate),post_std_$K'$ (Decay Rate),ess_$K'$ (Decay Rate),kl_div_$\beta_F$ (Freq Weight),post_std_$\beta_F$ (Freq Weight),ess_$\beta_F$ (Freq Weight),kl_div_$\beta_P$ (Perseverance),post_std_$\beta_P$ (Perseverance),ess_$\beta_P$ (Perseverance),post_corr_$A_{rew}$ (Reward L-Rate)_$A_{pun}$ (Punish L-Rate),post_corr_$A_{rew}$ (Reward L-Rate)_$K'$ (Decay Rate),post_corr_$A_{rew}$ (Reward L-Rate)_$\beta_F$ (Freq Weight),post_corr_$A_{rew}$ (Reward L-Rate)_$\beta_P$ (Perseverance),post_corr_$A_{pun}$ (Punish L-Rate)_$K'$ (Decay Rate),post_corr_$A_{pun}$ (Punish L-Rate)_$\beta_F$ (Freq Weight),post_corr_$A_{pun}$ (Punish L-Rate)_$\beta_P$ (Perseverance),post_corr_$K'$ (Decay Rate)_$\beta_F$ (Freq Weight),post_corr_$K'$ (Decay Rate)_$\beta_P$ (Perseverance),post_corr_$\beta_F$ (Freq Weight)_$\beta_P$ (Perseverance),max_post_corr,mean_kl_div,min_ess
0.352281211527623,0.1662799931712745,1.234483266303796,-0.3394736058118717,9.897452151078646,0.1131096173661283,0.2402936348746937,271.7029986893372,1.1877020569017744,0.0760506970704726,310.6206704935139,1.845919655777239,0.1937247146305116,280.2306897345286,1.810622615082254,0.8723631427356838,266.8509997734117,1.3448159909503004,1.3694637751954426,267.9241251301244,0.4669517567417545,0.0816408465954247,0.6460691042859473,0.1854386266414108,0.0182615906034851,0.3481409575831222,0.1436550412277129,0.1754676424042991,0.8287822219761438,0.0859760906572694,0.8287822219761438,1.2604339872155392,266.8509997734117
0.7996432889306652,0.9076309743354378,3.960696784736153,-5.825622726535109,-6.094697880211391,0.8556192567212398,0.1035447130531442,302.57585399754726,1.6546788431725992,0.0502910692067262,281.5431353691726,0.0124438314761541,1.3778437309306382,265.8264064190057,1.3881658805388042,1.293424893281798,306.364900691869,0.0,5.5394187974365465,249.50433073702428,0.3766716481370362,0.034960735690767,0.1570602543057306,0.2878480522337852,-0.0166530437495101,-0.2372894307178262,-0.0229028554471681,0.0928007050592555,0.0996045757092164,0.1327211843446223,0.3766716481370362,0.7821815623817596,249.50433073702428
0.6004862623678128,0.7666184935782674,4.9740570819806775,-0.964552322654166,0.1684776702749992,0.6532705718653118,0.126355123635267,294.4120066472524,1.461390655351402,0.0656066000712273,276.9644408962921,0.125791707670285,1.2046646990458718,270.3375642575797,2.8351152923067007,0.2874628138785524,297.9941624894842,0.1214448004984465,4.747925806365308,319.2496398450008,0.1897678659517833,0.2679912201453144,0.4024209508361182,0.2221749304660057,-0.0659856350679186,0.0004119550158517,0.0012713571565677,-0.0338646059290343,0.0961033449720028,-0.0459444082707972,0.4024209508361182,1.0394026055384291,270.3375642575797
0.3879521575565879,0.8128717523447231,3.496809137194792,-1.839286933142916,8.800593068432484,0.8971853267165154,0.101317661047767,279.218004481445,1.4013197463470388,0.0681584639725575,286.376952396992,0.1530160256062895,1.1330930443168554,302.40317457507524,2.5217007363652466,0.3941484023636148,334.7408071004689,0.0934363461365435,4.880093127244642,270.79061945023625,0.0519290084153153,0.2589859239087525,0.5736861581276076,0.4048698637543659,-0.0369273271595561,0.0131512837583605,-0.0339399726819094,0.1388317931227255,0.0819900227480174,0.2398469847824312,0.5736861581276076,1.013331636234327,270.79061945023625
0.5080890758363388,0.7867200612897164,0.3383679629016783,-9.37862422426444,-6.755676699414752,0.7630234024829162,0.1134715734600078,367.3376350835945,0.946002912143,0.0950670954077168,294.4763535591795,1.419058315086722,0.7411750387462053,286.1491454090197,1.896429445782963,0.869481161575238,291.83012629830614,0.8530457645660108,2.50621978547896,302.179835930529,-0.1571501056384965,0.2596721825279989,0.3936778162666568,0.3716392456948189,-0.4207875620242717,-0.2619895946887577,-0.4590145580942173,0.1700963981908186,0.4076578109891299,0.4257051491888058,0.4590145580942173,1.1755119680123225,286.1491454090197
0.4281975056956374,0.0262821243828041,1.2956175040341948,1.3691421015864904,0.271503344800891,0.9749715505262844,0.1072606087291541,351.1099224890765,2.6464508710177284,0.0193625812914637,356.9890978816658,0.2262592468359552,1.10320439810742,300.4257025537447,2.184358175868496,0.5529445603874378,331.5610428149599,0.0561348251153437,4.963355049035056,330.09640752781775,0.4921319063554257,-0.0452301895760161,-0.281589161462318,-0.0311012231360633,-0.071143654558884,-0.3099010361699076,-0.0589301775366751,-0.0156747509022814,0.0111364601792671,-0.2009872373530085,0.4921319063554257,1.2176349338727614,300.4257025537447
0.92170727368404,0.3306642528703066,0.986706501927024,4.081984820928337,-2.582127645426178,1.1207748682454852,0.0824989962498959,304.6949498633708,1.6669947393087112,0.0463063464215556,342.1448974855659,0.1364302226598788,1.2198302916429369,252.0063832775776,1.829812195129065,0.8004774562444923,279.1861878023155,0.4251766817682054,3.603140022100698,271.2603066170374,0.0974779675559254,0.0930955241746812,-0.1632718481119669,-0.0043663523675108,0.2946041854754743,-0.4343036463330401,0.1348736577096883,-0.593874808970186,0.1185803622754056,-0.3312647860232892,0.593874808970186,1.035837741422269,252.0063832775776
0.6659581956070529,0.4786971689600368,0.2762147536887033,-9.11448610280677,7.764645443412153,1.3690530460487125,0.0615963532728555,402.8531975957776,1.3680436914591292,0.0616267127516461,410.2990518793303,3.067249941145622,0.0589638023113511,402.8292661120292,1.8856079405377824,0.8347480078567021,339.7258554484283,1.5067897265350043,1.0830705692771856,386.2979887868914,-0.1506603930315494,0.537375378165583,0.2660171802148111,0.7086909694074348,0.2897798383151,-0.0512920357954165,-0.2823365507356369,0.0745435810850727,0.3918498718098819,-0.2379903442109796,0.7086909694074348,1.83934886914525,339.7258554484283
0.4673955828823429,0.683134530916483,4.714986744899888,-6.662473328276408,5.2335480397209615,0.7373146746794427,0.1178338136696254,289.03055546889993,0.9950876785657264,0.0896046573661589,346.8513128594032,0.0798182752813718,1.2896216961950893,216.856065677681,1.714160357514365,0.9024425410370736,270.0930212496164,0.2663350166590335,4.308814389662208,281.3365779626618,0.1923692636878601,-0.4439428085496379,0.7186622071210365,0.3332570640079974,0.0490188702274439,0.0838783037470002,0.0925050131521783,-0.3035853453460607,-0.2367752929720119,0.258314425999112,0.7186622071210365,0.7585432005399879,216.856065677681
0.9130284901893916,0.2216234025358153,2.4855835948034875,5.780721807569302,2.2001790539051527,0.7291150765465666,0.1171685628268548,294.75838809534145,1.802162501055915,0.0399895074684601,306.7633783980257,0.0486262597709121,1.2616700362193134,242.294880386708,1.177000739495322,1.5657770364258383,310.5531852103413,0.0246699182186937,5.232172446063899,238.9364342779565,-0.1998597030892739,-0.1785208524921124,0.0300317655991368,0.1347841471885048,0.0022557108090517,0.4267258586088547,-0.0441990590678241,0.2872032513115744,-0.1757951516745801,-0.2952585256907901,0.4267258586088547,0.756314899017482,238.9364342779565
