true_A (Shape),est_A (Shape),true_w (Loss Aversion),est_w (Loss Aversion),true_a (Learning Rate),est_a (Learning Rate),true_c (Consistency),est_c (Consistency),err_A (Shape),abs_err_A (Shape),err_w (Loss Aversion),abs_err_w (Loss Aversion),err_a (Learning Rate),abs_err_a (Learning Rate),err_c (Consistency),abs_err_c (Consistency),global_error
0.9843837835119296,0.7762164880704037,4.1694699965856366,2.200003414362741,0.8783699880592877,0.8600119407122686,3.167173374719919,3.4898664650062257,-0.2081672954415259,0.21026999539548072,-1.9694665822228954,0.39468268180819543,-0.01835804734701907,0.01854348216870613,0.32269309028630655,0.06466795396519169,0.22611595215945623
0.15840676442559123,0.17506724225028322,3.1638016444653325,5.0,0.14808730021008812,0.10079672606028221,4.028017539116668,3.2713300267675156,0.016660477824691988,0.016828765479486855,1.8361983555346675,0.3679756223516368,-0.047290574149805906,0.04776825671697566,-0.7566875123491523,0.15164078403790626,0.2006028412847434
0.8048431675036511,1.0,0.743848661465676,0.6105961813174111,0.13437290995600973,0.13792724382318028,4.835695442705646,5.0,0.19515683249634885,0.1971281136326756,-0.13325248014826485,0.026703903837327625,0.0035543338671705504,0.0035902362294652026,0.16430455729435423,0.03292676498884854,0.10083359226138942
0.9389725735311201,1.0,0.4613480268721277,0.01,0.6200108335560164,1.0,4.095676078778293,5.0,0.06102742646887993,0.061643865120080736,-0.4513480268721277,0.09045050638719994,0.3799891664439836,0.3838274408525087,0.9043239212217067,0.1812272387217849,0.21917349099443598
0.5080338134755957,0.8659569243857185,2.8240415518920403,2.881774996566527,0.6219906451397273,0.3713685824245144,1.049757994648381,0.41268746553305974,0.35792311091012274,0.36153849586881087,0.05773344467448682,0.011569828592081527,-0.2506220627152129,0.2531535987022353,-0.6370705291153214,0.12766944471248926,0.22979892111246958
0.06690648528898833,0.0369688350933012,4.3595109154190315,5.0,0.5200665189049227,0.3959842446693989,3.8669117322596236,5.0,-0.029937650195687136,0.03024005070271428,0.6404890845809685,0.12835452596812996,-0.12408227423552382,0.12533563054093314,1.1330882677403764,0.22707179714236,0.14548192872618274
0.23098940033789694,1.0,4.0526026993913025,4.334321231339637,0.9458467375490177,1.0,2.953881419208722,2.6519440769284586,0.7690105996621031,0.7767783834970738,0.28171853194833485,0.056456619628924815,0.05415326245098229,0.05470026510200231,-0.30193734228026337,0.06050848542690648,0.39154354891223137
0.2221681353093677,1.0,0.2105689733628604,0.01,0.6874126854656514,0.11374776981138139,3.7875921264351535,5.0,0.7778318646906324,0.78568875221276,-0.2005689733628604,0.04019418303864938,-0.57366491565427,0.579459510761889,1.2124078735648465,0.24296750973243414,0.5034205307448676
0.8600874328954433,0.7895484649677574,3.027101406066886,4.170009979572076,0.849055139746837,0.5524254155823828,1.5449137814871963,4.867510989739163,-0.07053896792768588,0.07125148275523827,1.1429085735051903,0.22903979428961727,-0.2966297241644542,0.2996259840044992,3.322597208251967,0.6658511439382698,0.38427512193011437
0.721681377709718,0.9995781692418892,1.7398065368680846,2.7572870908599945,0.5745329794437236,0.2604169056518433,2.467917515581671,2.9770041393454334,0.2778967915321713,0.28070382983047604,1.0174805539919098,0.20390391863565327,-0.31411607379188033,0.31728896342614177,0.5090866237637623,0.10202136748772792,0.24054734141774126
0.07054771079117157,0.10343427396985966,3.304234935801672,1.8156339975705929,0.927604334095777,0.9509064170117923,4.409621290459504,5.0,0.032886563178688086,0.03321875068554352,-1.488600938231079,0.2983168212887934,0.02330208291601532,0.023537457490924566,0.590378709540496,0.11831236664138195,0.16174690048527982
0.6091160627966187,0.6537093574574426,1.7524842258560909,1.8614739305534405,0.25870750152102967,0.20767613630273718,2.4935812427613877,5.0,0.04459329466082396,0.04504373198063026,0.10898970469734959,0.021841624187845608,-0.05103136521829249,0.0515468335538308,2.5064187572386123,0.5022883281039303,0.2537009237945212
0.5280843294510648,0.8523932861464774,1.3166826351067897,1.3145211075789576,0.44441209087954964,0.3770113789101815,1.7223128531821572,5.0,0.3243089566954126,0.327584804742841,-0.0021615275278321633,0.00043317184926496254,-0.06740071196936814,0.06808152724178601,3.2776871468178426,0.6568511316268222,0.3685785178924795
0.11812094486627288,0.6893169829583372,0.04161239422560576,5.0,0.06112834771963996,0.04698895432674256,1.8174741621352006,0.01,0.5711960380920643,0.5769656950424892,4.958387605774394,0.993664850856592,-0.014139393392897395,0.014282215548381208,-1.8074741621352006,0.36221927096897805,0.6024255205056439
0.24820603672178798,0.5028871645461747,2.342481981432195,5.0,0.7012032728167414,0.36200768045130094,2.6142084949330555,5.0,0.2546811278243867,0.25725366446907744,2.657518018567805,0.5325687411959529,-0.3391955923654405,0.3426218104701419,2.3857915050669445,0.47811453007353594,0.4170707736281357
0.4677082810678274,0.9993458324850395,4.264232193271278,2.8251112951058337,0.6622940674697588,0.3505748533963855,2.0036243021341735,2.5062928570811454,0.531637551417212,0.5370076276941536,-1.4391208981654442,0.2884009815962814,-0.31171921407337333,0.3148678930034074,0.5026685549469718,0.10073518135209855,0.3467137454709024
0.5706388604238611,0.8651083021354745,0.8318899529966528,0.49423756878511615,0.5925563849108622,0.6195672087727355,1.3140254004881953,2.5868068046662054,0.2944694417116134,0.29744388051678117,-0.33765238421153665,0.06766580845922578,0.027010823861873368,0.027283660466538757,1.2727814041780101,0.25506641366292787,0.1992829628936221
0.23568949034377776,0.45982932586378544,4.754140354303882,5.0,0.9690975611739087,1.0,4.638681442067814,2.9515830609990217,0.22413983552000769,0.22640387426263403,0.24585964569611818,0.0492704700793824,0.03090243882609134,0.031214584672819533,-1.6870983810687927,0.33809586794965785,0.20552947460395005
0.4180251309574645,0.7593200493105207,2.9579226419655322,2.893002564170765,0.4495022802857278,0.17685270264272485,1.7918145123349976,1.5071036513226581,0.34129491835305614,0.3447423417707638,-0.06492007779476738,0.013010035630213903,-0.27264957764300296,0.2754036137808111,-0.28471086101233944,0.05705628477201191,0.2225528663892046
0.39382934217981097,0.2724721309264942,4.048597036591513,5.0,0.7905585381691821,1.0,0.45019834793655905,0.542425770872342,-0.12135721125331678,0.12258304167001695,0.9514029634084871,0.19066191651472686,0.2094414618308179,0.2115570321523413,0.09222742293578295,0.018482449486128847,0.15530337030008062
