$A_{rew}$ (Reward L-Rate),$A_{pun}$ (Punish L-Rate),$K$ (Decay Rate),$\beta_F$ (Freq Weight),$\beta_P$ (Perseverance),Pattern
0.020406318372708232,0.39831599986342553,0.20714140208008863,4.769210527883763,-9.676376709391551,GOB
0.7772492657786132,0.9948560765154828,4.5012139356947225,9.695487545469298,1.7141984562484165,GOB
0.7981283887143632,0.2036086177082258,4.46335613487992,2.4167089535469177,-3.19377365679531,GOB
0.7141254431511317,0.9936997048765115,1.668936182743896,-2.7353105246879705,9.153473342403512,GOB
0.4297890856870789,0.30192603661676126,4.655986626824979,0.4113229716517175,2.652886466011706,GOB
0.4061491501139127,0.006096442487656084,1.1659561962342126,-8.26861715796827,-3.19073219581297,GOB
0.36013134547368075,0.38064568505740615,0.42267417464186186,0.09051816117585787,6.302121776754895,BOG
0.5979657815167269,0.15466606766753505,2.4225242950737744,-7.292907637396203,6.585320744021267,BOG
0.1026870586621664,0.5461409974320669,3.0662997348979983,-3.8772494665655284,-6.455329039205582,GOB
0.7932513690342436,0.7126962593155456,3.11671167189607,-8.3547299820159,2.4794409900655623,BOG
0.20115889832278597,0.4802381304909577,2.436464207540026,8.077340596573631,-2.9292945881110146,GOB
0.981878166485408,0.1855151959982773,4.795431258804047,-1.568559187992511,-0.9844581202941445,BOG
0.9325993867688265,0.13184356919725385,0.42943476389351887,8.536940004570337,0.49746112671999754,GOB
0.7865151055516287,0.5505867822507152,4.690586766992074,-1.7281232713382728,-2.8445635634470756,GOB
0.4269035688993052,0.6785604576827126,1.0071948095307475,-1.0129357579434615,0.1917667890332435,GOB
0.5179078357751524,0.7578794573828874,4.535338083485273,-4.026228128609365,3.288864407163574,GOB
0.9169590966492844,0.3548096851824566,3.2011859796153344,9.94162185463751,-2.896090848292535,GOB
0.1520792264469892,0.9808918170736208,4.849538122769749,4.551354912883864,-6.082004179100413,GOB
0.5345003985042984,0.21820051410929214,0.24755384372442596,-9.56159689090081,-9.022774886288373,BOG
0.6902361016679524,0.4488301822029335,3.832912350080684,-9.632472023608482,-6.355847590658198,BOG
0.5141898472941347,0.08329513845609138,4.095734130038541,3.3041232944906103,-6.480973538783145,BOG
0.25355050871824386,0.6372351074441721,0.9615020681472111,0.42361443615138583,1.2475988504060194,GOB
0.4641806270525492,0.8013556082723869,1.1696940433758494,-6.3703168782757675,7.707292908868244,GOB
0.06271221680630508,0.5116249995018449,1.8894398255012324,4.530271627840898,3.957490764637191,GOB
0.01405701404540502,0.01364469061832966,4.52591555567886,3.134336770391318,1.1758335433045524,GOB
0.9649693994324788,0.9622077597020183,1.9178554758111341,-9.26041361187089,-9.495248491844748,BOG
0.6115423496434801,0.945522146024372,4.7274189388603,-5.70938747921814,-9.898363661965925,GOB
0.19660344834734245,0.169470671581037,3.1264511124109933,8.696869059090997,8.92766908000031,GOB
0.0883276629971647,0.7470068548839268,1.248062173545025,3.6777130877904973,-7.797893957604228,GOB
0.8596606153775607,0.16540421882813044,3.8754793275975286,9.326021938118362,7.72791355168048,GOB
0.805700157347021,0.1263695263099408,1.2388597509110013,-1.994216144574155,-4.716434302964542,BOG
0.39427742087742923,0.34206026573674575,3.120340577365308,-0.8589079784571467,3.2049254100323292,GOB
0.2293208949071872,0.03474916403571053,2.2197697860091052,0.3358503497752956,9.361780590122436,BOG
0.38395836391214105,0.2485379739672708,3.155191748527936,-2.5132685555712904,1.391560879330985,GOB
0.045452732799507234,0.17794239459700534,0.2097440349094324,-9.675744174280196,3.3153415687296715,BOG
0.1979962358403693,0.46019275462682335,0.036007624435944165,7.03643329093498,-9.238994432077828,GOB
0.25531219781882064,0.7082040680507163,2.703481141639614,1.0867362837926784,-8.779088049728443,GOB
0.5365943324118717,0.12747181791731682,4.192605915910584,5.2490128415546025,-5.201049842063691,GOB
0.09442541209515345,0.4741585281685836,3.4578772420675885,-8.747324450688499,2.4833868627335,BOG
0.5720198180456917,0.9030723631948125,1.9641254379591624,-1.5567857386628585,7.2367571804646325,GOB
0.43155436394950525,0.06308122344535823,1.9274992588137976,-5.496575590010205,-3.8440557451508326,BOG
0.23488536065641225,0.7374976882853298,2.651322341326387,9.127512669981485,-5.642025319726483,GOB
0.2950718252178457,0.18990520912479952,1.3318002243483398,-8.09521649810473,5.665138371481538,BOG
0.9433636987928183,0.06444664087278916,0.7598762461963497,0.8282897497959745,-3.3055903127752995,BOG
0.17638833064112053,0.28513287862454784,2.6803371357872363,-4.523822493028188,8.994854215092474,GOB
0.9950230082375092,0.8958018380455193,0.6294448019576732,-4.186535900446725,-4.816423589615003,GOB
0.4251219882164261,0.6075007447818646,4.370033768087857,-3.4503841702129376,4.2042679071136,GOB
0.9229914495612436,0.7464127106323296,0.4726373099987632,8.22792865286409,2.151563424012936,GOB
0.07016006165028445,0.33141574718055855,1.8277673592580335,6.2378769216376035,-3.9904240632828003,GOB
0.1409459993048263,0.44978001981139515,2.4463940795302093,-2.485496736173629,-7.217703528345494,GOB
0.13899307456729423,0.09843124886990223,3.9426450162412507,7.679008641748194,5.2470533505480095,GOB
0.40344429554966343,0.3583206128748206,0.912894721920146,6.099385680883657,5.649622265344975,GOB
0.17988769285680625,0.977877397027585,3.216689665326076,-5.400575487731885,-1.8556838818899486,GOB
