true_lambda_0,est_lambda_0,true_obs_precision,est_obs_precision,true_gamma,est_gamma,true_beta_info,est_beta_info,err_lambda_0,abs_err_lambda_0,err_obs_precision,abs_err_obs_precision,err_gamma,abs_err_gamma,err_beta_info,abs_err_beta_info,global_error
0.9654206960913415,4.997250149694448,0.280951208773754,0.8168232148949431,3.1740732551619426,3.035092428555223,2.0314806684220517,5.0,4.031829453603106,0.8079818544294802,0.5358720061211891,0.05364084145357249,-0.13898082660671962,0.0069525175891305465,2.9685193315779483,0.5937038663155897,0.5020569278822014
3.254402668606164,3.09574192647889,6.863627065414297,3.7504283998152914,10.19458939751427,11.319684415144819,2.754055663362436,3.632702656700748,-0.1586607421272741,0.03179573990526535,-3.113198665599006,0.31163149805795853,1.1250950176305494,0.05628289232769132,0.8786469933383123,0.17572939866766246,0.18177853639995525
4.898921425945899,4.999986433164902,4.016981288960847,0.8787249076427274,8.240126530330778,20.0,0.2924821929076922,4.079465348864823,0.10106500721900336,0.020253508460722113,-3.1382563813181195,0.31413977790972164,11.759873469669222,0.5882878173921572,3.786983155957131,0.7573966311914262,0.5046846088653505
2.8080025084415583,4.84531208245668,0.15340122296684883,0.27324386797171984,17.543492300330882,20.0,0.584576355976978,2.1153371067200433,2.037309574015122,0.40827847174651744,0.11984264500487102,0.01199626076124835,2.4565076996691175,0.12288682839765472,1.5307607507430654,0.3061521501486131,0.26251930043245264
3.894661804875508,0.541441484614376,9.333576571156765,8.682830973544913,4.534631305743736,4.405080235264228,2.5936833560087793,1.7955703298138024,-3.353220320261132,0.6719880401324914,-0.6507455976118521,0.06513969946064586,-0.12955107047950776,0.0064807939209358565,-0.7981130261949769,0.15962260523899538,0.3468906467894673
2.938229850079994,4.997563555683768,7.101624931223038,2.5311366354347085,9.366491492984691,16.251285573806843,1.5108684624965276,4.555485856082014,2.0593337056037737,0.41269212537149774,-4.57048829578833,0.4575063359147477,6.884794080822152,0.34441190999610566,3.0446173935854866,0.6089234787170973,0.46611002038839466
0.11201173269920385,0.8744361940946485,0.3944932589086972,8.788669263346716,10.226220494270994,10.063286533846657,0.5783642312228988,0.30757469382095143,0.7624244613954446,0.15279047322553999,8.394176004438018,0.8402578583021039,-0.16293396042433628,0.008150773407920775,-0.2707895374019474,0.054157907480389476,0.42789534678374475
1.995660122853912,5.0,0.7709865967720443,2.514274764590427,18.411004409006804,20.0,4.936725044355875,4.449086234593519,3.004339877146088,0.6020721196685547,1.7432881678183825,0.1745033201019402,1.5889955909931963,0.07948952431181573,-0.4876388097623554,0.09752776195247108,0.3196765923693676
4.830448452633218,4.986368878784244,8.973618215073422,4.413205741203934,15.001786885376598,16.77558560194402,3.1781052864091572,3.767286749220185,0.15592042615102653,0.03124657838697926,-4.560412473869488,0.45649774513208086,1.7737987165674216,0.08873430297986101,0.5891814628110277,0.11783629256220554,0.2403776759298247
1.9260355506181468,0.01,5.285035978406339,10.0,4.9184681642249455,4.887043716516871,4.980526802042704,5.0,-1.9160355506181468,0.3839750602441176,4.714964021593661,0.471968370529896,-0.03142444770807451,0.0015720083895985248,0.019473197957296406,0.0038946395914592814,0.3042238604621781
0.9237972238496541,4.93885021245431,3.052959851466461,8.859622495115934,7.953612819736515,10.210481328579995,4.395350265438063,5.0,4.015052988604656,0.8046198373957225,5.806662643649473,0.5812475118768241,2.25686850884348,0.11289987537986394,0.6046497345619368,0.12092994691238737,0.5031481359189208
0.7359978110658277,5.0,0.466741693014304,3.689915446377976,19.22488861440637,20.0,4.058561024974488,4.06481864171283,4.264002188934172,0.8545094567002348,3.223173753363672,0.32264001535171893,0.7751113855936289,0.03877495675806048,0.006257616738341909,0.0012515233476683818,0.457107223383794
3.53610869487033,0.01,5.381827745377486,10.0,14.525750427344548,13.722453919290675,3.88992637730249,2.6248826224106274,-3.5261086948703304,0.7066350089920501,4.618172254622514,0.4622795049672186,-0.8032965080538723,0.04018491786162443,-1.2650437548918627,0.25300875097837255,0.4412095965471266
3.7147064947125283,4.993852257623076,1.2677518064398225,1.2417621580766165,18.892347488162518,20.0,0.3821927096897803,0.6283383506364849,1.2791457629105478,0.2563418362546188,-0.025989648363206053,0.0026015664027233287,1.1076525118374825,0.055410330757252754,0.2461456409467046,0.04922912818934092,0.1334276179985316
4.207945363662635,3.6971800887675794,1.6051483851476231,0.6723057981775048,11.318750916014855,18.97601924203305,1.6762874736291171,2.0931365311965426,-0.5107652748950553,0.10235777052005116,-0.9328425869701183,0.09337763633334518,7.657268326018196,0.3830549437727962,0.4168490575674255,0.0833698115134851,0.2078930684111498
1.4710781597406222,0.3614162349819503,1.3397210928191938,2.343225010865689,17.81848186046288,12.177643105548952,3.57235001142584,1.679773902997471,-1.1096619247586719,0.22237713923019475,1.0035039180464953,0.10045084264729683,-5.640838754913929,0.2821830292603266,-1.892576108428369,0.3785152216856738,0.2657268328994301
4.654345511166394,1.5270874017369016,4.874059483574853,0.9484894183656604,1.4900514126997506,2.0537705291207695,3.5469604990193737,5.0,-3.1272581094294924,0.6267050319497981,-3.9255700652091927,0.39294995647739667,0.5637191164210189,0.028200055848975437,1.4530395009806263,0.29060790019612526,0.39762327024869654
1.9657724380110122,0.5144863187902585,7.453814386563137,1.8168759837383373,5.482185128433499,4.913690070883253,4.630308236226523,5.0,-1.4512861192207538,0.29083890164744564,-5.6369384028248,0.5642580983808608,-0.5684950575502459,0.028438972363694144,0.3696917637734769,0.07393835275469537,0.3198633002772663
4.572612332884019,2.2888346538471205,5.565939249795314,0.6019667883652504,7.00416905638727,8.280854590890918,1.66718616107978,5.0,-2.283777679036899,0.45767087756250474,-4.963972461430064,0.49689414028328965,1.276685534503648,0.06386620983009746,3.33281383892022,0.666562767784044,0.47559206126960585
4.198669934297489,4.999428149923331,5.760156140605713,2.184359973519336,2.2700963091710675,2.687165354458979,1.5023945397727012,5.0,0.8007582156258417,0.16047258830177188,-3.575796167086377,0.3579375542629006,0.41706904528791133,0.020863884206498817,3.497605460227299,0.6995210920454598,0.4011345797324857
3.2169301508675328,1.894673735049561,2.998880390508427,1.2686627611328216,3.0414379907990603,3.9694297058618284,4.008330270800923,5.0,-1.3222564158179717,0.26498124565490416,-1.7302176293756055,0.173194957895456,0.9279917150627681,0.04642279715171427,0.991669729199077,0.1983339458398154,0.18821728411400843
2.5147533335101238,0.01,1.7864208437417026,10.0,6.866945495537834,5.483781600763203,1.6216082613376568,0.19835186104741942,-2.504753333510124,0.5019545758537323,8.213579156258298,0.8221800957215514,-1.383163894774631,0.0691927911342987,-1.4232564002902373,0.28465128005804746,0.503426384788491
0.7936945757774516,0.01,8.627721889318106,10.0,12.877470562133526,11.17825048016959,1.3544480195767317,1.48477580531453,-0.7836945757774516,0.15705302119788608,1.3722781106818935,0.13736517624443378,-1.6992200819639365,0.08500350585112239,0.13032778573779824,0.026065557147559648,0.1134017773101931
3.52496384904803,5.0,8.713667195902591,5.017642557203796,16.102129647865986,20.0,2.5763366451144343,4.0163971856927905,1.4750361509519698,0.2955984270444829,-3.6960246386987947,0.36997243630618565,3.8978703521340137,0.19499101311325734,1.4400605405783562,0.28801210811567124,0.2937815954555674
4.617149110146677,2.118001154817255,9.678568754612064,8.488565141716462,8.179796173379971,8.113627983661043,4.024213907031874,2.8716388444099175,-2.499147955329422,0.5008312535730305,-1.1900036128956017,0.11911948077033051,-0.0661681897189279,0.003310064518205498,-1.1525750626219566,0.23051501252439133,0.2820325880021497
4.227601593716263,5.0,4.122658143824219,0.01,0.2392505189408484,6.755658367496473,4.605914713562754,2.5346556659798654,0.7723984062837372,0.15478925977630004,-4.112658143824219,0.4116774918742962,6.516407848555624,0.3259833841198411,-2.0712590475828887,0.41425180951657775,0.3432593045599744
0.5611080659784214,1.7962427751259484,7.2764020412465555,8.910655302960393,18.26289452714429,18.82333531332669,1.3772775843815483,1.8317294571580665,1.2351347091475269,0.24752198580110757,1.6342532617138374,0.16358891508647022,0.5604407861824008,0.028036057337788935,0.4544518727765181,0.09089037455530362,0.15578474515492782
