agent_id,true_A (Shape),est_A (Shape),err_A (Shape),true_w (Loss Aversion),est_w (Loss Aversion),err_w (Loss Aversion),true_a (Learning Rate),est_a (Learning Rate),err_a (Learning Rate),true_c (Consistency),est_c (Consistency),err_c (Consistency)
0,0.6480756702385919,0.491805965626215,-0.15626970461237694,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,1.0,0.7958894063811486,0.6065241736712362,3.6526529447035676,3.0461287710323313
0,0.6480756702385919,1.0,0.3519243297614081,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,1.0,0.7958894063811486,0.6065241736712362,4.3380185805532285,3.731494406881992
0,0.6480756702385919,0.6381714635678829,-0.009904206670709015,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,0.3867382423954557,0.1826276487766042,0.6065241736712362,3.725179194095415,3.1186550204241787
0,0.6480756702385919,0.5647317311485306,-0.08334393909006133,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,0.023265041084755366,-0.18084555253409612,0.6065241736712362,4.999999970383565,4.3934757967123295
0,0.6480756702385919,0.9655907361165236,0.31751506587793166,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,0.13158158379730042,-0.07252900982155105,0.6065241736712362,4.922882647187694,4.316358473516458
0,0.6480756702385919,0.3477336483408107,-0.3003420218977812,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,1.0,0.7958894063811486,0.6065241736712362,4.439913449522577,3.833389275851341
0,0.6480756702385919,0.4885688883590109,-0.159506781879581,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,1.0,0.7958894063811486,0.6065241736712362,2.355312812481528,1.7487886388102916
0,0.6480756702385919,0.6592565292965364,0.011180859057944526,0.15435277581433204,0.07779344977331816,-0.07655932604101388,0.20411059361885148,0.7785722467104036,0.5744616530915521,0.6065241736712362,4.978814882921404,4.372290709250168
0,0.6480756702385919,1.0,0.3519243297614081,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,0.01,-0.19411059361885147,0.6065241736712362,2.546421411349158,1.9398972376779215
0,0.6480756702385919,0.7640821542641618,0.1160064840255699,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,1.0,0.7958894063811486,0.6065241736712362,2.4888191545120066,1.8822949808407703
0,0.6480756702385919,1.0,0.3519243297614081,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,1.0,0.7958894063811486,0.6065241736712362,0.7856477987881103,0.17912362511687407
0,0.6480756702385919,1.0,0.3519243297614081,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,1.0,0.7958894063811486,0.6065241736712362,5.0,4.393475826328764
0,0.6480756702385919,0.8390786057578385,0.19100293551924663,0.15435277581433204,0.17754840561758134,0.023195629803249296,0.20411059361885148,0.2333939285922489,0.029283334973397412,0.6065241736712362,0.23815807444828957,-0.36836609922294666
0,0.6480756702385919,1.0,0.3519243297614081,0.15435277581433204,0.3523774676706228,0.19802469185629074,0.20411059361885148,0.01,-0.19411059361885147,0.6065241736712362,1.497584192770217,0.8910600190989807
0,0.6480756702385919,0.7288647894639046,0.08078911922531273,0.15435277581433204,0.0943450442484294,-0.06000773156590264,0.20411059361885148,0.980993057091583,0.7768824634727316,0.6065241736712362,3.6257750184977637,3.0192508448265274
0,0.6480756702385919,1.0,0.3519243297614081,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,0.01,-0.19411059361885147,0.6065241736712362,1.7035311030044602,1.097006929333224
0,0.6480756702385919,0.6546542745215368,0.006578604282944878,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,1.0,0.7958894063811486,0.6065241736712362,1.9387371723149618,1.3322129986437257
0,0.6480756702385919,1.0,0.3519243297614081,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,1.0,0.7958894063811486,0.6065241736712362,5.0,4.393475826328764
0,0.6480756702385919,1.0,0.3519243297614081,0.15435277581433204,0.28129337602793714,0.1269406002136051,0.20411059361885148,0.01,-0.19411059361885147,0.6065241736712362,1.8713290952933581,1.264804921622122
0,0.6480756702385919,1.0,0.3519243297614081,0.15435277581433204,0.19431808261060585,0.0399653067962738,0.20411059361885148,0.01,-0.19411059361885147,0.6065241736712362,2.9859122339520177,2.3793880602807813
0,0.6480756702385919,0.5144495172280755,-0.1336261530105164,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,1.0,0.7958894063811486,0.6065241736712362,3.689917309761326,3.0833931360900895
0,0.6480756702385919,0.7170954397861133,0.06901976954752143,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,1.0,0.7958894063811486,0.6065241736712362,3.4850061073844474,2.878481933713211
0,0.6480756702385919,0.5634891105455171,-0.08458655969307483,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,1.0,0.7958894063811486,0.6065241736712362,3.153234308692374,2.546710135021138
0,0.6480756702385919,1.0,0.3519243297614081,0.15435277581433204,0.017965759815093456,-0.13638701599923858,0.20411059361885148,0.055325181500564126,-0.14878541211828736,0.6065241736712362,0.23426808749276196,-0.3722560861784743
0,0.6480756702385919,1.0,0.3519243297614081,0.15435277581433204,0.01,-0.14435277581433203,0.20411059361885148,0.01,-0.19411059361885147,0.6065241736712362,1.2721465122109858,0.6656223385397496
