true_A_rew,true_A_pun,true_K',true_beta_F,true_beta_P,rmsse_median,rmsse_p90,n_successful,bias_A_rew,std_A_rew,shapiro_p_A_rew,bias_A_pun,std_A_pun,shapiro_p_A_pun,bias_K',std_K',shapiro_p_K',bias_beta_F,std_beta_F,shapiro_p_beta_F,bias_beta_P,std_beta_P,shapiro_p_beta_P,pct_normal
0.7279951837270823,0.095848102785113,4.144627811163057,4.4921052788376254,-0.7237670939155052,0.3430373334904198,0.4542370752165748,30,-0.1067056784557746,0.2851545942853252,0.0139109907767426,0.0499896524098568,0.0927740527731956,5.87666316147103e-06,-3.0225874522798124,1.1901548895711338,0.0004625624470089,1.2975207064535443,2.5496725810839336,0.0142671744182437,2.777667096442254,6.510398076305745,0.0029518558164419,0.0
0.0165096065641222,0.4924927651548272,2.611839439832472,9.87487545469298,1.2674113021013866,0.2294339249280447,0.260279158284174,30,0.0063902060990941,0.0245790794451722,6.7453450615319716e-09,0.0429855697770049,0.119575319243668,0.0008377564114271,-0.5650214100994223,1.6929781223786833,0.0006169324981405,-0.4521075130992772,1.1223836124706177,4.9935856873682746e-08,-0.8970963069706777,6.8865677919867245,0.0029929566193998,0.0
0.2027403738687013,0.3080076936531871,3.46167470715076,6.967089535469167,-1.4977365679530923,0.3058440152656675,0.3317353354088579,30,0.0059746548712884,0.1461217211654843,0.0022661027583554,-0.0061003595490306,0.0747759498403894,0.1733305587694158,-2.052644462950131,1.3866034457356635,0.0018211084815892,1.4079779458113355,1.8375017634537727,4.85071170818029e-05,1.80382044543162,7.1431622295832575,0.0051641148804371,20.0
0.0923624315113176,0.625960680507163,0.7493618274389582,-8.073105246879702,-0.5908941195069826,0.2192100683920808,0.3449856503039425,30,-0.0020717878010919,0.0208150903141294,0.4425571633134631,-0.0057901819289707,0.118688976100893,0.3631288864313659,1.100965483267642,1.4364935426907892,0.0092158381584347,-0.0660977736810203,1.1667982142960622,0.0637254705781552,0.3974577515482455,7.386112132854785,0.0011086008546102,60.0
0.0553748568707896,0.1298084248765608,3.280293019756051,-9.515724844852889,-4.576772039517113,0.3155890265918197,0.3362333803011553,30,0.0014161778015716,0.0111218438390666,0.040607783561362,-0.0136922964154265,0.0321994941056544,0.10611563253872,-1.7430860479190105,1.7379479547074943,7.56916986849756e-05,0.0112217337277971,0.8658476414556032,2.404218298208858e-07,3.407515450490426,7.159347043686144,0.001283385169225,20.0
0.2960195011391274,0.4573763661676128,4.879561962342128,-7.058750371880558,-5.827321958129698,0.4230260575609309,0.4600871989419214,30,0.0001294559629703,0.0583366533978935,0.6169251826413406,0.0061155631782789,0.0730351835581018,0.737796766653505,-3.8863829128490432,1.214937708353633,4.118092021966507e-05,-0.7492040066459938,1.2168392235588297,0.5679181463318019,4.51388024674442,5.678297094988462,0.0128458327619167,60.0
0.895445452040372,0.4840968505740612,4.020539755464419,-2.134818388241396,-3.686115084885053,0.2940095688451435,0.373665348346451,30,-0.0521494202541606,0.1776118665329896,1.876145748506172e-05,0.0106444828536031,0.0710386315747451,0.9063390856429366,-2.6909852267027663,1.2963633135508426,0.0011064869404503,-0.1644886761157672,0.7540227169593497,4.6206656500145974e-07,-0.0499091804318232,4.711930666710585,0.0012910181175917,20.0
0.7905741549388218,0.7919393560780116,1.9300972191290724,8.076442850277989,4.119507892564457,0.2137569697657762,0.3500432022292231,30,0.0035316025546187,0.1825107664564288,0.011208950346486,0.0773071352001429,0.1391899432127109,0.0005158498641337,-1.3836188784407637,0.6360429294068104,4.502887309639553e-05,1.6833399517349388,0.6610365492785983,7.936584319514067e-10,-4.363257696617778,6.13506144925219,0.1160501752897241,20.0
0.5915978725469354,0.1232519669576823,0.8131741840179076,-0.6915633432655284,-6.72463595461277,0.1211435847352551,0.2029656935499382,30,0.0332181375264802,0.2978939942971315,0.025487255276882,0.0122724899227827,0.0694109943876211,0.1252153972090693,0.0066807194316834,0.2855721915966944,0.7759798919025409,-0.5873935594289041,1.576900040352888,0.0002607611078877,-0.1988855741805122,1.9945615419971856,0.0926386837286413,60.0
0.7698496903424363,0.3123674056717673,1.6671167189606977,-8.307299820158999,-5.145965962005371,0.1663805397315567,0.2483600900281505,30,0.0102977335779774,0.1287010481152128,0.0906737319113079,0.0030541931767599,0.0695755479869917,0.1552430169690038,-0.3954443134433857,1.210894163055636,0.002347539199455,-0.4566784955468869,1.1427807369125231,0.0004857769065955,1.1757235500338694,5.869582673441341,0.0010030886596262,40.0
0.150748657786133,0.3245754945985777,2.1921307562249788,-8.38659403426368,2.024563148341471,0.1916968168321457,0.2820344667273965,30,0.0304515957075062,0.0532716092050812,0.0508429140903689,0.0197004597393084,0.0824464774580789,0.2459442925948455,-0.5989646067353388,1.3739059545336996,0.0011616018241215,0.0605149457756571,1.1663317222115404,0.2150352992796522,-0.8974678604446192,6.782277050545225,0.0016236563051052,60.0
0.6130068477843527,0.7719363551643553,3.7352721602724106,-4.885591879925107,-3.0445812029414387,0.31172430933714,0.3613325883096319,30,0.0562668985079535,0.1859388330079752,0.0695520402288727,0.0367279448848027,0.1172229788347656,0.2006174099390422,-2.2178590027425065,1.0893578459069273,0.0682253254772275,-0.7878361872210148,1.5885864864089676,0.004765570626841,-0.5524532557565522,7.498250549783705,3.001306005821289e-05,60.0
0.1972698676882662,0.3832916919725383,4.111505911570769,-4.130296894493815,7.814611267199975,0.359936840248195,0.499644960153585,30,0.063806035505973,0.0832502869460444,0.0089783568296909,0.0344414631968589,0.0832375009259167,0.4473916870740076,-2.705818750436026,1.4195005517601866,0.0005774831997003,0.2660762625247905,0.5741574183113874,0.1714650303809837,-6.805425957251639,6.4773940102818015,0.0013364003598854,40.0
0.2434070555162866,0.9760681589902646,3.146960499019374,-8.681232713382718,-6.577468695569294,0.300852815771773,0.3799552537518054,30,0.0087904358515374,0.0506835529250021,0.0865812996628331,-0.022760171795808,0.0585295162617425,2.598105650743056e-05,-1.6153789020121274,1.3541510625166528,0.0068330607114815,-0.2057980895124176,1.139204681849492,0.00026342883782,6.14670048471844,7.033566598303966,0.0049098694205928,20.0
0.7638099149382631,0.165964983862844,2.1589472192014587,3.710642420565387,-2.296746243492592,0.2155142750004581,0.3495237383061403,30,-0.1469590538739491,0.2242399734221167,0.0390704347802158,0.035691221907605,0.0745581193046645,0.0005985964542152,-0.7153317124107212,1.3186943206650217,0.0047623601602517,0.5628701174459896,2.165538433683938,0.0002640821142603,4.039643711035679,6.329966640913254,0.0065003475167875,0.0
0.7832178550331826,0.1912193845609137,2.398893079259704,2.81771871390635,-0.1113559283642562,0.2273953798169219,0.2546108533248883,30,-0.0336216112305094,0.1827645348774291,0.0007306638018528,0.0386088864028595,0.0842506428054996,0.0038275090311649,-0.7708135896778074,1.3116972006079934,0.0063807350488434,0.1905621054160456,1.4918901757330758,0.0006830849100807,0.1427918808051167,6.866236889232124,0.0057178027011084,0.0
0.7980740301735065,0.6588688518245657,0.5418597961533396,8.91332108320369,5.999091517074646,0.1477618637107866,0.2787232473114442,30,-0.0184426066658339,0.2611589201829984,7.327911975794538e-05,0.0058634268181618,0.1573200987356854,0.3712900818568372,-0.0024900831586384,0.4579599227359436,0.0213864825548048,-0.2897033885177263,1.7120810852824266,3.408336110492207e-05,-0.8482346861167306,5.257869202535254,0.0002171205643049,20.0
