true_A (Shape),true_w (Loss Aversion),true_a (Learning Rate),true_c (Consistency),contraction_A (Shape),post_std_A (Shape),ess_A (Shape),contraction_w (Loss Aversion),post_std_w (Loss Aversion),ess_w (Loss Aversion),contraction_a (Learning Rate),post_std_a (Learning Rate),ess_a (Learning Rate),contraction_c (Consistency),post_std_c (Consistency),ess_c (Consistency),post_corr_A (Shape)_w (Loss Aversion),post_corr_A (Shape)_a (Learning Rate),post_corr_A (Shape)_c (Consistency),post_corr_w (Loss Aversion)_a (Learning Rate),post_corr_w (Loss Aversion)_c (Consistency),post_corr_a (Learning Rate)_c (Consistency),max_post_corr,mean_contraction,min_ess
0.019371518866990962,2.031519656136959,0.38356788738155073,2.794945379181694,0.9607954022944336,0.056586531238468185,448.14275114588355,0.8416637200572578,0.5731920274656565,414.66255917104553,0.9522083637449555,0.062477050915762285,419.2419339998326,0.8029775660611632,0.6393928309550417,483.220673021634,-0.2955453878587562,-0.40980569542355655,-0.6186408628990352,-0.33876158206927537,-0.36765668503788346,0.33099799897630483,0.6186408628990352,0.8894112630394525,414.66255917104553
0.17247624580030474,1.8721158572332017,0.13852341583862784,3.2606549472237907,0.9821814138603598,0.03814882728151822,395.5706969006117,0.7948586087643814,0.6524339785185183,445.3986125041151,0.9893572336025337,0.029483011133754025,394.9690585981848,0.8393715748830604,0.5773260090173136,407.48930475199177,-0.48072143403215034,-0.2912363399788893,-0.47348900569336067,-0.20678614994119207,-0.1289030272496353,-0.07708479246833395,0.48072143403215034,0.9014422077775839,394.9690585981848
0.3552316750365121,2.967786790149256,0.7488290995600974,2.8391328901066752,0.4441368068707663,0.21307305390130907,301.83410835351054,0.5037948565306083,1.0147067594836698,306.2505506473641,0.5964162750842937,0.18155632936499436,308.74147287157837,0.16413959807660738,1.3169727785700012,312.7231699192001,-0.009070046376793664,-0.9012056011629094,-0.25153400518168956,-0.2672152975691115,-0.006964461834695673,0.19037829061126654,0.9012056011629094,0.42712188414056895,301.83410835351054
0.24496201315674163,3.6457255562933977,0.8940188627515993,2.3439607877829394,0.8774202567559314,0.10005848554450196,248.8240964631071,0.5105490539864741,1.0077771538073037,243.18140552905908,0.8872001881543176,0.09598398112443615,315.37332252375194,0.2843866448550403,1.218566237580222,259.0070832123558,-0.5056005934402992,-0.6304448785436116,-0.7358619485269954,0.0840262345371872,0.038197793702198855,0.4484884608491888,0.7358619485269954,0.6398890359379408,243.18140552905908
0.2809341154702506,3.4520447139848116,0.8387812711848543,4.219979946483809,0.6992103310344298,0.15673862387032414,298.32030391133515,0.4543473003201939,1.0640648001608872,263.53586851333444,0.8225543969033406,0.12038633490940594,308.3570239794554,0.13023970264416418,1.3434135122946462,261.60870438294995,-0.33689412551339804,-0.7058636122519518,-0.6467311308223953,-0.18318930345980675,-0.0888845184914336,0.4921501046249222,0.7058636122519518,0.5265879327255321,261.60870438294995
0.5436676442559122,2.0838999658563724,0.2577900895584904,1.7307986492513376,0.8838173103813574,0.09741263354720804,349.5866071493576,0.87428261677967,0.5107490752091922,367.8526361783021,0.9010638358963484,0.08989221992567402,353.44072689371325,0.4940265586141406,1.0246458448268863,346.3708259813552,0.5874419996634944,-0.9802443017748296,-0.5795641126754578,-0.6009224411317174,-0.6390318834858335,0.5880036534984859,0.9802443017748296,0.7882975804178791,346.3708259813552
0.6178661103639437,2.9079520593773296,0.6079292391423466,2.3032141920872173,0.5464511642948946,0.19246714305619667,264.7097921315048,0.5065136831663348,1.0119230305788227,226.95641674992208,0.7258004153390297,0.14965042959238287,286.8111170515212,0.12543964025148313,1.3471154495740782,246.98037134153174,-0.15464865982477435,-0.8595446167474465,-0.18608118890105269,-0.25057541104979125,0.01874597480629133,0.10245969045496293,0.8595446167474465,0.47605122576293557,226.95641674992208
0.6446811543403026,2.5561164446533255,0.06789211018313963,4.39402079054474,0.8694692637389206,0.1032525926266438,345.19393327022595,0.9848062587913573,0.17755883425626498,432.5825393257144,0.9455158871481759,0.06670824474660335,330.9249762607571,0.7177865901418155,0.7652419076567544,296.46975111160407,0.42321333271423195,-0.9469361494745714,0.003558252833113846,-0.5659154469491191,-0.04792421140674269,0.010605958286248062,0.9469361494745714,0.8793944999550674,296.46975111160407
0.7789743289544323,3.9011215572139717,0.7139723950640764,4.937456170643425,0.576262083998869,0.1860343900718154,247.9960743729635,0.468671951000343,1.0500048235165542,320.23760567264327,0.7537360895029055,0.14182244141831077,259.01396235962756,0.16280924292126775,1.3180204086158955,270.3797788230456,-0.12617257411135885,-0.35042399515677414,-0.16454574822829637,-0.12077949215324904,-0.1114954241624626,-0.0030868581707179403,0.35042399515677414,0.4903698418558463,247.9960743729635
0.8807880196787673,3.3084715092866595,0.3008999595697612,1.1262488986033676,0.44645325201257424,0.21262862140801503,300.43760536999764,0.5279490227553634,0.9897018296137302,279.0755896472257,0.6071670436694473,0.17912183481724914,304.1377437599162,0.17570277604008278,1.307831643928362,303.1554497764566,0.05284385415632156,-0.9230974406434683,-0.20314805583813317,-0.2924882795619677,-0.047564748468703205,0.16046711915846892,0.9230974406434683,0.4393180236193669,279.0755896472257
