true_$\lambda$ (Loss Aversion),true_$\rho$ (Perception Shape),true_$\alpha$ (Learning Rate),true_$f$ (Boredom Factor),true_$\beta$ (Exploration Weight),rmsse_median,rmsse_p90,n_successful,convergence_rate,bias_$\lambda$ (Loss Aversion),std_$\lambda$ (Loss Aversion),shapiro_p_$\lambda$ (Loss Aversion),bias_$\rho$ (Perception Shape),std_$\rho$ (Perception Shape),shapiro_p_$\rho$ (Perception Shape),bias_$\alpha$ (Learning Rate),std_$\alpha$ (Learning Rate),shapiro_p_$\alpha$ (Learning Rate),bias_$f$ (Boredom Factor),std_$f$ (Boredom Factor),shapiro_p_$f$ (Boredom Factor),bias_$\beta$ (Exploration Weight),std_$\beta$ (Exploration Weight),shapiro_p_$\beta$ (Exploration Weight),pct_normal,shapiro_p_median,corr_$\lambda$ (Loss Aversion)_$\rho$ (Perception Shape),corr_$\lambda$ (Loss Aversion)_$\alpha$ (Learning Rate),corr_$\lambda$ (Loss Aversion)_$f$ (Boredom Factor),corr_$\lambda$ (Loss Aversion)_$\beta$ (Exploration Weight),corr_$\rho$ (Perception Shape)_$\alpha$ (Learning Rate),corr_$\rho$ (Perception Shape)_$f$ (Boredom Factor),corr_$\rho$ (Perception Shape)_$\beta$ (Exploration Weight),corr_$\alpha$ (Learning Rate)_$f$ (Boredom Factor),corr_$\alpha$ (Learning Rate)_$\beta$ (Exploration Weight),corr_$f$ (Boredom Factor)_$\beta$ (Exploration Weight),max_error_corr,nll_median
3.6449759186354114,0.10313741556053184,0.8223470509879591,0.36505657933152186,2.3244201100680812,0.12757291698749573,0.17778117176923267,100,1.0,0.13536795792648307,0.9965276794943936,3.847504079096959e-05,0.015946219143344407,0.05182082502119646,0.09359896805979444,-0.015181152916086675,0.0899590632840781,0.0014629841561327832,-0.011671052003705664,0.0806986293124728,0.0665053783338709,0.2446321410426095,0.3613058192612227,0.1308739560529717,60.0,0.0665053783338709,-0.7226671113220107,-0.0513686942967176,-0.058056848532532235,0.154557718150211,-0.4201283905807953,-0.42230816095489804,0.13034857368919664,0.49087708838009847,0.18973119378916778,-0.005661945864869889,0.7226671113220107,56.514397567142964
0.08754803282061142,0.49262816618409894,0.5219205302071644,0.496934448639978,2.821219119874296,0.05953592093460778,0.11890706447975882,100,1.0,0.007287247373099615,0.05203831044678057,0.05664041418768936,0.023408467949949628,0.033233202658905996,0.9514924815733796,-0.007213026926808705,0.054245823281903936,0.3396571326369737,-0.026297436763450296,0.03984816637051192,2.410003573161839e-11,0.28238347948896436,0.5269634636345241,0.002557139557927199,60.0,0.05664041418768936,0.002083392032982887,-0.6172619962932029,0.04970715458382002,0.02290677712131695,-0.16492711294618428,-0.07792981927119139,0.8242625933679442,-0.1766379052089432,0.030699494115191784,0.13405203392120793,0.8242625933679442,57.12042125150558
1.0187018693435068,0.31147048074160666,0.688488242601549,0.42569369361899456,2.1313147262957033,0.0766303864644439,0.13134456249254126,100,1.0,0.11124764595238965,0.432614072648051,3.329585607765182e-10,0.008925488575715365,0.055281663816200616,0.34403673218863584,0.003122770915539239,0.08266846812667812,0.21105136140661035,-0.017428404695202473,0.06446893112746688,0.002552871561965931,0.23053752006403175,0.3440168776963724,0.0059963951916671135,40.0,0.0059963951916671135,-0.6788922636117276,0.08155399266240129,-0.2382882583753858,-0.00618199301956678,-0.5623096174906911,-0.2262813175032463,0.44751196967349127,0.2547901091707459,-0.1793168458816847,-0.09876329423459283,0.6788922636117276,57.47683357587755
0.46681215755658795,0.6236888445861922,0.1568749181780358,0.05720892145144727,2.357571917183008,0.033022939444051616,0.07151882686661594,100,1.0,-0.0135056551961716,0.044278761687718965,0.33484989373470536,0.007929543537062345,0.03679626124593571,0.37033813473374777,0.0027610516785323306,0.028946666613491726,0.030946145241673332,0.00020320252517840717,0.015806057115225293,0.03097212469565837,0.159486539799491,0.45908880890464193,1.7641232570540716e-05,40.0,0.03097212469565837,0.12049533716260338,-0.649408078180624,-0.2492579057097328,-0.049415456681088696,-0.6386384424456814,-0.15797064503412891,0.8391818149939683,0.4303394031997856,-0.44459118113663243,-0.47864662635898475,0.8391818149939683,81.79442326284445
0.281874284353948,0.136485226832695,0.652937431872186,0.021864741301104246,1.3630953761404805,0.09611749371051956,0.1870706163370692,100,1.0,0.17204809848915922,0.5211544332027237,8.267114113631002e-11,0.00941303002613636,0.08671251373140987,0.002072014927763991,-0.04670619881408704,0.2005932339548776,0.052890931608525586,-0.0014413507780546794,0.016045369242961453,3.5267650320152754e-15,0.3737247853007443,0.4869553414553875,0.04344352382073333,20.0,0.002072014927763991,-0.4502439259635695,-0.15786490947447307,0.06415982288787958,0.140964556914759,-0.6115311365214576,-0.33221397240924033,0.4575936076210061,0.4065185325212102,-0.4923240012886095,-0.5344374335265635,0.6115311365214576,117.32776686187407
1.4850975056956373,0.45814512910246546,0.966394144619057,0.08206061588892632,1.0510831714466404,0.08460540452765763,0.15013312381748525,100,1.0,0.11962648957074264,0.6434445717177247,3.156904672839011e-13,0.05011054001157229,0.09333793295826057,4.0905533694781525e-11,-0.04442322684642607,0.09777147402600773,4.376029726981444e-12,0.02284902854310668,0.08868737634696472,1.598477557312158e-12,0.3214580710474824,0.5085665777239408,0.03606320843196868,0.0,4.376029726981444e-12,0.3865406465089251,-0.1321289233769138,0.4936910430388687,-0.39818274469901593,0.02292286166297458,0.5081244043244866,0.2759176074607061,0.15484020050413336,-0.05398867954396838,-0.301979965498599,0.5081244043244866,17.623023135401027
4.48222726020186,0.4843836809244289,0.7980257920710261,0.20269694948808584,1.5853142863211793,0.14529494526345788,0.29459619821427274,100,1.0,-0.7068475963761628,0.6588727944920165,0.08109390283302091,0.07047428785963128,0.09665700595735316,0.0007005494335570532,0.005652681881389707,0.12218632087575931,0.000698478418012368,0.024583440981520554,0.09581844609055036,1.2361573624471362e-06,0.8300198947916965,1.0816305428310562,2.0666842208979984e-05,20.0,0.000698478418012368,0.09895434887274979,-0.7213397925048903,-0.16434464841633906,0.07147900600042337,-0.31497699304902416,0.10723577144644235,0.7174227629002982,0.16484489269444133,-0.14490674265508324,-0.10668178277898158,0.7213397925048903,14.506578240693592
3.957870774694109,0.7866739167900314,0.38829905494929823,0.4528728498318107,3.5328172191948317,0.16021925324282932,0.21456492003355043,100,1.0,0.3588996846884459,0.6924969674510068,5.723250715264797e-08,0.054486026997477364,0.06624685450508817,0.06638225399767975,0.010089922882832492,0.11439244527326256,1.0569533847912764e-11,-0.02267889060317631,0.09636033313363113,1.4556846933568403e-11,0.774671949100334,1.1072922338525404,1.8627513548710668e-13,20.0,1.4556846933568403e-11,0.25089860792151436,-0.04722858269385625,-0.31061553273468234,0.14808231894587393,-0.03427519534610788,-0.014164854868329302,0.3291652807149366,0.18629477007307926,-0.29946187928277646,0.008444852286114914,0.3291652807149366,5.784267482148184
2.962989362734677,0.1300470216618524,0.1693821400675099,0.23805669808999458,0.827203329324114,0.18387693440663083,0.23103436825673856,100,1.0,0.31797946766639856,1.5083932665782815,3.651686076000864e-09,0.03380493589313509,0.10097093535067007,0.0018134712633466235,-0.002452312295184247,0.08979402559289301,2.6899538199695535e-05,-0.0006207795399311067,0.11172956190044214,0.0013538143753922733,0.10344797828719476,0.19541729116455145,0.0004856022066190114,0.0,0.0004856022066190114,-0.5631497125845935,-0.31868404856656535,0.005872096952530026,-0.06860351167983363,-0.44188233298427754,-0.0733195416102604,0.25260205862088936,-0.06679714500070005,0.007484762804817518,-0.44963906316578617,0.5631497125845935,108.16338825437278
3.8542484517121816,0.31575156067969135,0.33675487691629674,0.05147115440610452,1.22108149247966,0.07951352395704166,0.1285503512777025,100,1.0,0.067704560435656,0.7529468721401711,0.0007564189021388789,0.021406963277777753,0.04810221562931783,0.22019112384342193,-0.017566504872682888,0.05416855687687223,0.1580227443274178,-0.005619269883968508,0.0205814906214343,0.0498247543793642,0.26763833612055465,0.43237087437523286,1.6888877213639202e-09,40.0,0.0498247543793642,-0.5070480864070572,0.018797698393652747,0.15914854108684534,0.03876786979841784,-0.6894314567803883,-0.6271396546255322,0.7119228474746995,0.752672389405172,-0.5576277957432866,-0.587979685634612,0.752672389405172,63.73867320473705
0.7587432889306652,0.32773946363387396,0.4396576282200958,0.04952844616053981,3.0101285055111973,0.08381440864166481,0.18630419724068206,100,1.0,0.01753525983862373,0.22781151497564062,5.3779427374306396e-05,0.025351753308269002,0.057131297100266994,0.09412019075332738,-0.022155197407476818,0.10539014922117558,0.22364423130087163,0.0007841437813875812,0.02549323698834767,1.5706648530026492e-06,0.5403758547182279,0.8723013277829983,9.692790116386372e-05,40.0,9.692790116386372e-05,-0.5085855692318699,0.0020136767195767518,-0.048475112936585,0.026242704595926234,-0.7021144933144707,-0.5642049655179626,0.7169283830677023,0.7513287117202584,-0.6729134269164967,-0.7834073433913284,0.7834073433913284,83.70495453924273
3.070034238921763,0.7670316914439561,0.7421133434133924,0.1353029989418349,1.7453769898661111,0.35733534354512864,0.43655892349309955,100,1.0,0.8833240490034424,1.2378949582438952,1.6430336772830081e-10,0.2087812250892199,0.032855855357548716,3.984398689452625e-17,-0.015399843706390137,0.20333692804424486,4.918423032757642e-09,0.07566839621121407,0.20516903414320473,6.082832754248631e-12,2.0321210548312703,1.8080133843626358,1.6538632973028627e-13,0.0,6.082832754248631e-12,0.20066164864220584,-0.24664784772531312,0.009627307214898496,-0.3653387141527324,-0.25179659761155676,0.015572477599714056,0.0031156047455571205,0.5127827835377742,-0.5636277472942276,-0.5911717303939065,0.5911717303939065,3.475598430463979
0.9913493384413311,0.38539665143595947,0.8158551586678707,0.15380772608490154,4.454745511166394,0.05660373820572623,0.09358798922426957,100,1.0,0.06652744334904255,0.33084076031138776,3.6183338307491344e-11,0.00027823348229656154,0.043137079067033665,0.11078836194451919,-0.004422567823906752,0.06775946824599755,0.6806308905903429,0.0033351816718936245,0.029072658638054617,0.14733012729439632,0.15989504123154016,0.42697039214836136,9.201190931971927e-09,60.0,0.11078836194451919,-0.723120741459132,-0.03247342386591442,-0.37212189053960665,0.0717887022259277,-0.5238552087497216,-0.1610169120404416,0.4809397006224049,0.679154047969741,-0.40808930851283787,-0.5001884864972962,0.723120741459132,45.58251613211854
1.2220352775814334,0.9674817593291175,0.6268042578077972,0.04230979852212342,0.8639215604554612,0.3434997864392737,0.5679515622456074,100,1.0,1.4025698626412535,1.582761864326559,6.577518701866163e-12,0.022518240670882487,3.469446951953614e-18,1.0,-0.03428744702186899,0.15612122998484365,9.772284218273798e-13,0.2083685906967484,0.21063984093739,9.34904189243434e-11,0.7262090578592122,1.0217801436292038,1.1974032682192438e-11,20.0,1.1974032682192438e-11,-5.0504159579952255e-17,0.48458986425936074,0.31787601691212003,-0.309366636710763,-6.844614670954442e-17,-4.216573729582927e-17,-1.8688791461269998e-16,0.4244577224602161,-0.2620786988065086,-0.025940785649366156,0.48458986425936074,3.270755925757902
3.8240495746913155,0.17198966351261238,0.43315365496348596,0.34591073930385197,1.9319618122485984,0.11661049216125718,0.1688255594809079,100,1.0,0.10200895450444528,1.0200882032721938,5.189440964416953e-07,0.01475002485151481,0.06153832120541243,0.4657488165450266,-0.012504744104499178,0.06351453587151316,0.08203525991390159,-0.00876138503757467,0.07492115202103727,0.2683334094194526,0.15072813036478017,0.32674547334543236,0.0007993963673698794,60.0,0.08203525991390159,-0.790786940984226,0.13571750903032442,-0.1994544911172482,-0.05148440049257529,-0.4920785956133767,-0.16984894898824043,0.32670720203706183,0.17982958197676924,0.12339858154182591,-0.10234691731872181,0.790786940984226,67.64720531390029
3.9210892751659134,0.19678857401773095,0.48018304353490193,0.3240341084907056,2.477216695873118,0.11324332453565222,0.16138353898130003,100,1.0,0.08983120025229502,0.9912877364078161,3.467131327148247e-08,0.008686621273174657,0.04957572555207324,0.20518881401445238,-0.0033030805657184746,0.05093797639830136,0.8598216455516565,-0.01103235317853159,0.06859404756306114,0.13078856162156038,0.15788398782527482,0.4071997409734302,0.00036443731721610213,60.0,0.13078856162156038,-0.6855503268984909,-0.01915545622567072,-0.17757526654358466,0.21538526280083245,-0.38893899054513426,-0.2773872330948148,0.3028140583026746,0.17368316462926192,-0.022042717435027986,-0.15380772579499344,0.6855503268984909,57.91829658354142
3.9953701508675326,0.6560034817515775,0.11620452004605455,0.4733763665384904,4.001773333510124,0.0912736481794483,0.1318792318659359,100,1.0,-0.09627806507214703,0.5704925037260327,0.25308287675780206,0.005698281139106358,0.04701440347434039,0.9023673558657584,0.007795671766375209,0.02207868338811409,0.715464073035677,-0.01415343027936069,0.04092827357762562,6.625371971786652e-08,0.21271270072325854,0.6902469399071958,3.958508451661287e-06,60.0,0.25308287675780206,-0.719636039609884,0.015335985529189744,0.281189671567864,-0.18108534112416017,-0.31313591908459176,-0.06218932450390564,0.5470232730175874,-0.1615351167321794,0.39258192433434996,0.03914823905523157,0.719636039609884,23.53142796439233
1.3164813223494591,0.522104175672831,0.41226532341975325,0.15782195365654708,1.149931732699204,0.05553103167902741,0.10324411952975297,100,1.0,0.0036257433192565945,0.1933436502110178,0.19396912254351983,0.01958774635872186,0.052099216605976884,0.523160728705836,-0.0024788064747256235,0.050911902405226556,0.4231679585926106,0.00753780165217235,0.05840114823538188,7.947256065182843e-05,0.1760392762365271,0.3062112277136079,0.47139573172916194,80.0,0.4231679585926106,-0.3331205505899712,-0.32403748711078856,-0.3744463018186097,-0.09233414639512945,-0.4548265323765168,-0.24368527375081234,0.8730841499885965,0.6327464343260915,-0.3173628226033631,-0.305522358053404,0.8730841499885965,40.7451978400335
0.7476805289611224,0.13407521206484765,0.982523308651489,0.21052659919842545,4.937110909350304,0.11291264046138103,0.18015526156570083,100,1.0,0.26781347576676073,0.7676852731292966,1.0977968842112587e-06,0.0010602954422884168,0.086643721280169,0.00010810645755316746,-0.08560279958234471,0.11867645170724954,1.2059558067592558e-10,0.006991306556814925,0.07567310837694466,6.55620052360634e-05,-0.04120079683019684,0.25014593570118093,3.8078755289651664e-17,0.0,1.0977968842112587e-06,-0.8205162168931225,-0.16856265547023017,-0.2121406063597569,0.13784841446594953,-0.2114537523659861,-0.037791759611651446,0.06894543147513336,0.3139622476873456,-0.07844219630985622,-0.1711991998163736,0.8205162168931225,37.93489199885192
2.441191568040816,0.2060552202049205,0.1351193893196882,0.1745243542159219,3.061731867393172,0.20358740927327307,0.2635275631161819,100,1.0,0.5174859961393692,1.6324521698756473,1.9439536601882372e-09,0.05581407898375151,0.1567508968888136,0.009679978709509523,-0.005320959929672664,0.06709647510390108,0.06610537692521763,-0.010602855842125685,0.08229358159972978,2.228128809777043e-08,0.6212051471793287,0.695512648402514,0.006157817912429772,20.0,0.006157817912429772,-0.8050160121470972,0.08937001444555365,0.23064859322856032,-0.15125347585029436,-0.55398134583747,-0.38912641122514885,0.3259575819728065,0.25838161092537937,-0.11343766792716836,-0.36782557332063076,0.8050160121470972,58.93219738615308
0.03824021550064395,0.22698455623477728,0.48047994982522463,0.18738507227065157,0.7105754433258825,0.07549303763998476,0.16676169419181994,100,1.0,0.07490707220184187,0.1682614103274737,7.201395008464873e-14,0.0036619900320991592,0.05952658548828057,0.008959155694733184,-0.004049083786384758,0.148864336354498,0.001427364241723807,-0.00894672116854806,0.08165437283406737,0.006397427467015925,0.09871541631808296,0.18961538524357566,0.012583034418722173,0.0,0.006397427467015925,-0.006117552528321354,-0.2927817184436393,-0.09183311276918744,0.054234610484399814,-0.5468684209907142,-0.4089192871411191,0.5383957731231915,0.37515979404153943,-0.1886745292724402,-0.4113967385356556,0.5468684209907142,116.36301922549106
4.324185435912193,0.7147192514557981,0.4675893066495426,0.4659468904601017,2.1758297880280715,0.2878214523671338,0.36704676893685084,100,1.0,-0.4923201955322773,0.9753913239520025,7.601333715054178e-06,0.149550336085947,0.11055965466795278,3.938488174691158e-06,0.03600369022140408,0.20154016874851666,3.89730525039804e-08,-0.07245570575054833,0.12506158396378333,1.44468972443026e-09,1.421438457237654,1.6301864941945379,6.020736120329997e-10,0.0,3.89730525039804e-08,0.31608021559255495,-0.0024260362465096477,-0.262425065119466,-0.09064785062180297,0.16592324645672601,-0.1841832888998011,0.31072055339092564,0.12841355076335584,-0.47834268319325984,-0.16462528397625958,0.47834268319325984,6.734055907003083
