true_$A_{rew}$ (Reward L-Rate),true_$A_{pun}$ (Punish L-Rate),true_$K$ (Decay Rate),true_$\beta_F$ (Freq Weight),true_$\beta_P$ (Perseverance),kl_div_$A_{rew}$ (Reward L-Rate),post_std_$A_{rew}$ (Reward L-Rate),ess_$A_{rew}$ (Reward L-Rate),kl_div_$A_{pun}$ (Punish L-Rate),post_std_$A_{pun}$ (Punish L-Rate),ess_$A_{pun}$ (Punish L-Rate),kl_div_$K$ (Decay Rate),post_std_$K$ (Decay Rate),ess_$K$ (Decay Rate),kl_div_$\beta_F$ (Freq Weight),post_std_$\beta_F$ (Freq Weight),ess_$\beta_F$ (Freq Weight),kl_div_$\beta_P$ (Perseverance),post_std_$\beta_P$ (Perseverance),ess_$\beta_P$ (Perseverance),post_corr_$A_{rew}$ (Reward L-Rate)_$A_{pun}$ (Punish L-Rate),post_corr_$A_{rew}$ (Reward L-Rate)_$K$ (Decay Rate),post_corr_$A_{rew}$ (Reward L-Rate)_$\beta_F$ (Freq Weight),post_corr_$A_{rew}$ (Reward L-Rate)_$\beta_P$ (Perseverance),post_corr_$A_{pun}$ (Punish L-Rate)_$K$ (Decay Rate),post_corr_$A_{pun}$ (Punish L-Rate)_$\beta_F$ (Freq Weight),post_corr_$A_{pun}$ (Punish L-Rate)_$\beta_P$ (Perseverance),post_corr_$K$ (Decay Rate)_$\beta_F$ (Freq Weight),post_corr_$K$ (Decay Rate)_$\beta_P$ (Perseverance),post_corr_$\beta_F$ (Freq Weight)_$\beta_P$ (Perseverance),max_post_corr,mean_kl_div,min_ess
0.7279951837270823,0.09584810278511305,4.144627811163057,4.4921052788376254,-0.7237670939155052,0.5357485088692159,0.14191044285525362,281.8178150298203,2.380909349392718,0.03722920096767927,255.22980064175883,0.00797885809397858,1.332718739552109,225.89817442302672,1.244182691931818,1.4360073856547813,210.2791993423526,0.0,5.268431943109865,253.72130139682935,-0.07334269332983752,0.02875113888537722,0.3364272287633558,-0.044915446669828336,-0.0916717785987313,-0.43144050657291294,0.09176494025996522,-0.06724764475474879,0.0904987423422148,-0.38238075738743427,0.43144050657291294,0.833763881657546,210.2791993423526
0.016509606564122283,0.49249276515482726,2.6118394398324716,9.87487545469298,1.2674113021013866,3.102893030570553,0.012448444305470607,275.7009159789754,1.1396327280557892,0.07879468913931262,302.14048114721743,0.1323831987175803,1.1895928775967473,258.29760829769225,1.4390515749574737,1.2453787435512853,271.1892061185638,0.061495212617512784,4.893041632464366,269.49033406583743,0.48010690239526227,0.08947501351030553,-0.6856037038411725,-0.23007345629418757,0.014276591576549964,-0.454035865295963,-0.08837884701030313,-0.07992193792371174,-0.03735006355642174,0.03558899547630461,0.6856037038411725,1.1750911489837819,258.29760829769225
0.20274037386870136,0.30800769365318714,3.4616747071507596,6.967089535469167,-1.4977365679530923,1.241826927111122,0.07896211334183303,228.92448664937564,1.5243879061125312,0.05275062466463379,288.1913215366067,0.050961204126826365,1.2551180402017097,263.6294885826148,1.413438349214752,1.3290363069419742,239.68661823679724,0.029154713676912802,5.323414534441238,260.1896043478255,0.05689702449233652,-0.19848464538742167,-0.36541961789704913,-0.2441261031425015,0.05666512863280628,0.23766867009782283,-0.12736488391249726,-0.11842751734949748,0.19968864920939633,-0.18251404281187655,0.36541961789704913,0.8519538200484291,228.92448664937564
0.0923624315113176,0.625960680507163,0.7493618274389582,-8.073105246879702,-0.5908941195069826,2.8193320046976535,0.014519785139999021,368.4510238051454,1.0245662589510478,0.08711633802153165,359.4657070434137,0.15738100304976554,1.1509037507218463,311.71179275341325,1.9822594332572594,0.720029398173906,363.5816113347572,0.022568127018727235,5.150115012212653,249.1238265742681,0.32985999996154153,0.05262350086137693,0.08655075484279318,0.26755860884639104,-0.08606352161224114,0.16229289575127023,-0.12910446238878123,0.024354507762238492,0.06341809370167603,0.11845888996168692,0.32985999996154153,1.2012213653948909,249.1238265742681
0.0553748568707896,0.12980842487656083,3.280293019756051,-9.515724844852889,-4.576772039517113,3.0175299118564376,0.011939005892477175,305.57451782559593,2.091733056764939,0.030343119630515794,343.4936974177748,0.2897119545269069,1.0285096974112482,292.47918532226174,2.7160094708363482,0.4059399549015692,305.53950072116663,0.01064865722247843,5.192088113849087,283.7261509164007,0.48185656512336184,0.004937934574592981,0.056934353478124165,0.15582679473222716,-0.001096946413248691,0.16289116533693918,-0.053953340723942235,0.01606886755959791,-0.06634099904770391,0.03447871660154962,0.48185656512336184,1.6251266102414221,283.7261509164007
0.29601950113912745,0.4573763661676128,4.879561962342128,-7.058750371880558,-5.827321958129698,1.7335951032364463,0.04443234818568571,302.02037638609477,1.363281874207406,0.06224203445556412,402.8838462701864,0.09186854985087578,1.214313400352815,272.33022439632,1.6868152469905024,0.8987197872534401,346.7007761819081,0.049648143868587624,5.049647412732999,258.4421472811512,0.11217836051275648,-0.25038864778106873,0.5159851686015015,0.3650677277780376,-0.019036198926933184,-0.031121246836256798,-0.05423279192978194,-0.1418911104723628,-0.14413290525352296,0.27841343698688353,0.5159851686015015,0.9850417836307634,258.4421472811512
0.895445452040372,0.48409685057406127,4.020539755464419,-2.1348183882413956,-3.686115084885053,1.1842549965593774,0.08445016144159959,343.66414297272905,1.1674604835448634,0.07543606272748377,351.5152054543706,0.15397087893927286,1.1439760446518539,307.43924952156675,2.9213995026173136,0.2616139805606002,329.86569790397,0.0689534270028731,5.027354068910508,298.9426464622051,-0.05136608400524227,0.0543609098039638,0.24949559613133918,0.15082611940373103,-0.06354457898692929,-0.06759004449759214,0.031990269043978156,0.0967497985293785,0.07136445210312828,0.05116779776612488,0.24949559613133918,1.0992078577327402,298.9426464622051
0.7905741549388218,0.7919393560780116,1.9300972191290724,8.076442850277989,4.119507892564457,0.455535455347338,0.15560901582791437,276.5182694607082,0.8875972041737117,0.10559913146761443,255.03395951103653,0.08562829577298814,1.2346908855496765,269.2257113231729,1.3024986934551488,1.4409371216099982,351.4092231744634,0.0,5.475116551144502,223.83391220314545,-0.05787223762416776,0.055732553176892144,0.09018938715676564,0.09081080393915236,0.0646416116335122,-0.12074443286314661,0.09607420746393654,-0.08599113189646945,0.11098723088624286,-0.10979365808887455,0.12074443286314661,0.5462519297498373,223.83391220314545
0.5915978725469354,0.12325196695768234,0.8131741840179076,-0.6915633432655284,-6.72463595461277,0.32683088049537234,0.1930046927104093,336.92542060118654,1.9676370446490083,0.03646104903710752,312.840136401883,1.8467110641850062,0.19174612490987805,349.12215491522306,2.052883398493927,0.6303432380121287,294.8549310435913,1.1915336841476718,1.5629202153301738,332.55755213082074,0.22472691027574518,0.0459157827283635,-0.27410792267702155,0.04630948429070826,0.10044820488201184,-0.2574233785039521,0.04514052543093096,-0.3746002224068801,-0.6798229113597924,-0.08672052532367883,0.6798229113597924,1.4771192143941971,294.8549310435913
0.7698496903424363,0.3123674056717673,1.6671167189606975,-8.307299820158999,-5.145965962005371,1.0638983618592388,0.08716347320000971,356.37756529289095,1.749656863963203,0.042325954912948216,429.67843040867695,0.10566238092296842,1.194556226428608,285.1054096799226,1.7738184183109258,0.8296331239114831,306.25253651634677,0.10466342839228027,4.999146704277381,266.5351231936563,0.3825171124723077,0.04043781371721917,0.3901967029289304,0.08898274839830528,-0.045200055830287064,0.19928336222146692,-0.050338917057987556,0.1863666922580772,0.2449511737635228,0.20660639658880522,0.3901967029289304,0.9595398906897232,266.5351231936563
