$\lambda$ (Loss Aversion),$\rho$ (Perception Shape),$\alpha$ (Learning Rate),$f$ (Boredom Factor),$\beta$ (Exploration Weight)
0.17696041432335533,0.7276115398869073,0.48628988222023006,0.07659467762710483,3.6766243234723617
0.13384919213954055,0.7961814707062171,0.5040493158910115,0.11407133732002689,4.341364389586782
0.13797039301314534,0.8067910448877258,0.4833345808105655,0.07222144508239732,5.0
0.12293966509111545,0.7249274853221112,0.5672255263613697,0.11352423910577487,3.282584055651529
0.13240241509719733,0.7926654834841448,0.4918615323168419,0.08976993126243536,4.729228450316911
0.17091577194112,0.6356334606323892,0.5094951119342106,0.05593682282237363,2.5150618149819546
0.16055618688566203,0.7759321848414228,0.48618632608452117,0.07310775838536955,5.0
0.11129760749707716,0.7804780540507721,0.5510617481855771,0.10432626348751256,4.505521247101075
0.14141449773459966,0.7234942333359573,0.516604054958157,0.10160448243274575,3.263077304454616
0.12363100425986565,0.7920595993898208,0.5333850165361086,0.0773119727648855,5.0
0.1437643385974838,0.7403281534021225,0.4898836589690753,0.0673770420585163,3.7836644142805356
0.14242931295416864,0.7491988271888496,0.502762950533814,0.08771940827879082,3.728800534158015
0.15799938798272029,0.7565022014680592,0.5068995941832789,0.09858246571977207,3.833841379926162
0.15734548457556008,0.7548614616140331,0.49866695646598014,0.07371914491274914,4.34226182641063
0.13608549563592995,0.7399758668800245,0.5168805552470134,0.07139552770191035,3.990963749072562
0.1402068314560212,0.7929000726683794,0.48424657116899794,0.06791929116979194,4.605686160537932
0.1413233547914935,0.7679897652353003,0.5188651555155254,0.08017049527582844,4.416382898624729
0.19076089363824789,0.8083001530936763,0.39015173033674067,0.061868521914224726,5.0
0.18343900439507466,0.7708082839271561,0.45222988834927,0.07755097516432354,4.396026994187641
0.14053333409214472,0.8197211502667497,0.46125289785789264,0.07734753583622325,4.7355681748124585
0.12944018157316944,0.7735057646760306,0.5180680319170734,0.08373688405741171,4.491407457255726
0.14902037126052875,0.762407911421911,0.5040287659403122,0.07710997814389005,4.479346914671657
0.13429416577143785,0.787883156159857,0.49373414572520824,0.07976534892582393,5.0
0.1432830175031871,0.8183210996903203,0.47198927450965694,0.07484808014341715,5.0
0.17239797330735054,0.7255030013478977,0.4866995373641333,0.07627919544815365,3.872845104101206
0.12268105452096939,0.7728972567360026,0.5334988991368358,0.11669304729001283,4.261612369092514
0.16931666175392526,0.7482375870541638,0.46706134103136177,0.08357729010986914,3.7526226203055164
0.1659876856173521,0.7804813581147387,0.4732548179883965,0.06397834021446269,5.0
0.20298388717489785,0.7290778478717712,0.4113816246672239,0.06426312096939209,3.341317267732157
0.12005039307740469,0.7820644861729356,0.5288911250477135,0.08266641091013882,4.6218684266415835
0.14399338578213763,0.7538016835305011,0.5002065945353329,0.09501647112624227,3.9404417144309276
0.11468406623269704,0.7840324417444631,0.55565551578565,0.0806071071762187,5.0
0.19159139326496144,0.751377979236518,0.4554319419681936,0.08032961298798964,3.9675236622992887
0.15123736977334729,0.7835251985560547,0.49367759013723034,0.07694070787603591,4.84507351289514
0.11754650086149378,0.7471588603289442,0.5602908922068315,0.08708249984978021,4.1223035852424585
0.16195144589875116,0.7696978630402612,0.47453629705871825,0.06701035168802867,4.662010129879973
0.14133903151590108,0.7441449555096972,0.5114182751418496,0.07455790562305668,3.9561609836015177
0.17048086411179264,0.7299170208068495,0.46377328787924477,0.07635994396165498,3.6368892038826792
0.1400453411447488,0.8049270903451957,0.474062318497322,0.08068090234034588,4.921820508713849
0.1832148753340428,0.738774377372813,0.46209477964854573,0.0742614044258011,3.946239041695932
0.17971851200318656,0.7537650693971928,0.43994276360809653,0.0669813286418241,4.03605548991627
0.12671430463867075,0.8070612863315852,0.5287415471599691,0.08971230528688624,4.965482404613782
0.1609390111982144,0.7532461743157322,0.456613789585351,0.06628534423040768,4.212690136727557
