true_A (Shape),true_w (Loss Aversion),true_a (Learning Rate),true_c (Consistency),rmsse_median,rmsse_p90,n_successful,convergence_rate,bias_A (Shape),std_A (Shape),shapiro_p_A (Shape),bias_w (Loss Aversion),std_w (Loss Aversion),shapiro_p_w (Loss Aversion),bias_a (Learning Rate),std_a (Learning Rate),shapiro_p_a (Learning Rate),bias_c (Consistency),std_c (Consistency),shapiro_p_c (Consistency),pct_normal,corr_A (Shape)_w (Loss Aversion),corr_A (Shape)_a (Learning Rate),corr_A (Shape)_c (Consistency),corr_w (Loss Aversion)_a (Learning Rate),corr_w (Loss Aversion)_c (Consistency),corr_a (Learning Rate)_c (Consistency),max_error_corr,nll_median
0.19955240263134832,0.14533999317127452,0.16669997611857545,2.0374177070852078,0.1591164219892156,0.45124044672272645,30,1.0,0.09243061404350988,0.3056743703009207,5.327386592025656e-05,-0.014926462832285336,0.15505089646944986,1.5511851805425333e-05,0.036493806864659493,0.1620241674330986,6.176099579715411e-09,0.26855674111465855,1.6776927543157798,0.01581600496757913,0.0,-0.1701992197946661,0.2985552404560878,-0.826574192459963,-0.23737009931508252,-0.019470043704737698,-0.10042343356251339,0.826574192459963,78.1853690933616
0.6536790865571348,3.4333832889306652,0.5143893698618873,2.758547552035711,0.2095117990656916,0.2810186799108642,30,1.0,0.2963339173051507,0.0585009236887233,8.33371007710681e-05,0.4211012261999199,0.9407797791994443,0.008410671359634952,-0.17469151001372063,0.0463517504733448,0.5022632761108108,0.1339030427699577,0.9143328585013728,0.004614661286214232,25.0,-0.32653495044770814,-0.3142587235963985,-0.44224763237738784,-0.5399443806550067,-0.4313521482292274,0.517030166761005,0.5399443806550067,3.17805385113095
0.9799463350073024,2.011485148339802,0.41759506078176445,0.3018972285218768,0.3241797153436897,0.47251853908757496,30,1.0,-0.036501689737537805,0.123062741459185,4.068912680747228e-09,0.8021596360075947,1.162146651996417,0.0020158373327512497,-0.03563074287096281,0.14636065781008467,6.737133225216243e-06,2.645918555137524,1.534615940989351,0.012046059292684961,0.0,-0.058826496826876365,-0.715647014373956,-0.2211168216643103,-0.3599680757329623,-0.22470109240280667,0.35267804061331964,0.715647014373956,3.1780548199950442
0.565114726123676,0.08162883909955712,0.8783420398863219,0.593407203265024,0.42775441992026586,0.6263952692703205,30,1.0,0.27288187705201755,0.22653955712328905,8.359730259295216e-06,-0.03672944272261834,0.046276056331588204,1.0476591737621686e-05,-0.08128747719879946,0.33014831538170025,1.6827197009459805e-07,2.181056491688104,2.2890908254040814,1.3310308402963005e-06,0.0,-0.6457766447064178,-0.1406452090740357,0.5536184833542244,0.2204716618912264,-0.6874759621494249,-0.2944431974421544,0.6874759621494249,4.363355835865003
0.7807044462578664,4.667121830838064,0.2340812902794547,2.5984959892967616,0.1259586141472995,0.21157741640988315,30,1.0,0.12543318892773034,0.09638858814616287,0.0008297262923933393,-0.5371134064123138,0.6732891685392253,0.015153774310278385,-0.04836820867228755,0.05003671394440727,0.0020907772461041794,0.5817866154335588,0.7602610702187447,0.000995265351371441,0.0,0.4870549134690086,-0.9881470870672133,-0.8682845265561431,-0.45200449829372275,-0.7005796082028458,0.8751182536242008,0.9881470870672133,3.178053907303907
0.5909514131421231,3.5522631037840804,0.47337801791169815,1.5178467255715347,0.28966177977538454,0.3372512470362307,30,1.0,0.314877420185198,0.127329980419239,2.8817030986467045e-06,0.43275554167817215,0.7825868841870296,0.01536228516186454,-0.22724505126660247,0.13238993971301807,1.9902287530006435e-07,1.59419594686631,0.8158507336784443,0.029338933443429138,0.0,0.34628861161364455,-0.8507201204774093,-0.7628911713833285,-0.4644672146943159,-0.3983061494514676,0.5441345388748078,0.8507201204774093,3.178053872825937
0.030238800675793952,0.20205419038582573,0.5159558924126205,0.5872075027604531,0.4130193827342906,0.5827166557701631,30,1.0,0.27829792804443626,0.3672856982964755,1.09692471513509e-05,1.6668252721876218,2.177673381818406,1.6055433737174016e-06,-0.20205902139070758,0.3680326471355272,1.601507006814178e-05,-0.0793982230713454,0.6637380338787564,3.6487511689526414e-06,0.0,-0.05218029696553185,-0.09406881200344498,-0.5580986111631235,-0.03453103406410403,-0.21956942200910856,-0.07131387561493487,0.5580986111631235,137.3412741965476
0.40394860152813084,0.39011242421346354,0.9213053709313025,4.9368515942671625,0.3060931949467609,0.4151957435141259,30,1.0,0.535959176598596,0.13874222749145051,3.554345181414779e-09,-0.28171372878942164,0.20571550391768648,1.6648039463163515e-08,-0.004261424433405151,0.23730926402517316,3.507690949801264e-10,-0.1992008828734785,0.8285493511347679,2.404705555910799e-10,0.0,-0.6351685614218809,0.23431781786893563,0.11441251397549242,-0.8447609214907464,-0.16504633414159725,0.05780123640276268,0.8447609214907464,1.3862943611198906
0.9663615166546864,4.487322812133772,0.7524646831677255,3.181749075836339,0.22748630235431744,0.3064592661448627,30,1.0,-0.011217149214876772,0.09225883050418573,2.0991757319532528e-08,-0.680904095369486,1.3025115951594992,5.287658797685142e-05,0.1710066243520757,0.14560807801375575,3.7959749596915864e-08,0.4336077939512164,1.5201628385105765,7.308965937299282e-05,0.0,0.1471491858195774,0.10719089435975472,0.3216131464081822,0.4353473171417525,0.41577507825443083,0.46357472377170506,0.46357472377170506,3.1780538303479458
0.3901353096416764,2.6448778310558185,0.25309071948887923,4.980565748438619,0.23771115998718462,0.2531692317510104,30,1.0,0.03817675358975943,0.083490395698735,0.5341776048669249,1.733287025540666,0.8898088208158218,2.248219367714591e-06,-0.05376342053207349,0.07851657166825528,0.15937261049816132,-0.07807637046983257,0.3107063470377553,1.97430142966588e-10,50.0,-0.5045799129099908,-0.9103510719618944,0.108120249527275,0.3162171112356966,-0.11688410240403319,-0.10865393560688558,0.9103510719618944,5.132583029835242
0.19129443920063277,1.5299569228045686,0.40340553734563034,4.396559564907187,0.07849728655174616,0.2093108412613467,30,1.0,0.03502689398501432,0.09214376292706923,0.0035900195956281838,0.1307706816014691,0.237356435749842,0.04469808018288686,-0.043913817774606574,0.07462140250528475,0.7992961867846738,-0.25452743670028055,0.9475463713771773,0.0005262693468196947,25.0,0.12810846970610523,-0.7985994407884487,-0.5465159631485581,-0.4977268555260671,0.10096767684012198,0.3550317919439246,0.7985994407884487,20.733971311863378
0.15403563786676744,0.2381422470611989,0.9616127928095202,4.060443902924539,0.43852950609885033,0.6126173738932504,30,1.0,0.7138128542139099,0.3039746417497593,2.649279798675645e-09,-0.16779010012433954,0.12145730713521688,8.043257854206243e-09,-0.16167097163657201,0.35037140713370396,3.2573136272899795e-08,0.5084038047591967,1.2161850726222652,5.55452190037159e-10,0.0,-0.9072660889055281,-0.160120534724585,0.298204234121436,0.12981577732735247,-0.6490973013797703,0.011321114333536081,0.9072660889055281,1.3862943611198906
0.7095686589021296,2.693225270213579,0.7288890906989046,3.892146524547885,0.3255953747678285,0.3255953747678285,30,1.0,0.20806817250884088,0.1570498250885762,5.2312033151372913e-08,1.8923925376806692,0.7079408192739689,2.310099693853997e-07,0.20414407451991082,0.1519718822408664,5.846547496769061e-09,-0.00023547106484992733,1.3351978836764113,1.5035472127041314e-05,0.0,0.22112467741316447,0.07617586213205649,0.3651495457717929,0.3734856349893937,0.5433872730404652,0.29486374871627885,0.5433872730404652,3.1780538303479458
0.7450018897325457,0.6382463978112828,0.9451437725503198,0.39142832427040075,0.2535230400772222,0.47950474552157896,30,1.0,0.03745304269947128,0.21340734869361205,0.0005205140932281194,0.26961959791842116,0.7799445580446835,3.159308058635938e-10,-0.15253347547234564,0.21808856899307993,0.00029698284289994927,1.5063569134522783,1.6974240996067778,0.0002489709278609167,0.0,0.0844102789908628,0.04626934389947976,-0.3650401316257377,0.00679559135087322,0.059570247249962266,0.0007402044872870404,0.3650401316257377,7.4533341060545375
0.8428588998048113,0.8067758200086727,0.5700632019437072,1.682934898681859,0.38322837649253094,0.41266572855306816,30,1.0,0.08223756200395836,0.09639341195509277,1.9948508324777385e-05,-0.286325178195605,0.4409481732195482,0.006793074074920075,0.18651056251162837,0.30534222848999615,1.998058058226291e-05,1.963286924250574,1.6627081183784302,9.899493888562939e-06,0.0,-0.1836757239508413,-0.019342517786417962,0.08389582062053427,-0.9057580994456449,-0.32022582548956946,0.31802506723022034,0.9057580994456449,2.4849066981562125
0.29987322207278877,0.6741950203371149,0.8919608325091672,3.5752053114029883,0.16754907288527848,0.42113564948503673,30,1.0,0.16654707553339249,0.2514108901148181,0.0001983553586937128,0.055994460836923304,0.22523702502746917,0.0018184619331130024,-0.1298689695706181,0.23468031633506492,0.0004459235246866236,-0.15030700876002753,1.460575049430467,0.0008536377452957304,0.0,0.26331719282419047,-0.6987513198086631,-0.2009488378362653,-0.7547110938608798,0.42651428151495324,-0.13214768099170845,0.7547110938608798,16.997026746485318
0.9314232577263988,2.439595277581433,0.08329919452590061,3.549866578021335,0.15058894244883642,0.29647464990811034,30,1.0,0.039254336697369586,0.05767606069495736,6.9953356018540205e-09,0.411579358012476,0.8506765722672349,1.0422330200324773e-08,-0.0047384803372301195,0.02445073539334749,0.0012311916945940407,1.4501334219786648,2.220446049250313e-16,1.0,25.0,0.16991167827994597,-0.8461380804351775,-3.208214440121033e-17,0.29565713405947025,-8.700706087517884e-17,6.385293134389357e-17,0.8461380804351775,3.2379170787325395
